"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,3,NA,NA,NA,3,NA,NA,NA
2020-03-16,4,NA,NA,NA,4,NA,NA,NA
2020-03-18,5,NA,NA,NA,5,NA,NA,NA
2020-03-20,7,NA,NA,NA,7,NA,NA,NA
2020-03-21,9,NA,NA,NA,9,NA,NA,NA
2020-03-22,12,NA,NA,NA,12,NA,NA,NA
2020-03-24,13,NA,NA,NA,13,NA,NA,NA
2020-03-25,15,NA,NA,NA,15,NA,NA,NA
2020-03-27,16,NA,NA,NA,16,NA,NA,NA
2020-03-30,18,NA,NA,NA,18,NA,NA,NA
2020-03-31,20,NA,NA,NA,20,NA,NA,NA
2020-04-01,21,NA,NA,NA,21,NA,NA,NA
2020-04-02,22,NA,NA,NA,22,NA,NA,NA
2020-04-03,23,NA,NA,NA,23,NA,NA,NA
2020-04-04,24,NA,NA,NA,24,NA,NA,NA
2020-04-07,25,NA,NA,NA,25,NA,NA,NA
2020-04-08,27,NA,NA,NA,27,NA,NA,NA
2020-04-10,28,NA,NA,NA,28,NA,NA,NA
2020-04-11,29,NA,NA,NA,29,NA,NA,NA
2020-04-12,30,NA,NA,NA,30,NA,NA,NA
2020-04-13,31,NA,NA,NA,31,NA,NA,NA
2020-04-14,33,NA,NA,NA,33,NA,NA,NA
2020-04-15,35,NA,NA,NA,35,NA,NA,NA
2020-04-18,37,NA,NA,NA,37,NA,NA,NA
2020-04-19,38,NA,NA,NA,38,NA,NA,NA
2020-04-20,40,NA,NA,NA,40,NA,NA,NA
2020-04-22,41,NA,NA,NA,41,NA,NA,NA
2020-04-23,44,NA,NA,NA,44,NA,NA,NA
2020-04-24,45,NA,NA,NA,45,NA,NA,NA
2020-04-25,46,NA,NA,NA,46,NA,NA,NA
2020-04-27,47,NA,NA,NA,47,NA,NA,NA
2020-04-28,48,NA,NA,NA,48,NA,NA,NA
2020-05-01,49,NA,NA,NA,49,NA,NA,NA
2020-05-02,49,NA,NA,NA,49,NA,NA,NA
2020-05-03,50,NA,NA,NA,50,NA,NA,NA
2020-05-04,50,NA,NA,NA,50,NA,NA,NA
2020-05-05,52,NA,NA,NA,52,NA,NA,NA
2020-05-06,55,NA,NA,NA,55,NA,NA,NA
2020-05-07,58,NA,NA,NA,58,NA,NA,NA
2020-05-08,61,NA,NA,NA,61,NA,NA,NA
2020-05-09,62,NA,NA,NA,62,NA,NA,NA
2020-05-10,66,NA,NA,NA,66,NA,NA,NA
2020-05-11,67,NA,NA,NA,67,NA,NA,NA
2020-05-12,71,NA,NA,NA,71,NA,NA,NA
2020-05-13,72,NA,NA,NA,72,NA,NA,NA
2020-05-14,81,NA,NA,NA,82,NA,NA,NA
2020-05-15,84,NA,NA,NA,85,NA,NA,NA
2020-05-16,89,NA,NA,NA,90,NA,NA,NA
2020-05-17,91,NA,NA,NA,92,NA,NA,NA
2020-05-18,92,NA,NA,NA,93,NA,NA,NA
2020-05-19,92,NA,NA,NA,93,NA,NA,NA
2020-05-20,98,NA,NA,NA,99,NA,NA,NA
2020-05-21,98,NA,NA,NA,99,NA,NA,NA
2020-05-22,102,NA,NA,NA,103,NA,NA,NA
2020-05-23,104,NA,NA,NA,105,NA,NA,NA
2020-05-24,106,NA,NA,NA,107,NA,NA,NA
2020-05-25,109,NA,NA,NA,110,NA,NA,NA
2020-05-26,114,NA,NA,NA,114,NA,NA,NA
2020-05-27,119,NA,NA,NA,118,NA,NA,NA
2020-05-28,124,NA,NA,NA,124,NA,NA,NA
2020-05-29,127,NA,NA,NA,128,NA,NA,NA
2020-05-30,131,NA,NA,NA,131,NA,NA,NA
2020-05-31,135,NA,NA,NA,136,NA,NA,NA
2020-06-01,138,NA,NA,NA,140,NA,NA,NA
2020-06-02,140,NA,NA,NA,142,NA,NA,NA
2020-06-03,142,NA,NA,NA,145,NA,NA,NA
2020-06-04,144,NA,NA,NA,148,NA,NA,NA
2020-06-05,146,NA,NA,NA,150,NA,NA,NA
2020-06-06,148,NA,NA,NA,152,NA,NA,NA
2020-06-07,150,NA,NA,NA,153,NA,NA,NA
2020-06-08,152,NA,NA,NA,155,NA,NA,NA
2020-06-09,154,154,132,283,155,155,155,155
2020-06-10,NA,156,132,293,NA,157,155,165
2020-06-11,NA,158,132,304,NA,158,155,175
2020-06-12,NA,160,132,316,NA,160,155,184
2020-06-13,NA,162,132,328,NA,161,155,193
2020-06-14,NA,165,132,340,NA,163,155,202
2020-06-15,NA,167,132,353,NA,164,155,210
2020-06-16,NA,169,132,366,NA,165,155,217
2020-06-17,NA,171,132,380,NA,166,155,223
2020-06-18,NA,174,132,394,NA,167,155,226
2020-06-19,NA,176,132,409,NA,167,155,228
2020-06-20,NA,178,132,424,NA,167,155,229
2020-06-21,NA,181,132,440,NA,167,155,230
2020-06-22,NA,183,132,457,NA,167,155,230
2020-06-23,NA,186,132,474,NA,167,155,230
2020-06-24,NA,188,132,492,NA,167,155,230
