"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,24,NA,NA,NA,24,NA,NA,NA
2020-03-22,93,NA,NA,NA,93,NA,NA,NA
2020-03-29,216,NA,NA,NA,216,NA,NA,NA
2020-04-05,348,NA,NA,NA,348,NA,NA,NA
2020-04-12,504,NA,NA,NA,504,NA,NA,NA
2020-04-19,697,NA,NA,NA,697,NA,NA,NA
2020-04-26,967,NA,NA,NA,967,NA,NA,NA
2020-05-03,1305,NA,NA,NA,1305,NA,NA,NA
2020-05-10,1721,NA,NA,NA,1721,NA,NA,NA
2020-05-17,2130,NA,NA,NA,2130,NA,NA,NA
2020-05-24,2588,NA,NA,NA,2588,NA,NA,NA
2020-05-31,2963,NA,NA,NA,2963,NA,NA,NA
2020-06-07,3344,NA,NA,NA,3344,NA,NA,NA
2020-06-14,3750,NA,NA,NA,3750,NA,NA,NA
2020-06-21,4070,NA,NA,NA,4070,NA,NA,NA
2020-06-28,4284,NA,NA,NA,4284,NA,NA,NA
2020-07-05,4500,NA,NA,NA,4500,NA,NA,NA
2020-07-12,4724,NA,NA,NA,4724,NA,NA,NA
2020-07-19,4908,NA,NA,NA,4908,NA,NA,NA
2020-07-26,5041,NA,NA,NA,5041,NA,NA,NA
2020-08-02,5189,NA,NA,NA,5189,NA,NA,NA
2020-08-09,5300,NA,NA,NA,5300,NA,NA,NA
2020-08-16,5459,NA,NA,NA,5459,NA,NA,NA
2020-08-23,5588,NA,NA,NA,5588,NA,NA,NA
2020-08-30,5723,NA,NA,NA,5723,NA,NA,NA
2020-09-06,5865,NA,NA,NA,5865,NA,NA,NA
2020-09-13,5979,NA,NA,NA,5979,NA,NA,NA
2020-09-20,6078,NA,NA,NA,6078,NA,NA,NA
2020-09-27,6173,NA,NA,NA,6173,NA,NA,NA
2020-10-04,6293,NA,NA,NA,6293,NA,NA,NA
2020-10-11,6414,NA,NA,NA,6414,NA,NA,NA
2020-10-18,6527,NA,NA,NA,6527,NA,NA,NA
2020-10-25,6678,NA,NA,NA,6678,NA,NA,NA
2020-11-01,6872,NA,NA,NA,6872,NA,NA,NA
2020-11-08,7071,NA,NA,NA,7071,NA,NA,NA
2020-11-15,7302,NA,NA,NA,7302,NA,NA,NA
2020-11-22,7514,NA,NA,NA,7514,NA,NA,NA
2020-11-29,7742,NA,NA,NA,7742,NA,NA,NA
2020-12-06,7959,NA,NA,NA,7959,NA,NA,NA
2020-12-13,8147,NA,NA,NA,8147,NA,NA,NA
2020-12-20,8304,NA,NA,NA,8304,NA,NA,NA
2020-12-27,8466,NA,NA,NA,8466,NA,NA,NA
2021-01-03,8628,NA,NA,NA,8628,NA,NA,NA
2021-01-10,8778,NA,NA,NA,8778,NA,NA,NA
2021-01-17,8911,NA,NA,NA,8911,NA,NA,NA
2021-01-24,9037,NA,NA,NA,9037,NA,NA,NA
2021-01-31,9174,NA,NA,NA,9174,NA,NA,NA
2021-02-07,9305,NA,NA,NA,9305,NA,NA,NA
2021-02-14,9471,NA,NA,NA,9471,NA,NA,NA
2021-02-21,9689,NA,NA,NA,9689,NA,NA,NA
2021-02-28,9885,NA,NA,NA,9885,NA,NA,NA
2021-03-07,10203,NA,NA,NA,10203,NA,NA,NA
2021-03-14,10644,NA,NA,NA,10644,NA,NA,NA
2021-03-21,11133,NA,NA,NA,11133,NA,NA,NA
2021-03-28,11452,NA,NA,NA,11452,NA,NA,NA
2021-04-04,11702,NA,NA,NA,11702,NA,NA,NA
2021-04-11,11929,NA,NA,NA,11929,NA,NA,NA
2021-04-18,12119,NA,NA,NA,12119,NA,NA,NA
2021-04-25,12308,NA,NA,NA,12308,NA,NA,NA
2021-05-02,12491,NA,NA,NA,12491,NA,NA,NA
2021-05-09,12672,NA,NA,NA,12675,NA,NA,NA
2021-05-16,12873,NA,NA,NA,12870,NA,NA,NA
2021-05-23,13071,NA,NA,NA,13054,NA,NA,NA
2021-05-30,13252,NA,NA,NA,13214,NA,NA,NA
2021-06-06,13438,NA,NA,NA,13380,NA,NA,NA
2021-06-13,13586,NA,NA,NA,13504,NA,NA,NA
2021-06-20,13691,NA,NA,NA,13578,NA,NA,NA
2021-06-27,13790,NA,NA,NA,13626,NA,NA,NA
2021-07-04,13882,NA,NA,NA,13655,NA,NA,NA
2021-07-11,13975,13975,13806,14200,13663,13663,13663,13663
2021-07-18,NA,14068,13866,14338,NA,13664,13664,13665
