"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-21,1,NA,1,1.66666666666667,NA,NA
2020-03-24,1,NA,1,1.71428571428571,NA,NA
2020-03-25,1,NA,1,1.625,NA,NA
2020-03-26,1,NA,1,1.66666666666667,NA,NA
2020-03-27,3,NA,3,1.9,NA,NA
2020-03-28,3,NA,3,2.1,NA,NA
2020-03-29,2,NA,2,2.2,NA,NA
2020-03-30,1,NA,1,2.5,NA,NA
2020-03-31,2,NA,2,3.3,NA,NA
2020-04-01,4,NA,4,3.2,NA,NA
2020-04-02,3,NA,3,3.1,NA,NA
2020-04-03,2,NA,2,3.2,NA,NA
2020-04-04,4,NA,4,3.5,NA,NA
2020-04-05,9,NA,9,3.8,NA,NA
2020-04-06,2,NA,2,3.8,NA,NA
2020-04-08,2,NA,2,3.9,NA,NA
2020-04-09,3,NA,3,4,NA,NA
2020-04-10,4,NA,4,3.8,NA,NA
2020-04-11,5,NA,5,3.9,NA,NA
2020-04-12,4,NA,4,4.1,NA,NA
2020-04-13,4,NA,4,4.1,NA,NA
2020-04-14,3,NA,3,4.6,NA,NA
2020-04-15,2,NA,2,5,NA,NA
2020-04-16,10,NA,10,5.3,NA,NA
2020-04-17,4,NA,4,5.3,NA,NA
2020-04-18,2,NA,2,6.1,NA,NA
2020-04-19,8,NA,8,6.4,NA,NA
2020-04-20,8,NA,8,7.1,NA,NA
2020-04-21,8,NA,8,6.6,NA,NA
2020-04-22,4,NA,4,7.2,NA,NA
2020-04-23,12,NA,12,7.3,NA,NA
2020-04-24,6,NA,6,7.4,NA,NA
2020-04-25,9,NA,9,7.7,NA,NA
2020-04-26,5,NA,5,7.7,NA,NA
2020-04-27,10,NA,10,8.6,NA,NA
2020-04-28,3,NA,3,8.4,NA,NA
2020-04-29,9,NA,9,8.3,NA,NA
2020-04-30,11,NA,11,8.8,NA,NA
2020-05-01,8,NA,8,9.7,NA,NA
2020-05-02,13,NA,13,9.9,NA,NA
2020-05-03,10,NA,10,10.9,NA,NA
2020-05-04,5,NA,5,10.5,NA,NA
2020-05-05,14,NA,14,11.4,NA,NA
2020-05-06,14,NA,14,11.5,NA,NA
2020-05-07,12,NA,12,11.2,NA,NA
2020-05-08,13,NA,13,11.7,NA,NA
2020-05-09,5,NA,5,13.1,NA,NA
2020-05-10,20,NA,20,13,NA,NA
2020-05-11,9,NA,9,13.5,NA,NA
2020-05-12,10,NA,10,14.1,NA,NA
2020-05-13,15,NA,15,14.6,NA,NA
2020-05-14,19,NA,19,15.5,NA,NA
2020-05-15,13,NA,13,14.7,NA,NA
2020-05-16,19,NA,19,15.5,NA,NA
