"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,1,NA,1,NA,NA,NA
2020-03-22,11,NA,11,NA,NA,NA
2020-03-29,28,NA,28,NA,NA,NA
2020-04-05,55,NA,55,NA,NA,NA
2020-04-12,55,NA,55,NA,NA,NA
2020-04-19,61,NA,61,NA,NA,NA
2020-04-26,78,NA,78,NA,NA,NA
2020-05-03,105,NA,105,NA,NA,NA
2020-05-10,112,NA,112,NA,NA,NA
2020-05-17,148,NA,148,NA,NA,NA
2020-05-24,165,NA,165,NA,NA,NA
2020-05-31,207,NA,207,NA,NA,NA
2020-06-07,148,NA,148,NA,NA,NA
2020-06-14,190,NA,190,NA,NA,NA
2020-06-21,190,NA,190,NA,NA,NA
2020-06-28,159,NA,159,NA,NA,NA
2020-07-05,152,NA,152,NA,NA,NA
2020-07-12,123,NA,123,NA,NA,NA
2020-07-19,137,NA,137,NA,NA,NA
2020-07-26,116,NA,116,NA,NA,NA
2020-08-02,95,NA,95,NA,NA,NA
2020-08-09,89,NA,89,NA,NA,NA
2020-08-16,78,NA,78,NA,NA,NA
2020-08-23,89,NA,89,NA,NA,NA
2020-08-30,81,NA,81,NA,NA,NA
2020-09-06,77,NA,77,NA,NA,NA
2020-09-13,68,NA,68,NA,NA,NA
2020-09-20,57,NA,57,NA,NA,NA
2020-09-27,64,NA,64,NA,NA,NA
2020-10-04,65,NA,65,NA,NA,NA
2020-10-11,39,NA,39,NA,NA,NA
2020-10-18,39,NA,39,NA,NA,NA
2020-10-25,46,NA,46,NA,NA,NA
2020-11-01,61,NA,61,NA,NA,NA
2020-11-08,66,NA,66,NA,NA,NA
2020-11-15,90,NA,90,NA,NA,NA
2020-11-22,87,NA,87,NA,NA,NA
2020-11-29,111,NA,111,NA,NA,NA
2020-12-06,110,NA,110,NA,NA,NA
2020-12-13,97,NA,97,NA,NA,NA
2020-12-20,97,NA,97,NA,NA,NA
2020-12-27,108,NA,108,NA,NA,NA
2021-01-03,75,NA,75,NA,NA,NA
2021-01-10,83,NA,83,NA,NA,NA
2021-01-17,80,NA,80,NA,NA,NA
2021-01-24,65,NA,65,NA,NA,NA
2021-01-31,72,NA,72,NA,NA,NA
2021-02-07,60,NA,60,NA,NA,NA
2021-02-14,77,NA,77,NA,NA,NA
2021-02-21,56,NA,56,NA,NA,NA
2021-02-28,71,NA,71,NA,NA,NA
2021-03-07,91,NA,91,NA,NA,NA
2021-03-14,116,NA,116,NA,NA,NA
2021-03-21,215,NA,215,NA,NA,NA
2021-03-28,290,NA,290,NA,NA,NA
2021-04-04,308,NA,308,NA,NA,NA
2021-04-11,328,NA,328,NA,NA,NA
2021-04-18,261,NA,261,NA,NA,NA
2021-04-25,211,NA,211,NA,NA,NA
2021-05-02,167,NA,167,NA,NA,NA
2021-05-09,182,NA,182,NA,NA,NA
2021-05-16,150,NA,150,NA,NA,NA
2021-05-23,179,NA,179,NA,NA,NA
2021-05-30,160,NA,160,NA,NA,NA
2021-06-06,143,NA,143,NA,NA,NA
2021-06-13,145,NA,145,NA,NA,NA
2021-06-20,148,NA,148,NA,NA,NA
2021-06-27,108,NA,108,NA,NA,NA
2021-07-04,111,NA,111,NA,NA,NA
2021-07-11,80,NA,80,NA,NA,NA
2021-07-18,NA,69,69,NA,69,70
2021-07-25,NA,53,53,NA,53,54
2021-08-01,NA,34,34,NA,34,37
2021-08-08,NA,37,37,NA,36,40
2021-08-15,NA,19,19,NA,17,22
2021-08-22,NA,12,12,NA,10,17
2021-08-29,NA,19,19,NA,15,25
2021-09-05,NA,18,18,NA,11,28
2021-09-12,NA,23,23,NA,11,45.0249999999996
