"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-18,2,NA,2,1.83333333333333,NA,NA
2020-03-19,2,NA,2,1.85714285714286,NA,NA
2020-03-20,2,NA,2,2,NA,NA
2020-03-24,1,NA,1,1.88888888888889,NA,NA
2020-03-27,3,NA,3,1.9,NA,NA
2020-03-28,1,NA,1,1.8,NA,NA
2020-04-01,2,NA,2,1.7,NA,NA
2020-04-02,3,NA,3,1.6,NA,NA
2020-04-05,1,NA,1,1.8,NA,NA
2020-04-06,2,NA,2,1.6,NA,NA
2020-04-07,1,NA,1,1.6,NA,NA
2020-04-08,1,NA,1,1.5,NA,NA
2020-04-09,1,NA,1,1.4,NA,NA
2020-04-14,3,NA,3,1.4,NA,NA
2020-04-15,1,NA,1,1.4,NA,NA
2020-04-16,1,NA,1,1.5,NA,NA
2020-04-18,1,NA,1,1.5,NA,NA
2020-04-19,2,NA,2,1.6,NA,NA
2020-04-20,1,NA,1,1.4,NA,NA
2020-04-22,2,NA,2,1.4,NA,NA
2020-04-24,2,NA,2,2,NA,NA
2020-04-27,1,NA,1,2.3,NA,NA
2020-04-28,2,NA,2,2.4,NA,NA
2020-04-29,1,NA,1,2.6,NA,NA
2020-04-30,1,NA,1,2.6,NA,NA
2020-05-01,7,NA,7,2.6,NA,NA
2020-05-03,4,NA,4,2.7,NA,NA
2020-05-04,3,NA,3,2.6,NA,NA
2020-05-05,3,NA,3,2.6,NA,NA
2020-05-06,2,NA,2,2.7,NA,NA
2020-05-07,2,NA,2,2.3,NA,NA
2020-05-08,2,NA,2,2.2,NA,NA
2020-05-09,1,NA,1,2.1,NA,NA
2020-05-10,1,NA,1,2,NA,NA
2020-05-11,2,NA,2,2,NA,NA
2020-05-12,3,NA,3,2,NA,NA
2020-05-13,3,NA,3,1.9,NA,NA
2020-05-14,2,NA,2,2,NA,NA
2020-05-15,2,NA,2,2.4,NA,NA
2020-05-16,2,NA,2,2.3,NA,NA
2020-05-17,2,NA,2,2.4,NA,NA
2020-05-18,1,NA,1,2.4,NA,NA
2020-05-19,2,NA,2,2.4,NA,NA
2020-05-20,5,NA,5,2.8,NA,NA
2020-05-21,1,NA,1,2.8,NA,NA
2020-05-22,4,NA,4,3.2,NA,NA
2020-05-24,3,NA,3,3.4,NA,NA
2020-05-25,2,NA,2,3.6,NA,NA
2020-05-26,6,NA,6,3.2,NA,NA
2020-05-27,2,NA,2,3.8,NA,NA
2020-05-28,6,NA,6,4,NA,NA
2020-05-29,3,NA,3,4.5,NA,NA
2020-05-30,NA,4,4,4.6,4,5
2020-05-31,NA,1,1,4.3,1,2
2020-06-01,NA,7,7,4.5,7,9
2020-06-02,NA,6,6,4.3,6,9
2020-06-03,NA,8,8,5.1,8,11
2020-06-04,NA,3,3,5.1,3,6
2020-06-05,NA,3,3,6.1,3,6
2020-06-06,NA,4,4,6.2,4,7
2020-06-07,NA,4,4,6.6,4,7
2020-06-08,NA,11,11,6.5,11,15
2020-06-09,NA,4,4,7.3,3,7
2020-06-10,NA,11,11,8.1,10,14
2020-06-11,NA,8,8,8,7,12
2020-06-12,NA,10,10,8.5,9,13
2020-06-13,NA,7,7,8.4,6,11
2020-06-14,NA,11,11,8.9,10,15
2020-06-15,NA,11,11,8.4,10,15
2020-06-16,NA,3,3,8.9,2,7
2020-06-17,NA,9,9,8.8,7,13
2020-06-18,NA,10,10,9.1,8,14
2020-06-19,NA,9,9,9.2,7,14
2020-06-20,NA,6,6,10,4,11
2020-06-21,NA,13,13,10.8,10,19
2020-06-22,NA,9,9,11.4,5,14
2020-06-23,NA,10,10,12.3,7,17
2020-06-24,NA,12,12,13,8,19
2020-06-25,NA,19,19,14.3,14,27
2020-06-26,NA,11,11,14.5,5,19
2020-06-27,NA,15,15,15,9,25
2020-06-28,NA,19,19,15.5,12,30
2020-06-29,NA,16,16,15.7,8,28
2020-06-30,NA,19,19,15.3,11,33
2020-07-01,NA,15,15,15.7,7,30
2020-07-02,NA,14,14,15.7,5,30
2020-07-03,NA,15,15,15.3333333333333,6,34
2020-07-04,NA,14,14,15.25,5,36
2020-07-05,NA,15,15,14.7142857142857,4,42
2020-07-06,NA,15,15,14.6666666666667,4,44.0249999999996
2020-07-07,NA,15,15,14.8,4,48
