"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,2,NA,2,NA,NA,NA
2020-03-29,7,NA,7,NA,NA,NA
2020-04-05,20,NA,20,NA,NA,NA
2020-04-12,11,NA,11,NA,NA,NA
2020-04-19,17,NA,17,NA,NA,NA
2020-04-26,24,NA,24,NA,NA,NA
2020-05-03,24,NA,24,NA,NA,NA
2020-05-10,28,NA,28,NA,NA,NA
2020-05-17,46,NA,46,NA,NA,NA
2020-05-24,69,NA,69,NA,NA,NA
2020-05-31,90,NA,90,NA,NA,NA
2020-06-07,131,NA,131,NA,NA,NA
2020-06-14,150,NA,150,NA,NA,NA
2020-06-21,207,NA,207,NA,NA,NA
2020-06-28,194,NA,194,NA,NA,NA
2020-07-05,233,NA,233,NA,NA,NA
2020-07-12,234,NA,234,NA,NA,NA
2020-07-19,236,NA,236,NA,NA,NA
2020-07-26,280,NA,280,NA,NA,NA
2020-08-02,224,NA,224,NA,NA,NA
2020-08-09,205,NA,205,NA,NA,NA
2020-08-16,190,NA,190,NA,NA,NA
2020-08-23,156,NA,156,NA,NA,NA
2020-08-30,156,NA,156,NA,NA,NA
2020-09-06,145,NA,145,NA,NA,NA
2020-09-13,148,NA,148,NA,NA,NA
2020-09-20,128,NA,128,NA,NA,NA
2020-09-27,80,NA,80,NA,NA,NA
2020-10-04,90,NA,90,NA,NA,NA
2020-10-11,63,NA,63,NA,NA,NA
2020-10-18,54,NA,54,NA,NA,NA
2020-10-25,40,NA,40,NA,NA,NA
2020-11-01,38,NA,38,NA,NA,NA
2020-11-08,35,NA,35,NA,NA,NA
2020-11-15,51,NA,51,NA,NA,NA
2020-11-22,45,NA,45,NA,NA,NA
2020-11-29,54,NA,54,NA,NA,NA
2020-12-06,92,NA,92,NA,NA,NA
2020-12-13,71,NA,71,NA,NA,NA
2020-12-20,110,NA,110,NA,NA,NA
2020-12-27,114,NA,114,NA,NA,NA
2021-01-03,141,NA,141,NA,NA,NA
2021-01-10,142,NA,142,NA,NA,NA
2021-01-17,145,NA,145,NA,NA,NA
2021-01-24,148,NA,148,NA,NA,NA
2021-01-31,145,NA,145,NA,NA,NA
2021-02-07,158,NA,158,NA,NA,NA
2021-02-14,174,NA,174,NA,NA,NA
2021-02-21,146,NA,146,NA,NA,NA
2021-02-28,189,NA,189,NA,NA,NA
2021-03-07,252,NA,252,NA,NA,NA
2021-03-14,341,NA,341,NA,NA,NA
2021-03-21,546,NA,546,NA,NA,NA
2021-03-28,656,NA,656,NA,NA,NA
2021-04-04,599,NA,599,NA,NA,NA
2021-04-11,517,NA,517,NA,NA,NA
2021-04-18,488,NA,488,NA,NA,NA
2021-04-25,330,NA,330,NA,NA,NA
2021-05-02,286,NA,286,NA,NA,NA
2021-05-09,266,NA,266,NA,NA,NA
2021-05-16,218,NA,218,NA,NA,NA
2021-05-23,279,NA,279,NA,NA,NA
2021-05-30,286,NA,286,NA,NA,NA
2021-06-06,314,NA,314,NA,NA,NA
2021-06-13,NA,384,384,NA,380,391
2021-06-20,NA,426,426,NA,420,436
2021-06-27,NA,405,405,NA,398,415
2021-07-04,NA,342,342,NA,335,353
2021-07-11,NA,314,314,NA,304,325
2021-07-18,NA,257,257,NA,246,270
2021-07-25,NA,215,215,NA,203,229
2021-08-01,NA,190,190,NA,176,206
2021-08-08,NA,192,192,NA,163,226
