"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-18,1,NA,NA,NA,1,NA,NA,NA
2020-03-25,2,NA,NA,NA,2,NA,NA,NA
2020-03-26,3,NA,NA,NA,3,NA,NA,NA
2020-03-29,4,NA,NA,NA,4,NA,NA,NA
2020-03-31,5,NA,NA,NA,5,NA,NA,NA
2020-04-04,6,NA,NA,NA,6,NA,NA,NA
2020-04-09,7,NA,NA,NA,7,NA,NA,NA
2020-04-11,9,NA,NA,NA,9,NA,NA,NA
2020-04-15,10,NA,NA,NA,9,NA,NA,NA
2020-04-16,11,NA,NA,NA,9,NA,NA,NA
2020-04-17,11,NA,NA,NA,9,NA,NA,NA
2020-04-18,13,NA,NA,NA,10,NA,NA,NA
2020-04-19,13,NA,NA,NA,11,NA,NA,NA
2020-04-20,13,NA,NA,NA,11,NA,NA,NA
2020-04-21,14,NA,NA,NA,13,NA,NA,NA
2020-04-22,15,NA,NA,NA,13,NA,NA,NA
2020-04-23,15,NA,NA,NA,13,NA,NA,NA
2020-04-24,16,NA,NA,NA,14,NA,NA,NA
2020-04-25,18,NA,NA,NA,15,NA,NA,NA
2020-04-26,20,NA,NA,NA,15,NA,NA,NA
2020-04-27,23,NA,NA,NA,16,NA,NA,NA
2020-04-28,23,NA,NA,NA,18,NA,NA,NA
2020-04-29,24,NA,NA,NA,20,NA,NA,NA
2020-04-30,24,NA,NA,NA,23,NA,NA,NA
2020-05-01,26,NA,NA,NA,23,NA,NA,NA
2020-05-02,27,NA,NA,NA,25,NA,NA,NA
2020-05-03,27,NA,NA,NA,25,NA,NA,NA
2020-05-04,27,NA,NA,NA,27,NA,NA,NA
2020-05-05,29,NA,NA,NA,28,NA,NA,NA
2020-05-06,29,NA,NA,NA,28,NA,NA,NA
2020-05-07,31,NA,NA,NA,28,NA,NA,NA
2020-05-08,31,NA,NA,NA,30,NA,NA,NA
2020-05-09,31,NA,NA,NA,31,NA,NA,NA
2020-05-10,32,NA,NA,NA,33,NA,NA,NA
2020-05-11,32,NA,NA,NA,33,NA,NA,NA
2020-05-12,33,NA,NA,NA,35,NA,NA,NA
2020-05-13,33,NA,NA,NA,38,NA,NA,NA
2020-05-14,33,NA,NA,NA,38,NA,NA,NA
2020-05-15,33,NA,NA,NA,41,NA,NA,NA
2020-05-16,34,NA,NA,NA,41,NA,NA,NA
2020-05-17,35,NA,NA,NA,41,NA,NA,NA
2020-05-18,36,NA,NA,NA,41,NA,NA,NA
2020-05-19,37,NA,NA,NA,42,NA,NA,NA
2020-05-20,38,NA,NA,NA,44,NA,NA,NA
2020-05-21,39,NA,NA,NA,46,NA,NA,NA
2020-05-22,40,NA,NA,NA,47,NA,NA,NA
2020-05-23,41,NA,NA,NA,47,NA,NA,NA
2020-05-24,42,42,33,125,48,48,48,48
2020-05-25,NA,43,33,129,NA,49,48,51
2020-05-26,NA,44,33,134,NA,49,48,53
2020-05-27,NA,45,33,139,NA,50,48,56
2020-05-28,NA,46,33,143,NA,50,48,59
2020-05-29,NA,48,33,148,NA,51,48,61
2020-05-30,NA,49,33,154,NA,51,48,64
2020-05-31,NA,50,33,159,NA,52,48,66
2020-06-01,NA,51,33,165,NA,53,48,68
2020-06-02,NA,53,33,170,NA,53,48,70
2020-06-03,NA,54,33,176,NA,53,48,72
2020-06-04,NA,55,33,182,NA,54,48,73
2020-06-05,NA,57,33,189,NA,54,48,75
2020-06-06,NA,58,33,195,NA,54,48,76
2020-06-07,NA,60,33,202,NA,54,48,76
2020-06-08,NA,61,33,209,NA,54,48,77
2020-06-09,NA,63,33,216,NA,54,48,77
2020-06-10,NA,64,33,224,NA,55,48,78
2020-06-11,NA,66,33,232,NA,55,48,78
2020-06-12,NA,68,33,240,NA,55,48,78
2020-06-13,NA,69,33,248,NA,55,48,78
