"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,31,NA,31,15.3,NA,NA
2020-03-22,27,NA,27,17.2,NA,NA
2020-03-29,18,NA,18,18.9,NA,NA
2020-04-05,22,NA,22,21.3,NA,NA
2020-04-12,16,NA,16,21.8,NA,NA
2020-04-19,9,NA,9,20.6,NA,NA
2020-04-26,23,NA,23,20.8,NA,NA
2020-05-03,26,NA,26,23.2,NA,NA
2020-05-10,28,NA,28,24.2,NA,NA
2020-05-17,18,NA,18,28.9,NA,NA
2020-05-24,19,NA,19,34.1,NA,NA
2020-05-31,29,NA,29,40,NA,NA
2020-06-07,42,NA,42,45.1,NA,NA
2020-06-14,32,NA,32,49.1,NA,NA
2020-06-21,63,NA,63,55.6,NA,NA
2020-06-28,61,NA,61,63.2,NA,NA
2020-07-05,82,NA,82,67.9,NA,NA
2020-07-12,77,NA,77,72.7,NA,NA
2020-07-19,68,NA,68,78.6,NA,NA
2020-07-26,83,NA,83,80.4,NA,NA
2020-08-02,95,NA,95,85,NA,NA
2020-08-09,76,NA,76,85.5,NA,NA
2020-08-16,90,NA,90,85.5,NA,NA
2020-08-23,91,NA,91,87.1,NA,NA
2020-08-30,81,NA,81,87.6,NA,NA
2020-09-06,107,NA,107,83.4,NA,NA
2020-09-13,87,NA,87,80.4,NA,NA
2020-09-20,NA,77,77,73.6,77,77
2020-09-27,NA,84,84,68.1,84,85
2020-10-04,NA,88,88,62.9,88,90
2020-10-11,NA,53,53,54.7,53,56
2020-10-18,NA,46,46,51.1111111111111,45,48
2020-10-25,NA,22,22,47.875,20,25
2020-11-01,NA,36,36,42.7142857142857,32,42
2020-11-08,NA,29,29,35.1666666666667,21,40
2020-11-15,NA,25,25,31.6,10,47
