"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2,NA,NA,NA,2,NA,NA,NA
2020-03-16,5,NA,NA,NA,5,NA,NA,NA
2020-03-17,7,NA,NA,NA,7,NA,NA,NA
2020-03-18,13,NA,NA,NA,13,NA,NA,NA
2020-03-19,20,NA,NA,NA,20,NA,NA,NA
2020-03-20,35,NA,NA,NA,35,NA,NA,NA
2020-03-21,47,NA,NA,NA,47,NA,NA,NA
2020-03-22,64,NA,NA,NA,64,NA,NA,NA
2020-03-23,93,NA,NA,NA,93,NA,NA,NA
2020-03-24,117,NA,NA,NA,117,NA,NA,NA
2020-03-25,139,NA,NA,NA,139,NA,NA,NA
2020-03-26,168,NA,NA,NA,168,NA,NA,NA
2020-03-27,211,NA,NA,NA,211,NA,NA,NA
2020-03-28,261,NA,NA,NA,261,NA,NA,NA
2020-03-29,309,NA,NA,NA,309,NA,NA,NA
2020-03-30,352,NA,NA,NA,352,NA,NA,NA
2020-03-31,417,NA,NA,NA,417,NA,NA,NA
2020-04-01,490,NA,NA,NA,490,NA,NA,NA
2020-04-02,562,NA,NA,NA,562,NA,NA,NA
2020-04-03,636,NA,NA,NA,636,NA,NA,NA
2020-04-04,724,NA,NA,NA,724,NA,NA,NA
2020-04-05,807,NA,NA,NA,807,NA,NA,NA
2020-04-06,888,NA,NA,NA,888,NA,NA,NA
2020-04-07,980,NA,NA,NA,980,NA,NA,NA
2020-04-08,1054,NA,NA,NA,1054,NA,NA,NA
2020-04-09,1121,NA,NA,NA,1121,NA,NA,NA
2020-04-10,1221,NA,NA,NA,1221,NA,NA,NA
2020-04-11,1310,NA,NA,NA,1310,NA,NA,NA
2020-04-12,1385,NA,NA,NA,1385,NA,NA,NA
2020-04-13,1487,NA,NA,NA,1487,NA,NA,NA
2020-04-14,1571,NA,NA,NA,1571,NA,NA,NA
2020-04-15,1662,NA,NA,NA,1662,NA,NA,NA
2020-04-16,1744,NA,NA,NA,1744,NA,NA,NA
2020-04-17,1840,NA,NA,NA,1840,NA,NA,NA
2020-04-18,1928,NA,NA,NA,1928,NA,NA,NA
2020-04-19,2014,NA,NA,NA,2014,NA,NA,NA
2020-04-20,2133,NA,NA,NA,2133,NA,NA,NA
2020-04-21,2231,NA,NA,NA,2231,NA,NA,NA
2020-04-22,2345,NA,NA,NA,2345,NA,NA,NA
2020-04-23,2472,NA,NA,NA,2472,NA,NA,NA
2020-04-24,2591,NA,NA,NA,2591,NA,NA,NA
2020-04-25,2698,NA,NA,NA,2698,NA,NA,NA
2020-04-26,2827,NA,NA,NA,2827,NA,NA,NA
2020-04-27,2958,NA,NA,NA,2958,NA,NA,NA
2020-04-28,3109,NA,NA,NA,3109,NA,NA,NA
2020-04-29,3268,NA,NA,NA,3268,NA,NA,NA
2020-04-30,3407,NA,NA,NA,3407,NA,NA,NA
2020-05-01,3555,NA,NA,NA,3555,NA,NA,NA
2020-05-02,3697,NA,NA,NA,3697,NA,NA,NA
2020-05-03,3846,NA,NA,NA,3846,NA,NA,NA
2020-05-04,4000,NA,NA,NA,4000,NA,NA,NA
2020-05-05,4166,NA,NA,NA,4166,NA,NA,NA
2020-05-06,4311,NA,NA,NA,4311,NA,NA,NA
2020-05-07,4478,NA,NA,NA,4478,NA,NA,NA
2020-05-08,4665,NA,NA,NA,4665,NA,NA,NA
2020-05-09,4831,NA,NA,NA,4831,NA,NA,NA
2020-05-10,5014,NA,NA,NA,5014,NA,NA,NA
2020-05-11,5169,NA,NA,NA,5169,NA,NA,NA
2020-05-12,5346,NA,NA,NA,5346,NA,NA,NA
2020-05-13,5537,NA,NA,NA,5537,NA,NA,NA
2020-05-14,5714,NA,NA,NA,5714,NA,NA,NA
2020-05-15,5881,NA,NA,NA,5881,NA,NA,NA
2020-05-16,6086,NA,NA,NA,6086,NA,NA,NA
2020-05-17,6263,NA,NA,NA,6263,NA,NA,NA
2020-05-18,6455,NA,NA,NA,6455,NA,NA,NA
2020-05-19,6649,NA,NA,NA,6649,NA,NA,NA
2020-05-20,6830,NA,NA,NA,6830,NA,NA,NA
2020-05-21,7037,NA,NA,NA,7037,NA,NA,NA
2020-05-22,7246,NA,NA,NA,7246,NA,NA,NA
2020-05-23,7446,NA,NA,NA,7446,NA,NA,NA
2020-05-24,7623,NA,NA,NA,7623,NA,NA,NA
2020-05-25,7807,NA,NA,NA,7807,NA,NA,NA
2020-05-26,7987,NA,NA,NA,7987,NA,NA,NA
2020-05-27,8193,NA,NA,NA,8193,NA,NA,NA
2020-05-28,8387,NA,NA,NA,8387,NA,NA,NA
2020-05-29,8584,NA,NA,NA,8584,NA,NA,NA
2020-05-30,8760,NA,NA,NA,8760,NA,NA,NA
2020-05-31,8939,NA,NA,NA,8939,NA,NA,NA
2020-06-01,9163,NA,NA,NA,9163,NA,NA,NA
2020-06-02,9380,NA,NA,NA,9380,NA,NA,NA
2020-06-03,9558,NA,NA,NA,9558,NA,NA,NA
2020-06-04,9725,NA,NA,NA,9725,NA,NA,NA
2020-06-05,9908,NA,NA,NA,9908,NA,NA,NA
2020-06-06,10066,NA,NA,NA,10066,NA,NA,NA
2020-06-07,10224,NA,NA,NA,10224,NA,NA,NA
2020-06-08,10438,NA,NA,NA,10438,NA,NA,NA
2020-06-09,10615,NA,NA,NA,10615,NA,NA,NA
2020-06-10,10798,NA,NA,NA,10798,NA,NA,NA
2020-06-11,10999,NA,NA,NA,10999,NA,NA,NA
2020-06-12,11187,NA,NA,NA,11187,NA,NA,NA
2020-06-13,11369,NA,NA,NA,11369,NA,NA,NA
2020-06-14,11535,NA,NA,NA,11535,NA,NA,NA
2020-06-15,11714,NA,NA,NA,11714,NA,NA,NA
2020-06-16,11875,NA,NA,NA,11875,NA,NA,NA
2020-06-17,12059,NA,NA,NA,12059,NA,NA,NA
2020-06-18,12215,NA,NA,NA,12215,NA,NA,NA
2020-06-19,12368,NA,NA,NA,12368,NA,NA,NA
2020-06-20,12515,NA,NA,NA,12515,NA,NA,NA
2020-06-21,12670,NA,NA,NA,12670,NA,NA,NA
2020-06-22,12821,NA,NA,NA,12821,NA,NA,NA
2020-06-23,12984,NA,NA,NA,12984,NA,NA,NA
2020-06-24,13121,NA,NA,NA,13121,NA,NA,NA
2020-06-25,13274,NA,NA,NA,13274,NA,NA,NA
2020-06-26,13425,NA,NA,NA,13425,NA,NA,NA
2020-06-27,13566,NA,NA,NA,13566,NA,NA,NA
2020-06-28,13686,NA,NA,NA,13686,NA,NA,NA
2020-06-29,13830,NA,NA,NA,13830,NA,NA,NA
2020-06-30,13973,NA,NA,NA,13973,NA,NA,NA
2020-07-01,14086,NA,NA,NA,14086,NA,NA,NA
2020-07-02,14214,NA,NA,NA,14214,NA,NA,NA
2020-07-03,14339,NA,NA,NA,14339,NA,NA,NA
2020-07-04,14443,NA,NA,NA,14443,NA,NA,NA
2020-07-05,14569,NA,NA,NA,14569,NA,NA,NA
2020-07-06,14699,NA,NA,NA,14699,NA,NA,NA
2020-07-07,14828,NA,NA,NA,14828,NA,NA,NA
2020-07-08,14954,NA,NA,NA,14954,NA,NA,NA
2020-07-09,15079,NA,NA,NA,15079,NA,NA,NA
2020-07-10,15214,NA,NA,NA,15214,NA,NA,NA
2020-07-11,15327,NA,NA,NA,15327,NA,NA,NA
2020-07-12,15456,NA,NA,NA,15456,NA,NA,NA
