"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,65,NA,NA,NA,65,NA,NA,NA
2020-03-16,77,NA,NA,NA,77,NA,NA,NA
2020-03-17,85,NA,NA,NA,85,NA,NA,NA
2020-03-18,102,NA,NA,NA,102,NA,NA,NA
2020-03-19,122,NA,NA,NA,122,NA,NA,NA
2020-03-20,150,NA,NA,NA,150,NA,NA,NA
2020-03-21,196,NA,NA,NA,196,NA,NA,NA
2020-03-22,236,NA,NA,NA,236,NA,NA,NA
2020-03-23,295,NA,NA,NA,295,NA,NA,NA
2020-03-24,362,NA,NA,NA,362,NA,NA,NA
2020-03-25,423,NA,NA,NA,423,NA,NA,NA
2020-03-26,501,NA,NA,NA,501,NA,NA,NA
2020-03-27,596,NA,NA,NA,596,NA,NA,NA
2020-03-28,691,NA,NA,NA,691,NA,NA,NA
2020-03-29,791,NA,NA,NA,791,NA,NA,NA
2020-03-30,892,NA,NA,NA,892,NA,NA,NA
2020-03-31,1019,NA,NA,NA,1019,NA,NA,NA
2020-04-01,1152,NA,NA,NA,1152,NA,NA,NA
2020-04-02,1286,NA,NA,NA,1286,NA,NA,NA
2020-04-03,1430,NA,NA,NA,1430,NA,NA,NA
2020-04-04,1595,NA,NA,NA,1595,NA,NA,NA
2020-04-05,1744,NA,NA,NA,1744,NA,NA,NA
2020-04-06,1896,NA,NA,NA,1896,NA,NA,NA
2020-04-07,2072,NA,NA,NA,2072,NA,NA,NA
2020-04-08,2208,NA,NA,NA,2208,NA,NA,NA
2020-04-09,2336,NA,NA,NA,2336,NA,NA,NA
2020-04-10,2493,NA,NA,NA,2493,NA,NA,NA
2020-04-11,2644,NA,NA,NA,2644,NA,NA,NA
2020-04-12,2788,NA,NA,NA,2788,NA,NA,NA
2020-04-13,2963,NA,NA,NA,2963,NA,NA,NA
2020-04-14,3105,NA,NA,NA,3105,NA,NA,NA
2020-04-15,3251,NA,NA,NA,3251,NA,NA,NA
2020-04-16,3391,NA,NA,NA,3391,NA,NA,NA
2020-04-17,3552,NA,NA,NA,3552,NA,NA,NA
2020-04-18,3704,NA,NA,NA,3704,NA,NA,NA
2020-04-19,3865,NA,NA,NA,3865,NA,NA,NA
2020-04-20,4043,NA,NA,NA,4043,NA,NA,NA
2020-04-21,4200,NA,NA,NA,4200,NA,NA,NA
2020-04-22,4364,NA,NA,NA,4364,NA,NA,NA
2020-04-23,4551,NA,NA,NA,4551,NA,NA,NA
2020-04-24,4719,NA,NA,NA,4719,NA,NA,NA
2020-04-25,4889,NA,NA,NA,4889,NA,NA,NA
2020-04-26,5076,NA,NA,NA,5076,NA,NA,NA
2020-04-27,5283,NA,NA,NA,5283,NA,NA,NA
2020-04-28,5493,NA,NA,NA,5493,NA,NA,NA
2020-04-29,5720,NA,NA,NA,5720,NA,NA,NA
2020-04-30,5916,NA,NA,NA,5916,NA,NA,NA
2020-05-01,6143,NA,NA,NA,6143,NA,NA,NA
2020-05-02,6337,NA,NA,NA,6337,NA,NA,NA
2020-05-03,6545,NA,NA,NA,6545,NA,NA,NA
2020-05-04,6752,NA,NA,NA,6752,NA,NA,NA
2020-05-05,6982,NA,NA,NA,6982,NA,NA,NA
2020-05-06,7191,NA,NA,NA,7191,NA,NA,NA
2020-05-07,7416,NA,NA,NA,7416,NA,NA,NA
2020-05-08,7683,NA,NA,NA,7691,NA,NA,NA
2020-05-09,7908,NA,NA,NA,7923,NA,NA,NA
2020-05-10,8133,NA,NA,NA,8154,NA,NA,NA
2020-05-11,8364,NA,NA,NA,8391,NA,NA,NA
2020-05-12,8588,NA,NA,NA,8626,NA,NA,NA
2020-05-13,8822,NA,NA,NA,8863,NA,NA,NA
2020-05-14,9044,NA,NA,NA,9091,NA,NA,NA
2020-05-15,9256,NA,NA,NA,9307,NA,NA,NA
2020-05-16,9484,NA,NA,NA,9544,NA,NA,NA
2020-05-17,9708,NA,NA,NA,9774,NA,NA,NA
2020-05-18,9950,NA,NA,NA,10022,NA,NA,NA
2020-05-19,10172,NA,NA,NA,10249,NA,NA,NA
2020-05-20,10391,NA,NA,NA,10475,NA,NA,NA
2020-05-21,10626,NA,NA,NA,10723,NA,NA,NA
2020-05-22,10861,NA,NA,NA,10960,NA,NA,NA
2020-05-23,11098,NA,NA,NA,11198,NA,NA,NA
2020-05-24,11306,NA,NA,NA,11402,NA,NA,NA
2020-05-25,11526,NA,NA,NA,11624,NA,NA,NA
2020-05-26,11760,NA,NA,NA,11861,NA,NA,NA
2020-05-27,12017,NA,NA,NA,12118,NA,NA,NA
2020-05-28,12237,NA,NA,NA,12334,NA,NA,NA
2020-05-29,12473,NA,NA,NA,12559,NA,NA,NA
2020-05-30,12696,NA,NA,NA,12766,NA,NA,NA
2020-05-31,12921,NA,NA,NA,12971,NA,NA,NA
2020-06-01,13158,NA,NA,NA,13200,NA,NA,NA
2020-06-02,13396,NA,NA,NA,13425,NA,NA,NA
2020-06-03,13605,NA,NA,NA,13610,NA,NA,NA
2020-06-04,13827,NA,NA,NA,13800,NA,NA,NA
2020-06-05,14038,NA,NA,NA,13985,NA,NA,NA
2020-06-06,14248,NA,NA,NA,14163,NA,NA,NA
2020-06-07,14469,NA,NA,NA,14340,NA,NA,NA
2020-06-08,14714,NA,NA,NA,14544,NA,NA,NA
2020-06-09,14935,NA,NA,NA,14714,NA,NA,NA
2020-06-10,15146,NA,NA,NA,14884,NA,NA,NA
2020-06-11,15387,NA,NA,NA,15075,NA,NA,NA
2020-06-12,15614,NA,NA,NA,15237,NA,NA,NA
2020-06-13,15848,NA,NA,NA,15374,NA,NA,NA
2020-06-14,16101,NA,NA,NA,15516,NA,NA,NA
2020-06-15,16364,NA,NA,NA,15666,NA,NA,NA
2020-06-16,16602,16602,16238,17031,15767,15767,15767,15767
2020-06-17,NA,16867,16475,17328,NA,15987,15959,16021
2020-06-18,NA,17130,16706,17628,NA,16201,16145,16267
2020-06-19,NA,17397,16941,17933,NA,16407,16325,16505
2020-06-20,NA,17669,17179,18244,NA,16607,16498,16735
2020-06-21,NA,17944,17420,18560,NA,16796,16663,16954
2020-06-22,NA,18224,17664,18881,NA,16972,16816,17157
2020-06-23,NA,18508,17912,19208,NA,17133,16955,17343
2020-06-24,NA,18797,18163,19541,NA,17273,17077,17504
2020-06-25,NA,19090,18418,19879,NA,17388,17177,17637
2020-06-26,NA,19388,18677,20223,NA,17475,17252,17738
2020-06-27,NA,19690,18939,20574,NA,17524,17295,17795
