"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,743,NA,743,NA,NA,NA
2020-03-22,1820,NA,1820,NA,NA,NA
2020-03-29,2508,NA,2508,NA,NA,NA
2020-04-05,2474,NA,2474,NA,NA,NA
2020-04-12,2779,NA,2779,NA,NA,NA
2020-04-19,3708,NA,3708,NA,NA,NA
2020-04-26,4341,NA,4341,NA,NA,NA
2020-05-03,4653,NA,4653,NA,NA,NA
2020-05-10,5103,NA,5103,NA,NA,NA
2020-05-17,5089,NA,5089,NA,NA,NA
2020-05-24,4609,NA,4609,NA,NA,NA
2020-05-31,4163,NA,4163,NA,NA,NA
2020-06-07,4171,NA,4171,NA,NA,NA
2020-06-14,3694,NA,3694,NA,NA,NA
2020-06-21,3357,NA,3357,NA,NA,NA
2020-06-28,2980,NA,2980,NA,NA,NA
2020-07-05,3467,NA,3467,NA,NA,NA
2020-07-12,3251,NA,3251,NA,NA,NA
2020-07-19,2804,NA,2804,NA,NA,NA
2020-07-26,2681,NA,2681,NA,NA,NA
2020-08-02,2433,NA,2433,NA,NA,NA
2020-08-09,2063,NA,2063,NA,NA,NA
2020-08-16,1917,NA,1917,NA,NA,NA
2020-08-23,1784,NA,1784,NA,NA,NA
2020-08-30,1712,NA,1712,NA,NA,NA
2020-09-06,1662,NA,1662,NA,NA,NA
2020-09-13,1284,NA,1284,NA,NA,NA
2020-09-20,1256,NA,1256,NA,NA,NA
2020-09-27,1089,NA,1089,NA,NA,NA
2020-10-04,1127,NA,1127,NA,NA,NA
2020-10-11,1064,NA,1064,NA,NA,NA
2020-10-18,1086,NA,1086,NA,NA,NA
2020-10-25,1301,NA,1301,NA,NA,NA
2020-11-01,1411,NA,1411,NA,NA,NA
2020-11-08,1959,NA,1959,NA,NA,NA
2020-11-15,2361,NA,2361,NA,NA,NA
2020-11-22,2533,NA,2533,NA,NA,NA
2020-11-29,2565,NA,2565,NA,NA,NA
2020-12-06,2918,NA,2918,NA,NA,NA
2020-12-13,2702,NA,2702,NA,NA,NA
2020-12-20,2637,NA,2637,NA,NA,NA
2020-12-27,2775,NA,2775,NA,NA,NA
2021-01-03,3423,NA,3423,NA,NA,NA
2021-01-10,3459,NA,3459,NA,NA,NA
2021-01-17,2675,NA,2675,NA,NA,NA
2021-01-24,2412,NA,2412,NA,NA,NA
2021-01-31,2191,NA,2191,NA,NA,NA
2021-02-07,2715,NA,2715,NA,NA,NA
2021-02-14,3147,NA,3147,NA,NA,NA
2021-02-21,4454,NA,4454,NA,NA,NA
2021-02-28,5557,NA,5557,NA,NA,NA
2021-03-07,8336,NA,8336,NA,NA,NA
2021-03-14,9049,NA,9049,NA,NA,NA
2021-03-21,8432,NA,8432,NA,NA,NA
2021-03-28,NA,6005,6005,NA,5988,6027
2021-04-04,NA,5057,5057,NA,5033,5084
2021-04-11,NA,4518,4518,NA,4487,4550
2021-04-18,NA,3791,3791,NA,3757,3827
2021-04-25,NA,3851,3851,NA,3808,3895
2021-05-02,NA,3772,3772,NA,3715,3829.025
2021-05-09,NA,3522,3522,NA,3443,3603
2021-05-16,NA,3633,3633,NA,3470,3799
2021-05-23,NA,3130,3130,NA,2682,3629
