"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,2,NA,2,336.5,NA,NA
2020-03-22,62,NA,62,405,NA,NA
2020-03-29,245,NA,245,482.125,NA,NA
2020-04-05,502,NA,502,558.333333333333,NA,NA
2020-04-12,578,NA,578,627.6,NA,NA
2020-04-19,630,NA,630,763.8,NA,NA
2020-04-26,816,NA,816,889.5,NA,NA
2020-05-03,1022,NA,1022,994.4,NA,NA
2020-05-10,1168,NA,1168,1076.1,NA,NA
2020-05-17,1251,NA,1251,1132.2,NA,NA
2020-05-24,1364,NA,1364,1171.2,NA,NA
2020-05-31,1319,NA,1319,1178.2,NA,NA
2020-06-07,1294,NA,1294,1165.2,NA,NA
2020-06-14,1319,NA,1319,1140.3,NA,NA
2020-06-21,1139,NA,1139,1089.3,NA,NA
2020-06-28,1020,NA,1020,1032.1,NA,NA
2020-07-05,886,NA,886,975.5,NA,NA
2020-07-12,892,NA,892,917.6,NA,NA
2020-07-19,919,NA,919,840.3,NA,NA
2020-07-26,741,NA,741,779.2,NA,NA
2020-08-02,792,NA,792,722.7,NA,NA
2020-08-09,753,NA,753,681.3,NA,NA
2020-08-16,715,NA,715,630.6,NA,NA
2020-08-23,546,NA,546,569.3,NA,NA
2020-08-30,528,NA,528,529.4,NA,NA
2020-09-06,455,NA,455,478.4,NA,NA
2020-09-13,474,NA,472,426.1,NA,NA
2020-09-20,NA,385,385,376.3,381,393
2020-09-27,NA,306,306,343.3,301,314
2020-10-04,NA,342,342,310.6,335,351
2020-10-11,NA,282,282,286.2,275,291
2020-10-18,NA,230,230,265.555555555556,223,239
2020-10-25,NA,217,217,250.625,209,228
2020-11-01,NA,216,216,242.714285714286,206,228
2020-11-08,NA,201,201,226.166666666667,188,217
2020-11-15,NA,211,211,215,183,243
