"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,6,NA,6,11.5,NA,NA
2020-03-16,12,NA,12,15.9,NA,NA
2020-03-17,9,NA,9,19.8,NA,NA
2020-03-18,19,NA,19,25.4,NA,NA
2020-03-19,20,NA,20,31.3,NA,NA
2020-03-20,30,NA,30,37,NA,NA
2020-03-21,46,NA,46,43.8,NA,NA
2020-03-22,43,NA,43,52.7,NA,NA
2020-03-23,63,NA,63,60.5,NA,NA
2020-03-24,65,NA,65,68.6,NA,NA
2020-03-25,63,NA,63,76.2,NA,NA
2020-03-26,80,NA,80,84.6,NA,NA
2020-03-27,98,NA,98,94,NA,NA
2020-03-28,97,NA,97,101.4,NA,NA
2020-03-29,101,NA,101,110.4,NA,NA
2020-03-30,106,NA,106,121.5,NA,NA
2020-03-31,130,NA,130,129.6,NA,NA
2020-04-01,137,NA,137,135.8,NA,NA
2020-04-02,137,NA,137,143.9,NA,NA
2020-04-03,155,NA,155,148,NA,NA
2020-04-04,174,NA,174,150.9,NA,NA
2020-04-05,161,NA,161,154.4,NA,NA
2020-04-06,160,NA,160,156.7,NA,NA
2020-04-07,178,NA,178,157.9,NA,NA
2020-04-08,142,NA,142,160.6,NA,NA
2020-04-09,135,NA,135,158.6,NA,NA
2020-04-10,165,NA,165,157.6,NA,NA
2020-04-11,160,NA,160,156.4,NA,NA
2020-04-12,149,NA,149,154.6,NA,NA
2020-04-13,182,NA,182,156,NA,NA
2020-04-14,154,NA,154,159.1,NA,NA
2020-04-15,151,NA,151,161.6,NA,NA
2020-04-16,148,NA,148,162.4,NA,NA
2020-04-17,160,NA,160,165.7,NA,NA
2020-04-18,156,NA,156,167.4,NA,NA
2020-04-19,166,NA,166,170.9,NA,NA
2020-04-20,190,NA,190,174.6,NA,NA
2020-04-21,168,NA,168,179.9,NA,NA
2020-04-22,182,NA,182,185.7,NA,NA
2020-04-23,199,NA,199,193.1,NA,NA
2020-04-24,189,NA,189,200.9,NA,NA
2020-04-25,188,NA,188,203.3,NA,NA
2020-04-26,201,NA,201,210.9,NA,NA
2020-04-27,218,NA,218,213.6,NA,NA
2020-04-28,230,NA,230,216,NA,NA
