"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,422,NA,422,424.5,NA,NA
2020-03-16,498,NA,498,468.8,NA,NA
2020-03-17,468,NA,468,505.6,NA,NA
2020-03-18,539,NA,539,558.4,NA,NA
2020-03-19,563,NA,563,598.8,NA,NA
2020-03-20,780,NA,780,624.9,NA,NA
2020-03-21,618,NA,618,647.7,NA,NA
2020-03-22,591,NA,591,666.7,NA,NA
2020-03-23,792,NA,792,676.4,NA,NA
2020-03-24,717,NA,717,677.9,NA,NA
2020-03-25,683,NA,683,664.3,NA,NA
2020-03-26,726,NA,726,662,NA,NA
2020-03-27,658,NA,658,687.8,NA,NA
2020-03-28,636,NA,636,673.8,NA,NA
2020-03-29,578,NA,578,665.8,NA,NA
2020-03-30,644,NA,644,658.2,NA,NA
2020-03-31,595,NA,595,645.7,NA,NA
2020-04-01,849,NA,849,646.8,NA,NA
2020-04-02,652,NA,652,644,NA,NA
2020-04-03,637,NA,637,651.1,NA,NA
2020-04-04,607,NA,607,650.7,NA,NA
2020-04-05,601,NA,601,679.4,NA,NA
2020-04-06,669,NA,669,655.8,NA,NA
2020-04-07,608,NA,608,659.6,NA,NA
2020-04-08,649,NA,649,669.2,NA,NA
2020-04-09,640,NA,640,680.3,NA,NA
2020-04-10,882,NA,882,706.8,NA,NA
2020-04-11,613,NA,613,715.4,NA,NA
2020-04-12,690,NA,690,738.7,NA,NA
2020-04-13,733,NA,733,764.7,NA,NA
2020-04-14,718,NA,718,783,NA,NA
2020-04-15,866,NA,866,818.6,NA,NA
2020-04-16,755,NA,755,838.7,NA,NA
2020-04-17,841,NA,841,857,NA,NA
2020-04-18,909,NA,909,872.7,NA,NA
2020-04-19,823,NA,823,896.8,NA,NA
2020-04-20,1238,NA,1238,906.7,NA,NA
2020-04-21,814,NA,814,916.3,NA,NA
2020-04-22,873,NA,873,929.5,NA,NA
2020-04-23,890,NA,890,925.3,NA,NA
2020-04-24,959,NA,959,918.2,NA,NA
2020-04-25,971,NA,965,893.5,NA,NA
2020-04-26,NA,851,851,953.6,846,858
2020-04-27,NA,973,973,958.5,966,987
2020-04-28,NA,867,867,965.5,857,883
2020-04-29,NA,752,752,975.5,743,768
2020-04-30,NA,991,991,984.3,979,1012
2020-05-01,NA,1415,1415,992.2,1399,1446
2020-05-02,NA,922,922,994.4,910,946
2020-05-03,NA,960,960,1005.7,946,985
2020-05-04,NA,1059,1059,1026.1,1043,1086
2020-05-05,NA,1053,1053,1064.5,1037,1080
2020-05-06,NA,930,930,1031.4,914,955
2020-05-07,NA,995,995,1044.7,978,1023
2020-05-08,NA,980,980,1046.6,961,1007
2020-05-09,NA,956,956,1039.9,937,983
2020-05-10,NA,1375,1375,1058.8,1349,1411.025
2020-05-11,NA,1084,1084,1067.2,1061,1116
2020-05-12,NA,1055,1055,1068.1,1032,1087
2020-05-13,NA,979,979,1085.2,955,1010
2020-05-14,NA,992,992,1087.3,967,1025
2020-05-15,NA,1242,1242,1087.3,1213,1281
2020-05-16,NA,1014,1014,1080.1,986,1050
2020-05-17,NA,1004,1004,1072.6,974,1040
2020-05-18,NA,1151,1151,1067.4,1117,1193
2020-05-19,NA,977,977,1064.6,943,1016
2020-05-20,NA,1375,1375,1061.7,1330,1424.025
2020-05-21,NA,1012,1012,1067.2,972,1057
2020-05-22,NA,980,980,1069.9,937,1027
2020-05-23,NA,927,927,1070.6,883,976
2020-05-24,NA,964,964,1079.7,915,1018.025
2020-05-25,NA,1213,1213,1062.6,1150,1281
2020-05-26,NA,1069,1069,1088.7,1003,1141
2020-05-27,NA,1031,1031,1128.6,955,1111
2020-05-28,NA,1158,1158,1181.2,1069,1257
2020-05-29,NA,1068,1068,1222.6,971,1174
2020-05-30,NA,1204,1204,1223.66666666667,1085,1335
2020-05-31,NA,1273,1273,1243,1129,1432
2020-06-01,NA,1379,1379,1273.28571428571,1187,1590.025
2020-06-02,NA,1453,1453,1292.5,1194,1761
2020-06-03,NA,1378,1378,1337.4,992,1917.025
