"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,77,NA,NA,NA,77,NA,NA,NA
2020-03-16,85,NA,NA,NA,85,NA,NA,NA
2020-03-17,90,NA,NA,NA,90,NA,NA,NA
2020-03-18,93,NA,NA,NA,93,NA,NA,NA
2020-03-19,96,NA,NA,NA,96,NA,NA,NA
2020-03-20,99,NA,NA,NA,99,NA,NA,NA
2020-03-21,102,NA,NA,NA,102,NA,NA,NA
2020-03-22,109,NA,NA,NA,109,NA,NA,NA
2020-03-23,111,NA,NA,NA,111,NA,NA,NA
2020-03-24,119,NA,NA,NA,119,NA,NA,NA
2020-03-25,124,NA,NA,NA,124,NA,NA,NA
2020-03-26,126,NA,NA,NA,126,NA,NA,NA
2020-03-27,131,NA,NA,NA,131,NA,NA,NA
2020-03-28,136,NA,NA,NA,136,NA,NA,NA
2020-03-29,143,NA,NA,NA,143,NA,NA,NA
2020-03-30,147,NA,NA,NA,147,NA,NA,NA
2020-03-31,153,NA,NA,NA,153,NA,NA,NA
2020-04-01,160,NA,NA,NA,160,NA,NA,NA
2020-04-02,166,NA,NA,NA,166,NA,NA,NA
2020-04-03,173,NA,NA,NA,173,NA,NA,NA
2020-04-04,184,NA,NA,NA,184,NA,NA,NA
2020-04-05,194,NA,NA,NA,194,NA,NA,NA
2020-04-06,205,NA,NA,NA,205,NA,NA,NA
2020-04-07,210,NA,NA,NA,210,NA,NA,NA
2020-04-08,221,NA,NA,NA,221,NA,NA,NA
2020-04-09,223,NA,NA,NA,223,NA,NA,NA
2020-04-10,230,NA,NA,NA,230,NA,NA,NA
2020-04-11,233,NA,NA,NA,233,NA,NA,NA
2020-04-12,242,NA,NA,NA,242,NA,NA,NA
2020-04-13,247,NA,NA,NA,247,NA,NA,NA
2020-04-14,261,NA,NA,NA,261,NA,NA,NA
2020-04-15,273,NA,NA,NA,273,NA,NA,NA
2020-04-16,282,NA,NA,NA,282,NA,NA,NA
2020-04-17,293,NA,NA,NA,293,NA,NA,NA
2020-04-18,303,NA,NA,NA,303,NA,NA,NA
2020-04-19,312,NA,NA,NA,312,NA,NA,NA
2020-04-20,324,NA,NA,NA,324,NA,NA,NA
2020-04-21,331,NA,NA,NA,331,NA,NA,NA
2020-04-22,346,NA,NA,NA,346,NA,NA,NA
2020-04-23,354,NA,NA,NA,354,NA,NA,NA
2020-04-24,364,NA,NA,NA,364,NA,NA,NA
2020-04-25,374,NA,NA,NA,374,NA,NA,NA
2020-04-26,380,NA,NA,NA,380,NA,NA,NA
2020-04-27,393,NA,NA,NA,393,NA,NA,NA
2020-04-28,407,NA,NA,NA,407,NA,NA,NA
2020-04-29,414,NA,NA,NA,414,NA,NA,NA
2020-04-30,423,NA,NA,NA,423,NA,NA,NA
2020-05-01,435,NA,NA,NA,435,NA,NA,NA
2020-05-02,446,NA,NA,NA,446,NA,NA,NA
2020-05-03,461,NA,NA,NA,461,NA,NA,NA
2020-05-04,471,NA,NA,NA,471,NA,NA,NA
2020-05-05,473,NA,NA,NA,473,NA,NA,NA
2020-05-06,487,NA,NA,NA,487,NA,NA,NA
2020-05-07,491,NA,NA,NA,491,NA,NA,NA
2020-05-08,498,NA,NA,NA,498,NA,NA,NA
2020-05-09,507,NA,NA,NA,507,NA,NA,NA
2020-05-10,518,NA,NA,NA,518,NA,NA,NA
2020-05-11,523,NA,NA,NA,523,NA,NA,NA
2020-05-12,528,NA,NA,NA,528,NA,NA,NA
2020-05-13,535,NA,NA,NA,535,NA,NA,NA
2020-05-14,544,NA,NA,NA,544,NA,NA,NA
2020-05-15,554,NA,NA,NA,554,NA,NA,NA
2020-05-16,560,NA,NA,NA,560,NA,NA,NA
2020-05-17,567,NA,NA,NA,567,NA,NA,NA
2020-05-18,578,NA,NA,NA,578,NA,NA,NA
2020-05-19,589,NA,NA,NA,589,NA,NA,NA
2020-05-20,605,NA,NA,NA,605,NA,NA,NA
2020-05-21,616,NA,NA,NA,616,NA,NA,NA
2020-05-22,632,NA,NA,NA,632,NA,NA,NA
2020-05-23,644,NA,NA,NA,644,NA,NA,NA
2020-05-24,656,NA,NA,NA,656,NA,NA,NA
2020-05-25,667,NA,NA,NA,667,NA,NA,NA
2020-05-26,677,NA,NA,NA,677,NA,NA,NA
2020-05-27,693,NA,NA,NA,693,NA,NA,NA
2020-05-28,705,NA,NA,NA,705,NA,NA,NA
2020-05-29,718,NA,NA,NA,718,NA,NA,NA
2020-05-30,721,NA,NA,NA,721,NA,NA,NA
2020-05-31,731,NA,NA,NA,731,NA,NA,NA
2020-06-01,755,NA,NA,NA,755,NA,NA,NA
2020-06-02,764,NA,NA,NA,764,NA,NA,NA
2020-06-03,777,NA,NA,NA,777,NA,NA,NA
2020-06-04,793,NA,NA,NA,793,NA,NA,NA
2020-06-05,805,NA,NA,NA,805,NA,NA,NA
2020-06-06,812,NA,NA,NA,812,NA,NA,NA
2020-06-07,822,NA,NA,NA,822,NA,NA,NA
2020-06-08,834,NA,NA,NA,834,NA,NA,NA
2020-06-09,847,NA,NA,NA,847,NA,NA,NA
2020-06-10,856,NA,NA,NA,856,NA,NA,NA
2020-06-11,868,NA,NA,NA,868,NA,NA,NA
2020-06-12,891,NA,NA,NA,891,NA,NA,NA
2020-06-13,901,NA,NA,NA,901,NA,NA,NA
2020-06-14,907,NA,NA,NA,907,NA,NA,NA
2020-06-15,930,NA,NA,NA,930,NA,NA,NA
2020-06-16,949,NA,NA,NA,949,NA,NA,NA
2020-06-17,962,NA,NA,NA,962,NA,NA,NA
2020-06-18,980,NA,NA,NA,980,NA,NA,NA
2020-06-19,994,NA,NA,NA,994,NA,NA,NA
2020-06-20,1007,NA,NA,NA,1007,NA,NA,NA
2020-06-21,1016,NA,NA,NA,1016,NA,NA,NA
2020-06-22,1032,NA,NA,NA,1032,NA,NA,NA
2020-06-23,1052,NA,NA,NA,1052,NA,NA,NA
2020-06-24,1070,NA,NA,NA,1070,NA,NA,NA
2020-06-25,1086,NA,NA,NA,1085,NA,NA,NA
2020-06-26,1103,NA,NA,NA,1101,NA,NA,NA
2020-06-27,1114,NA,NA,NA,1111,NA,NA,NA
2020-06-28,1135,NA,NA,NA,1131,NA,NA,NA
2020-06-29,1160,NA,NA,NA,1158,NA,NA,NA
2020-06-30,1171,NA,NA,NA,1168,NA,NA,NA
2020-07-01,1195,NA,NA,NA,1192,NA,NA,NA
2020-07-02,1210,NA,NA,NA,1206,NA,NA,NA
2020-07-03,1229,NA,NA,NA,1224,NA,NA,NA
2020-07-04,1256,NA,NA,NA,1250,NA,NA,NA
2020-07-05,1278,NA,NA,NA,1271,NA,NA,NA
2020-07-06,1304,NA,NA,NA,1295,NA,NA,NA
2020-07-07,1331,NA,NA,NA,1321,NA,NA,NA
2020-07-08,1353,NA,NA,NA,1341,NA,NA,NA
2020-07-09,1368,NA,NA,NA,1354,NA,NA,NA
2020-07-10,1401,NA,NA,NA,1387,NA,NA,NA
2020-07-11,1418,NA,NA,NA,1403,NA,NA,NA
2020-07-12,1448,NA,NA,NA,1430,NA,NA,NA
2020-07-13,1471,NA,NA,NA,1451,NA,NA,NA
2020-07-14,1491,NA,NA,NA,1468,NA,NA,NA
2020-07-15,1505,NA,NA,NA,1481,NA,NA,NA
2020-07-16,1521,NA,NA,NA,1495,NA,NA,NA
2020-07-17,1545,NA,NA,NA,1518,NA,NA,NA
2020-07-18,1559,NA,NA,NA,1530,NA,NA,NA
2020-07-19,1573,NA,NA,NA,1541,NA,NA,NA
2020-07-20,1598,NA,NA,NA,1565,NA,NA,NA
2020-07-21,1612,NA,NA,NA,1580,NA,NA,NA
2020-07-22,1626,NA,NA,NA,1591,NA,NA,NA
2020-07-23,1643,NA,NA,NA,1604,NA,NA,NA
2020-07-24,1658,NA,NA,NA,1618,NA,NA,NA
2020-07-25,1679,NA,NA,NA,1634,NA,NA,NA
2020-07-26,1703,NA,NA,NA,1653,NA,NA,NA
2020-07-27,1722,NA,NA,NA,1668,NA,NA,NA
2020-07-28,1744,NA,NA,NA,1682,NA,NA,NA
2020-07-29,1764,NA,NA,NA,1693,NA,NA,NA
2020-07-30,1784,1784,1661,2053,1703,1703,1703,1703
2020-07-31,NA,1805,1673,2090,NA,1721,1712,1737
2020-08-01,NA,1827,1684,2129,NA,1738,1721,1770
2020-08-02,NA,1848,1695,2168,NA,1755,1730,1801
2020-08-03,NA,1870,1706,2209,NA,1770,1737,1830
2020-08-04,NA,1892,1718,2250,NA,1784,1745,1857
2020-08-05,NA,1914,1729,2291,NA,1797,1751,1880
2020-08-06,NA,1937,1741,2334,NA,1807,1756,1900
2020-08-07,NA,1960,1752,2377,NA,1815,1760,1915
2020-08-08,NA,1983,1764,2421,NA,1821,1763,1927
2020-08-09,NA,2006,1776,2466,NA,1824,1765,1933
2020-08-10,NA,2030,1788,2512,NA,1825,1765,1936
2020-08-11,NA,2053,1800,2559,NA,1826,1766,1936
2020-08-12,NA,2078,1812,2606,NA,1826,1766,1936
