"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,31,NA,31,NA,NA,NA
2020-03-22,32,NA,32,NA,NA,NA
2020-03-29,35,NA,35,NA,NA,NA
2020-04-05,51,NA,51,NA,NA,NA
2020-04-12,48,NA,48,NA,NA,NA
2020-04-19,71,NA,71,NA,NA,NA
2020-04-26,68,NA,68,NA,NA,NA
2020-05-03,85,NA,85,NA,NA,NA
2020-05-10,57,NA,57,NA,NA,NA
2020-05-17,48,NA,48,NA,NA,NA
2020-05-24,87,NA,87,NA,NA,NA
2020-05-31,75,NA,75,NA,NA,NA
2020-06-07,91,NA,91,NA,NA,NA
2020-06-14,86,NA,86,NA,NA,NA
2020-06-21,107,NA,107,NA,NA,NA
2020-06-28,114,NA,114,NA,NA,NA
2020-07-05,140,NA,140,NA,NA,NA
2020-07-12,166,NA,166,NA,NA,NA
2020-07-19,114,NA,114,NA,NA,NA
2020-07-26,121,NA,121,NA,NA,NA
2020-08-02,123,NA,123,NA,NA,NA
2020-08-09,130,NA,130,NA,NA,NA
2020-08-16,114,NA,114,NA,NA,NA
2020-08-23,130,NA,130,NA,NA,NA
2020-08-30,149,NA,149,NA,NA,NA
2020-09-06,126,NA,126,NA,NA,NA
2020-09-13,117,NA,117,NA,NA,NA
2020-09-20,138,NA,138,NA,NA,NA
2020-09-27,100,NA,100,NA,NA,NA
2020-10-04,148,NA,148,NA,NA,NA
2020-10-11,125,NA,125,NA,NA,NA
2020-10-18,123,NA,123,NA,NA,NA
2020-10-25,96,NA,96,NA,NA,NA
2020-11-01,98,NA,98,NA,NA,NA
2020-11-08,127,NA,127,NA,NA,NA
2020-11-15,134,NA,134,NA,NA,NA
2020-11-22,142,NA,142,NA,NA,NA
2020-11-29,130,NA,130,NA,NA,NA
2020-12-06,163,NA,163,NA,NA,NA
2020-12-13,160,NA,160,NA,NA,NA
2020-12-20,217,NA,217,NA,NA,NA
2020-12-27,208,NA,208,NA,NA,NA
2021-01-03,260,NA,260,NA,NA,NA
2021-01-10,265,NA,265,NA,NA,NA
2021-01-17,249,NA,249,NA,NA,NA
2021-01-24,233,NA,233,NA,NA,NA
2021-01-31,195,NA,195,NA,NA,NA
2021-02-07,226,NA,226,NA,NA,NA
2021-02-14,218,NA,218,NA,NA,NA
2021-02-21,273,NA,273,NA,NA,NA
2021-02-28,305,NA,305,NA,NA,NA
2021-03-07,417,NA,417,NA,NA,NA
2021-03-14,523,NA,523,NA,NA,NA
2021-03-21,472,NA,472,NA,NA,NA
2021-03-28,476,NA,476,NA,NA,NA
2021-04-04,441,NA,441,NA,NA,NA
2021-04-11,460,NA,460,NA,NA,NA
2021-04-18,446,NA,446,NA,NA,NA
2021-04-25,492,NA,492,NA,NA,NA
2021-05-02,496,NA,496,NA,NA,NA
2021-05-09,508,NA,508,NA,NA,NA
