"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,99,NA,NA,NA,99,NA,NA,NA
2020-03-16,109,NA,NA,NA,109,NA,NA,NA
2020-03-17,117,NA,NA,NA,117,NA,NA,NA
2020-03-18,121,NA,NA,NA,121,NA,NA,NA
2020-03-19,127,NA,NA,NA,127,NA,NA,NA
2020-03-20,147,NA,NA,NA,147,NA,NA,NA
2020-03-21,158,NA,NA,NA,158,NA,NA,NA
2020-03-22,174,NA,NA,NA,174,NA,NA,NA
2020-03-23,195,NA,NA,NA,195,NA,NA,NA
2020-03-24,201,NA,NA,NA,201,NA,NA,NA
2020-03-25,212,NA,NA,NA,212,NA,NA,NA
2020-03-26,224,NA,NA,NA,224,NA,NA,NA
2020-03-27,237,NA,NA,NA,237,NA,NA,NA
2020-03-28,243,NA,NA,NA,243,NA,NA,NA
2020-03-29,262,NA,NA,NA,262,NA,NA,NA
2020-03-30,276,NA,NA,NA,276,NA,NA,NA
2020-03-31,283,NA,NA,NA,283,NA,NA,NA
2020-04-01,301,NA,NA,NA,301,NA,NA,NA
2020-04-02,314,NA,NA,NA,314,NA,NA,NA
2020-04-03,322,NA,NA,NA,322,NA,NA,NA
2020-04-04,333,NA,NA,NA,333,NA,NA,NA
2020-04-05,343,NA,NA,NA,343,NA,NA,NA
2020-04-06,357,NA,NA,NA,357,NA,NA,NA
2020-04-07,364,NA,NA,NA,364,NA,NA,NA
2020-04-08,382,NA,NA,NA,382,NA,NA,NA
2020-04-09,391,NA,NA,NA,391,NA,NA,NA
2020-04-10,410,NA,NA,NA,410,NA,NA,NA
2020-04-11,422,NA,NA,NA,422,NA,NA,NA
2020-04-12,431,NA,NA,NA,431,NA,NA,NA
2020-04-13,440,NA,NA,NA,440,NA,NA,NA
2020-04-14,458,NA,NA,NA,458,NA,NA,NA
2020-04-15,472,NA,NA,NA,472,NA,NA,NA
2020-04-16,487,NA,NA,NA,487,NA,NA,NA
2020-04-17,499,NA,NA,NA,499,NA,NA,NA
2020-04-18,509,NA,NA,NA,509,NA,NA,NA
2020-04-19,521,NA,NA,NA,521,NA,NA,NA
2020-04-20,541,NA,NA,NA,541,NA,NA,NA
2020-04-21,553,NA,NA,NA,553,NA,NA,NA
2020-04-22,565,NA,NA,NA,565,NA,NA,NA
2020-04-23,580,NA,NA,NA,580,NA,NA,NA
2020-04-24,595,NA,NA,NA,595,NA,NA,NA
2020-04-25,614,NA,NA,NA,614,NA,NA,NA
2020-04-26,627,NA,NA,NA,627,NA,NA,NA
2020-04-27,639,NA,NA,NA,639,NA,NA,NA
2020-04-28,649,NA,NA,NA,649,NA,NA,NA
2020-04-29,663,NA,NA,NA,663,NA,NA,NA
2020-04-30,675,NA,NA,NA,675,NA,NA,NA
2020-05-01,702,NA,NA,NA,702,NA,NA,NA
2020-05-02,718,NA,NA,NA,718,NA,NA,NA
2020-05-03,738,NA,NA,NA,738,NA,NA,NA
2020-05-04,763,NA,NA,NA,763,NA,NA,NA
2020-05-05,782,NA,NA,NA,782,NA,NA,NA
2020-05-06,796,NA,NA,NA,796,NA,NA,NA
2020-05-07,811,NA,NA,NA,811,NA,NA,NA
2020-05-08,832,NA,NA,NA,832,NA,NA,NA
2020-05-09,853,NA,NA,NA,853,NA,NA,NA
2020-05-10,873,NA,NA,NA,873,NA,NA,NA
2020-05-11,900,NA,NA,NA,900,NA,NA,NA
2020-05-12,930,NA,NA,NA,930,NA,NA,NA
2020-05-13,960,NA,NA,NA,960,NA,NA,NA
2020-05-14,978,NA,NA,NA,978,NA,NA,NA
2020-05-15,1006,NA,NA,NA,1006,NA,NA,NA
2020-05-16,1024,NA,NA,NA,1024,NA,NA,NA
2020-05-17,1048,NA,NA,NA,1048,NA,NA,NA
2020-05-18,1068,NA,NA,NA,1068,NA,NA,NA
2020-05-19,1085,NA,NA,NA,1085,NA,NA,NA
2020-05-20,1120,NA,NA,NA,1120,NA,NA,NA
2020-05-21,1149,NA,NA,NA,1149,NA,NA,NA
2020-05-22,1174,NA,NA,NA,1174,NA,NA,NA
2020-05-23,1195,NA,NA,NA,1195,NA,NA,NA
2020-05-24,1221,NA,NA,NA,1221,NA,NA,NA
2020-05-25,1245,NA,NA,NA,1246,NA,NA,NA
2020-05-26,1269,NA,NA,NA,1271,NA,NA,NA
2020-05-27,1301,NA,NA,NA,1304,NA,NA,NA
2020-05-28,1323,NA,NA,NA,1325,NA,NA,NA
2020-05-29,1341,NA,NA,NA,1342,NA,NA,NA
2020-05-30,1367,NA,NA,NA,1368,NA,NA,NA
2020-05-31,1395,NA,NA,NA,1395,NA,NA,NA
2020-06-01,1445,NA,NA,NA,1447,NA,NA,NA
2020-06-02,1477,NA,NA,NA,1479,NA,NA,NA
2020-06-03,1512,NA,NA,NA,1516,NA,NA,NA
2020-06-04,1541,NA,NA,NA,1544,NA,NA,NA
2020-06-05,1572,NA,NA,NA,1575,NA,NA,NA
2020-06-06,1610,NA,NA,NA,1613,NA,NA,NA
2020-06-07,1639,NA,NA,NA,1640,NA,NA,NA
2020-06-08,1673,NA,NA,NA,1675,NA,NA,NA
2020-06-09,1706,NA,NA,NA,1707,NA,NA,NA
2020-06-10,1743,NA,NA,NA,1742,NA,NA,NA
