"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,41,NA,NA,NA,41,NA,NA,NA
2020-03-22,77,NA,NA,NA,77,NA,NA,NA
2020-03-29,119,NA,NA,NA,119,NA,NA,NA
2020-04-05,171,NA,NA,NA,171,NA,NA,NA
2020-04-12,222,NA,NA,NA,222,NA,NA,NA
2020-04-19,265,NA,NA,NA,265,NA,NA,NA
2020-04-26,337,NA,NA,NA,337,NA,NA,NA
2020-05-03,398,NA,NA,NA,398,NA,NA,NA
2020-05-10,479,NA,NA,NA,479,NA,NA,NA
2020-05-17,565,NA,NA,NA,565,NA,NA,NA
2020-05-24,654,NA,NA,NA,654,NA,NA,NA
2020-05-31,751,NA,NA,NA,751,NA,NA,NA
2020-06-07,845,NA,NA,NA,845,NA,NA,NA
2020-06-14,944,NA,NA,NA,944,NA,NA,NA
2020-06-21,1042,NA,NA,NA,1042,NA,NA,NA
2020-06-28,1163,NA,NA,NA,1163,NA,NA,NA
2020-07-05,1329,NA,NA,NA,1329,NA,NA,NA
2020-07-12,1470,NA,NA,NA,1470,NA,NA,NA
2020-07-19,1614,NA,NA,NA,1614,NA,NA,NA
2020-07-26,1788,NA,NA,NA,1788,NA,NA,NA
2020-08-02,1913,NA,NA,NA,1913,NA,NA,NA
2020-08-09,2033,NA,NA,NA,2033,NA,NA,NA
2020-08-16,2175,NA,NA,NA,2175,NA,NA,NA
2020-08-23,2297,NA,NA,NA,2297,NA,NA,NA
2020-08-30,2414,NA,NA,NA,2414,NA,NA,NA
2020-09-06,2540,NA,NA,NA,2540,NA,NA,NA
2020-09-13,2663,NA,NA,NA,2663,NA,NA,NA
2020-09-20,2790,NA,NA,NA,2790,NA,NA,NA
2020-09-27,2887,NA,NA,NA,2887,NA,NA,NA
2020-10-04,3017,NA,NA,NA,3017,NA,NA,NA
2020-10-11,3131,NA,NA,NA,3131,NA,NA,NA
2020-10-18,3221,NA,NA,NA,3221,NA,NA,NA
2020-10-25,3316,NA,NA,NA,3316,NA,NA,NA
2020-11-01,3380,NA,NA,NA,3380,NA,NA,NA
2020-11-08,3452,NA,NA,NA,3452,NA,NA,NA
2020-11-15,3529,NA,NA,NA,3529,NA,NA,NA
2020-11-22,3617,NA,NA,NA,3617,NA,NA,NA
2020-11-29,3704,NA,NA,NA,3704,NA,NA,NA
2020-12-06,3816,NA,NA,NA,3816,NA,NA,NA
2020-12-13,3917,NA,NA,NA,3917,NA,NA,NA
2020-12-20,4039,NA,NA,NA,4039,NA,NA,NA
2020-12-27,4156,NA,NA,NA,4156,NA,NA,NA
2021-01-03,4311,NA,NA,NA,4311,NA,NA,NA
2021-01-10,4468,NA,NA,NA,4468,NA,NA,NA
2021-01-17,4649,NA,NA,NA,4649,NA,NA,NA
2021-01-24,4804,NA,NA,NA,4804,NA,NA,NA
2021-01-31,4997,NA,NA,NA,4997,NA,NA,NA
2021-02-07,5181,NA,NA,NA,5181,NA,NA,NA
2021-02-14,5375,NA,NA,NA,5375,NA,NA,NA
2021-02-21,5612,NA,NA,NA,5612,NA,NA,NA
2021-02-28,5882,NA,NA,NA,5882,NA,NA,NA
2021-03-07,6215,NA,NA,NA,6215,NA,NA,NA
2021-03-14,6551,NA,NA,NA,6551,NA,NA,NA
2021-03-21,6874,NA,NA,NA,6874,NA,NA,NA
2021-03-28,7165,NA,NA,NA,7165,NA,NA,NA
2021-04-04,7387,NA,NA,NA,7387,NA,NA,NA
2021-04-11,7609,NA,NA,NA,7609,NA,NA,NA
2021-04-18,7829,NA,NA,NA,7829,NA,NA,NA
2021-04-25,8056,NA,NA,NA,8056,NA,NA,NA
2021-05-02,8283,NA,NA,NA,8283,NA,NA,NA
2021-05-09,8543,NA,NA,NA,8543,NA,NA,NA
2021-05-16,8841,NA,NA,NA,8841,NA,NA,NA
2021-05-23,9095,NA,NA,NA,9095,NA,NA,NA
2021-05-30,9420,NA,NA,NA,9420,NA,NA,NA
2021-06-06,9747,NA,NA,NA,9747,NA,NA,NA
2021-06-13,10006,NA,NA,NA,10006,NA,NA,NA
2021-06-20,10269,NA,NA,NA,10269,NA,NA,NA
2021-06-27,10466,NA,NA,NA,10466,NA,NA,NA
2021-07-04,10641,NA,NA,NA,10641,NA,NA,NA
2021-07-11,10796,NA,NA,NA,10796,NA,NA,NA
2021-07-18,10904,NA,NA,NA,10904,NA,NA,NA
2021-07-25,10990,NA,NA,NA,10990,NA,NA,NA
2021-08-01,11061,NA,NA,NA,11061,NA,NA,NA
2021-08-08,11136,NA,NA,NA,11135,NA,NA,NA
2021-08-15,11194,NA,NA,NA,11190,NA,NA,NA
2021-08-22,11261,NA,NA,NA,11254,NA,NA,NA
2021-08-29,11318,NA,NA,NA,11307,NA,NA,NA
2021-09-05,11378,NA,NA,NA,11362,NA,NA,NA
2021-09-12,11416,NA,NA,NA,11392,NA,NA,NA
2021-09-19,11462,NA,NA,NA,11418,NA,NA,NA
2021-09-26,11511,11511,11463,11584,11424,11424,11424,11424
2021-10-03,NA,11558,11497,11648,NA,11429,11427,11430
