"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,10,NA,NA,NA,10,NA,NA,NA
2020-03-22,18,NA,NA,NA,18,NA,NA,NA
2020-03-29,31,NA,NA,NA,31,NA,NA,NA
2020-04-05,51,NA,NA,NA,51,NA,NA,NA
2020-04-12,79,NA,NA,NA,79,NA,NA,NA
2020-04-19,104,NA,NA,NA,104,NA,NA,NA
2020-04-26,124,NA,NA,NA,124,NA,NA,NA
2020-05-03,152,NA,NA,NA,152,NA,NA,NA
2020-05-10,182,NA,NA,NA,182,NA,NA,NA
2020-05-17,218,NA,NA,NA,218,NA,NA,NA
2020-05-24,259,NA,NA,NA,259,NA,NA,NA
2020-05-31,308,NA,NA,NA,308,NA,NA,NA
2020-06-07,377,NA,NA,NA,377,NA,NA,NA
2020-06-14,454,NA,NA,NA,454,NA,NA,NA
2020-06-21,534,NA,NA,NA,534,NA,NA,NA
2020-06-28,631,NA,NA,NA,631,NA,NA,NA
2020-07-05,743,NA,NA,NA,743,NA,NA,NA
2020-07-12,867,NA,NA,NA,867,NA,NA,NA
2020-07-19,1006,NA,NA,NA,1006,NA,NA,NA
2020-07-26,1155,NA,NA,NA,1155,NA,NA,NA
2020-08-02,1293,NA,NA,NA,1293,NA,NA,NA
2020-08-09,1435,NA,NA,NA,1435,NA,NA,NA
2020-08-16,1564,NA,NA,NA,1564,NA,NA,NA
2020-08-23,1718,NA,NA,NA,1718,NA,NA,NA
2020-08-30,1859,NA,NA,NA,1859,NA,NA,NA
2020-09-06,2016,NA,NA,NA,2016,NA,NA,NA
2020-09-13,2172,NA,NA,NA,2172,NA,NA,NA
2020-09-20,2309,NA,NA,NA,2309,NA,NA,NA
2020-09-27,2423,NA,NA,NA,2423,NA,NA,NA
2020-10-04,2609,NA,NA,NA,2609,NA,NA,NA
2020-10-11,2821,NA,NA,NA,2821,NA,NA,NA
2020-10-18,2923,NA,NA,NA,2923,NA,NA,NA
2020-10-25,3024,NA,NA,NA,3024,NA,NA,NA
2020-11-01,3099,NA,NA,NA,3099,NA,NA,NA
2020-11-08,3187,NA,NA,NA,3187,NA,NA,NA
2020-11-15,3258,NA,NA,NA,3258,NA,NA,NA
2020-11-22,3312,NA,NA,NA,3312,NA,NA,NA
2020-11-29,3376,NA,NA,NA,3376,NA,NA,NA
2020-12-06,3452,NA,NA,NA,3452,NA,NA,NA
2020-12-13,3521,NA,NA,NA,3521,NA,NA,NA
2020-12-20,3617,NA,NA,NA,3617,NA,NA,NA
2020-12-27,3697,NA,NA,NA,3697,NA,NA,NA
2021-01-03,3786,NA,NA,NA,3786,NA,NA,NA
2021-01-10,3890,NA,NA,NA,3890,NA,NA,NA
2021-01-17,4000,NA,NA,NA,4000,NA,NA,NA
2021-01-24,4110,NA,NA,NA,4110,NA,NA,NA
2021-01-31,4229,NA,NA,NA,4229,NA,NA,NA
2021-02-07,4313,NA,NA,NA,4313,NA,NA,NA
2021-02-14,4392,NA,NA,NA,4392,NA,NA,NA
2021-02-21,4492,NA,NA,NA,4492,NA,NA,NA
2021-02-28,4582,NA,NA,NA,4582,NA,NA,NA
2021-03-07,4740,NA,NA,NA,4740,NA,NA,NA
2021-03-14,4939,NA,NA,NA,4939,NA,NA,NA
2021-03-21,5226,NA,NA,NA,5226,NA,NA,NA
2021-03-28,5602,NA,NA,NA,5602,NA,NA,NA
2021-04-04,5963,NA,NA,NA,5963,NA,NA,NA
2021-04-11,6301,NA,NA,NA,6301,NA,NA,NA
2021-04-18,6571,NA,NA,NA,6571,NA,NA,NA
2021-04-25,6808,NA,NA,NA,6808,NA,NA,NA
2021-05-02,7004,NA,NA,NA,7004,NA,NA,NA
2021-05-09,7210,NA,NA,NA,7210,NA,NA,NA
2021-05-16,7381,NA,NA,NA,7381,NA,NA,NA
2021-05-23,7598,NA,NA,NA,7598,NA,NA,NA
2021-05-30,7831,NA,NA,NA,7831,NA,NA,NA
2021-06-06,8086,NA,NA,NA,8086,NA,NA,NA
2021-06-13,8397,NA,NA,NA,8397,NA,NA,NA
2021-06-20,8663,NA,NA,NA,8663,NA,NA,NA
2021-06-27,8895,NA,NA,NA,8895,NA,NA,NA
2021-07-04,9107,NA,NA,NA,9107,NA,NA,NA
2021-07-11,9282,NA,NA,NA,9282,NA,NA,NA
2021-07-18,9461,NA,NA,NA,9461,NA,NA,NA
2021-07-25,9585,NA,NA,NA,9585,NA,NA,NA
2021-08-01,9693,NA,NA,NA,9693,NA,NA,NA
2021-08-08,9813,NA,NA,NA,9813,NA,NA,NA
2021-08-15,9917,NA,NA,NA,9917,NA,NA,NA
2021-08-22,9988,NA,NA,NA,9988,NA,NA,NA
2021-08-29,10058,NA,NA,NA,10058,NA,NA,NA
2021-09-05,10110,NA,NA,NA,10109,NA,NA,NA
2021-09-12,10167,NA,NA,NA,10163,NA,NA,NA
2021-09-19,10212,NA,NA,NA,10204,NA,NA,NA
2021-09-26,10258,10258,10244,10288,10238,10238,10238,10238
2021-10-03,NA,10304,10285,10341,NA,10239,10239,10239
