"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,2,NA,2,NA,NA,NA
2020-03-29,2,NA,2,NA,NA,NA
2020-04-05,2,NA,2,NA,NA,NA
2020-04-12,2,NA,2,NA,NA,NA
2020-04-19,6,NA,6,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-03,2,NA,2,NA,NA,NA
2020-05-10,10,NA,10,NA,NA,NA
2020-05-17,15,NA,15,NA,NA,NA
2020-05-24,10,NA,10,NA,NA,NA
2020-05-31,14,NA,14,NA,NA,NA
2020-06-07,28,NA,28,NA,NA,NA
2020-06-14,33,NA,33,NA,NA,NA
2020-06-21,47,NA,47,NA,NA,NA
2020-06-28,50,NA,50,NA,NA,NA
2020-07-05,77,NA,77,NA,NA,NA
2020-07-12,87,NA,87,NA,NA,NA
2020-07-19,88,NA,88,NA,NA,NA
2020-07-26,109,NA,109,NA,NA,NA
2020-08-02,101,NA,101,NA,NA,NA
2020-08-09,112,NA,112,NA,NA,NA
2020-08-16,91,NA,91,NA,NA,NA
2020-08-23,114,NA,114,NA,NA,NA
2020-08-30,104,NA,104,NA,NA,NA
2020-09-06,113,NA,113,NA,NA,NA
2020-09-13,113,NA,113,NA,NA,NA
2020-09-20,91,NA,91,NA,NA,NA
2020-09-27,73,NA,73,NA,NA,NA
2020-10-04,105,NA,105,NA,NA,NA
2020-10-11,92,NA,92,NA,NA,NA
2020-10-18,60,NA,60,NA,NA,NA
2020-10-25,57,NA,57,NA,NA,NA
2020-11-01,46,NA,46,NA,NA,NA
2020-11-08,50,NA,50,NA,NA,NA
2020-11-15,38,NA,38,NA,NA,NA
2020-11-22,36,NA,36,NA,NA,NA
2020-11-29,29,NA,29,NA,NA,NA
2020-12-06,55,NA,55,NA,NA,NA
2020-12-13,40,NA,40,NA,NA,NA
2020-12-20,72,NA,72,NA,NA,NA
2020-12-27,60,NA,60,NA,NA,NA
2021-01-03,71,NA,71,NA,NA,NA
2021-01-10,70,NA,70,NA,NA,NA
2021-01-17,77,NA,77,NA,NA,NA
2021-01-24,89,NA,89,NA,NA,NA
2021-01-31,91,NA,91,NA,NA,NA
2021-02-07,63,NA,63,NA,NA,NA
2021-02-14,64,NA,64,NA,NA,NA
2021-02-21,74,NA,74,NA,NA,NA
2021-02-28,67,NA,67,NA,NA,NA
2021-03-07,119,NA,119,NA,NA,NA
2021-03-14,179,NA,179,NA,NA,NA
2021-03-21,257,NA,257,NA,NA,NA
2021-03-28,354,NA,354,NA,NA,NA
2021-04-04,346,NA,346,NA,NA,NA
2021-04-11,318,NA,318,NA,NA,NA
2021-04-18,249,NA,249,NA,NA,NA
2021-04-25,215,NA,215,NA,NA,NA
2021-05-02,179,NA,179,NA,NA,NA
2021-05-09,181,NA,181,NA,NA,NA
2021-05-16,155,NA,155,NA,NA,NA
2021-05-23,193,NA,193,NA,NA,NA
2021-05-30,213,NA,213,NA,NA,NA
2021-06-06,235,NA,235,NA,NA,NA
2021-06-13,294,NA,294,NA,NA,NA
2021-06-20,241,NA,241,NA,NA,NA
2021-06-27,209,NA,209,NA,NA,NA
2021-07-04,191,NA,191,NA,NA,NA
2021-07-11,163,NA,163,NA,NA,NA
2021-07-18,144,NA,144,NA,NA,NA
2021-07-25,102,NA,102,NA,NA,NA
2021-08-01,93,NA,93,NA,NA,NA
2021-08-08,92,NA,92,NA,NA,NA
2021-08-15,83,NA,83,NA,NA,NA
2021-08-22,57,NA,57,NA,NA,NA
2021-08-29,52,NA,52,NA,NA,NA
2021-09-05,39,NA,39,NA,NA,NA
2021-09-12,30,NA,30,NA,NA,NA
2021-09-19,17,NA,17,NA,NA,NA
2021-09-26,26,NA,26,NA,NA,NA
2021-10-03,12,NA,12,NA,NA,NA
2021-10-10,13,NA,13,NA,NA,NA
2021-10-17,13,NA,13,NA,NA,NA
2021-10-24,13,NA,13,NA,NA,NA
2021-10-31,11,NA,11,NA,NA,NA
2021-11-07,7,NA,7,NA,NA,NA
2021-11-14,14,NA,14,NA,NA,NA
2021-11-21,4,NA,4,NA,NA,NA
2021-11-28,4,NA,4,NA,NA,NA
2021-12-05,8,NA,8,NA,NA,NA
2021-12-12,4,NA,4,NA,NA,NA
2021-12-19,5,NA,5,NA,NA,NA
2021-12-26,4,NA,4,NA,NA,NA
2022-01-02,1,NA,1,NA,NA,NA
2022-01-09,8,NA,8,NA,NA,NA
2022-01-16,NA,26,26,NA,26,34
2022-01-23,NA,74,74,NA,72,91
2022-01-30,NA,98,98,NA,95,121
2022-02-06,NA,114,114,NA,110,142.025
2022-02-13,NA,112,112,NA,108,139
2022-02-20,NA,88,88,NA,84,109
2022-02-27,NA,53,53,NA,50,66
2022-03-06,NA,41,41,NA,38,52
2022-03-13,NA,43,43,NA,36,56
