"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,5,NA,NA,NA,5,NA,NA,NA
2020-03-22,33,NA,NA,NA,33,NA,NA,NA
2020-03-29,73,NA,NA,NA,73,NA,NA,NA
2020-04-05,111,NA,NA,NA,111,NA,NA,NA
2020-04-12,133,NA,NA,NA,133,NA,NA,NA
2020-04-19,195,NA,NA,NA,195,NA,NA,NA
2020-04-26,267,NA,NA,NA,267,NA,NA,NA
2020-05-03,387,NA,NA,NA,387,NA,NA,NA
2020-05-10,513,NA,NA,NA,513,NA,NA,NA
2020-05-17,665,NA,NA,NA,665,NA,NA,NA
2020-05-24,800,NA,NA,NA,800,NA,NA,NA
2020-05-31,994,NA,NA,NA,994,NA,NA,NA
2020-06-07,1235,NA,NA,NA,1235,NA,NA,NA
2020-06-14,1486,NA,NA,NA,1486,NA,NA,NA
2020-06-21,1740,NA,NA,NA,1740,NA,NA,NA
2020-06-28,1991,NA,NA,NA,1991,NA,NA,NA
2020-07-05,2294,NA,NA,NA,2294,NA,NA,NA
2020-07-12,2589,NA,NA,NA,2589,NA,NA,NA
2020-07-19,2816,NA,NA,NA,2816,NA,NA,NA
2020-07-26,3033,NA,NA,NA,3033,NA,NA,NA
2020-08-02,3244,NA,NA,NA,3244,NA,NA,NA
2020-08-09,3444,NA,NA,NA,3444,NA,NA,NA
2020-08-16,3626,NA,NA,NA,3626,NA,NA,NA
2020-08-23,3783,NA,NA,NA,3783,NA,NA,NA
2020-08-30,3939,NA,NA,NA,3939,NA,NA,NA
2020-09-06,4108,NA,NA,NA,4108,NA,NA,NA
2020-09-13,4261,NA,NA,NA,4261,NA,NA,NA
2020-09-20,4404,NA,NA,NA,4404,NA,NA,NA
2020-09-27,4526,NA,NA,NA,4527,NA,NA,NA
2020-10-04,4631,NA,NA,NA,4632,NA,NA,NA
2020-10-11,4728,NA,NA,NA,4729,NA,NA,NA
2020-10-18,4824,NA,NA,NA,4826,NA,NA,NA
2020-10-25,4928,NA,NA,NA,4940,NA,NA,NA
2020-11-01,5004,NA,NA,NA,5044,NA,NA,NA
2020-11-08,5071,NA,NA,NA,5139,NA,NA,NA
2020-11-15,5151,5151,5097,5237,5178,5178,5178,5178
2020-11-22,NA,5224,5150,5338,NA,5180,5179,5181
