"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-16,7,NA,7,3.9,NA,NA
2020-03-17,2,NA,2,4.3,NA,NA
2020-03-18,3,NA,3,5.4,NA,NA
2020-03-19,11,NA,11,6,NA,NA
2020-03-20,6,NA,6,6.4,NA,NA
2020-03-21,4,NA,4,6.3,NA,NA
2020-03-22,5,NA,5,7,NA,NA
2020-03-23,13,NA,13,7.1,NA,NA
2020-03-24,8,NA,8,7.3,NA,NA
2020-03-25,5,NA,5,7.3,NA,NA
2020-03-26,6,NA,6,7.4,NA,NA
2020-03-27,9,NA,9,7.8,NA,NA
2020-03-28,4,NA,4,7.1,NA,NA
2020-03-29,13,NA,13,6.7,NA,NA
2020-03-30,6,NA,6,6.7,NA,NA
2020-03-31,5,NA,5,6.5,NA,NA
2020-04-01,9,NA,9,5.9,NA,NA
2020-04-02,6,NA,6,6.2,NA,NA
2020-04-03,4,NA,4,5.3,NA,NA
2020-04-04,5,NA,5,5.1,NA,NA
2020-04-05,4,NA,4,5.1,NA,NA
2020-04-06,3,NA,3,4.5,NA,NA
2020-04-07,7,NA,7,4.3,NA,NA
2020-04-08,4,NA,4,4.2,NA,NA
2020-04-09,4,NA,4,4.2,NA,NA
2020-04-10,5,NA,5,4.1,NA,NA
2020-04-11,3,NA,3,4.3,NA,NA
2020-04-12,4,NA,4,4.3,NA,NA
2020-04-13,3,NA,3,4.6,NA,NA
2020-04-14,5,NA,5,4.8,NA,NA
2020-04-15,3,NA,3,5,NA,NA
2020-04-16,5,NA,5,5.5,NA,NA
2020-04-17,7,NA,7,5.9,NA,NA
2020-04-18,7,NA,7,6,NA,NA
2020-04-19,6,NA,6,5.9,NA,NA
2020-04-20,7,NA,7,6.3,NA,NA
2020-04-21,8,NA,8,6.3,NA,NA
2020-04-22,8,NA,8,6.5,NA,NA
2020-04-23,4,NA,4,6.8,NA,NA
2020-04-24,4,NA,4,7.3,NA,NA
2020-04-25,7,NA,7,7.5,NA,NA
2020-04-26,5,NA,5,8.8,NA,NA
2020-04-27,9,NA,9,9.1,NA,NA
2020-04-28,10,NA,10,9.3,NA,NA
2020-04-29,11,NA,11,10.1,NA,NA
2020-04-30,9,NA,9,11,NA,NA
2020-05-01,21,NA,21,11.8,NA,NA
2020-05-02,11,NA,11,11.8,NA,NA
2020-05-03,6,NA,6,12.1,NA,NA
2020-05-04,12,NA,12,12.5,NA,NA
2020-05-05,16,NA,16,12.7,NA,NA
2020-05-06,13,NA,13,12.5,NA,NA
2020-05-07,9,NA,9,12.9,NA,NA
2020-05-08,13,NA,13,14,NA,NA
2020-05-09,15,NA,15,14.1,NA,NA
2020-05-10,11,NA,11,14.7,NA,NA
2020-05-11,19,NA,19,15.2,NA,NA
2020-05-12,15,NA,15,15,NA,NA
2020-05-13,17,NA,17,15,NA,NA
2020-05-14,13,NA,13,15.3,NA,NA
2020-05-15,22,NA,22,16.3,NA,NA
2020-05-16,18,NA,18,17.1,NA,NA
2020-05-17,7,NA,7,17.3,NA,NA
2020-05-18,13,NA,13,17.7,NA,NA
2020-05-19,18,NA,18,17.9,NA,NA
2020-05-20,21,NA,21,17.8,NA,NA
2020-05-21,27,NA,27,18.3,NA,NA
2020-05-22,17,NA,17,19.2,NA,NA
2020-05-23,21,NA,21,19.4,NA,NA
2020-05-24,15,NA,15,19,NA,NA
2020-05-25,21,NA,21,18.9,NA,NA
2020-05-26,23,NA,23,18.8,NA,NA
2020-05-27,16,NA,16,20.5,NA,NA
2020-05-28,15,NA,15,21,NA,NA
2020-05-29,14,NA,14,21.7,NA,NA
2020-05-30,20,NA,20,21.7,NA,NA
2020-05-31,26,NA,26,21.4,NA,NA
2020-06-01,34,NA,34,23.5,NA,NA
2020-06-02,27,NA,26,25.3,NA,NA
2020-06-03,NA,22,22,26.4,22,23
2020-06-04,NA,21,21,26.9,21,24
2020-06-05,NA,20,20,26.6,19,23
2020-06-06,NA,37,37,25.4,36,41
2020-06-07,NA,33,33,23.8,31,37
2020-06-08,NA,25,25,23.8,23,29
2020-06-09,NA,25,25,23.4,23,29
2020-06-10,NA,23,23,23.5,21,27
2020-06-11,NA,22,22,21.4,20,26
2020-06-12,NA,10,10,20.1,8,14
2020-06-13,NA,22,22,20,20,26
2020-06-14,NA,17,17,21,15,21
2020-06-15,NA,21,21,21.8,19,26
2020-06-16,NA,16,16,22,14,21
2020-06-17,NA,20,20,23.5,17,24
2020-06-18,NA,24,24,22.5,21,29
2020-06-19,NA,35,35,23.6,31,40
2020-06-20,NA,31,31,24.7,28,37
2020-06-21,NA,24,24,25.2,21,30
2020-06-22,NA,25,25,25.2,21,30
2020-06-23,NA,12,12,24.3,8,17
2020-06-24,NA,28,28,23.4,24,34
2020-06-25,NA,32,32,22.2,27,38
2020-06-26,NA,21,21,22.3,16,27
2020-06-27,NA,20,20,21.6,14,27
2020-06-28,NA,15,15,22.4,10,23
2020-06-29,NA,26,26,21.5,19,34
2020-06-30,NA,19,19,20,12,27
2020-07-01,NA,25,25,19.8,17,35
2020-07-02,NA,18,18,19.6,10,29
2020-07-03,NA,20,20,20,11,31
2020-07-04,NA,19,19,19.4,10,32
2020-07-05,NA,17,17,19.4,7,30
2020-07-06,NA,19,19,18.9,8,33
2020-07-07,NA,18,18,19,7,33
2020-07-08,NA,19,19,18.875,7,35
2020-07-09,NA,20,20,18.8571428571429,8,39
2020-07-10,NA,19,19,19.1666666666667,6,40
2020-07-11,NA,20,20,19.2,6,43
