"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,4,NA,4,3.9,NA,NA
2020-03-16,8,NA,8,4.1,NA,NA
2020-03-17,4,NA,4,4.6,NA,NA
2020-03-18,4,NA,4,4.9,NA,NA
2020-03-19,2,NA,2,4.9,NA,NA
2020-03-20,10,NA,10,5.2,NA,NA
2020-03-21,3,NA,3,4.7,NA,NA
2020-03-22,6,NA,6,4.6,NA,NA
2020-03-23,5,NA,5,4.7,NA,NA
2020-03-24,3,NA,3,5.2,NA,NA
2020-03-25,7,NA,7,4.5,NA,NA
2020-03-26,3,NA,3,4.8,NA,NA
2020-03-27,3,NA,3,4.6,NA,NA
2020-03-28,5,NA,5,4.5,NA,NA
2020-03-29,7,NA,7,5.8,NA,NA
2020-03-30,3,NA,3,5.8,NA,NA
2020-03-31,6,NA,6,6.8,NA,NA
2020-04-01,4,NA,4,7.4,NA,NA
2020-04-02,4,NA,4,8,NA,NA
2020-04-03,16,NA,16,8.4,NA,NA
2020-04-04,7,NA,7,9.9,NA,NA
2020-04-05,13,NA,13,11.1,NA,NA
2020-04-06,9,NA,9,12.5,NA,NA
2020-04-07,11,NA,11,13.7,NA,NA
2020-04-08,11,NA,11,14.2,NA,NA
2020-04-09,18,NA,18,16.1,NA,NA
2020-04-10,18,NA,18,17.7,NA,NA
2020-04-11,18,NA,18,19,NA,NA
2020-04-12,16,NA,16,21.4,NA,NA
2020-04-13,21,NA,21,23,NA,NA
2020-04-14,26,NA,26,23.9,NA,NA
2020-04-15,29,NA,29,27.9,NA,NA
2020-04-16,22,NA,22,28.8,NA,NA
2020-04-17,35,NA,35,31.2,NA,NA
2020-04-18,27,NA,27,32.8,NA,NA
2020-04-19,27,NA,27,34.8,NA,NA
2020-04-20,58,NA,58,37.1,NA,NA
2020-04-21,27,NA,27,39.2,NA,NA
2020-04-22,40,NA,40,39.3,NA,NA
2020-04-23,37,NA,37,42.2,NA,NA
2020-04-24,46,NA,46,44,NA,NA
2020-04-25,52,NA,52,43.7,NA,NA
2020-04-26,43,NA,43,53.2,NA,NA
2020-04-27,36,NA,36,57.2,NA,NA
2020-04-28,56,NA,56,60,NA,NA
2020-04-29,45,NA,45,62.6,NA,NA
2020-04-30,55,NA,55,65.8,NA,NA
2020-05-01,122,NA,122,70.9,NA,NA
2020-05-02,80,NA,80,75.6,NA,NA
2020-05-03,65,NA,65,77.5,NA,NA
2020-05-04,72,NA,72,82,NA,NA
2020-05-05,84,NA,84,89,NA,NA
