"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,11,NA,NA,NA,11,NA,NA,NA
2020-03-22,85,NA,NA,NA,85,NA,NA,NA
2020-03-29,315,NA,NA,NA,315,NA,NA,NA
2020-04-05,826,NA,NA,NA,826,NA,NA,NA
2020-04-12,1642,NA,NA,NA,1642,NA,NA,NA
2020-04-19,2562,NA,NA,NA,2562,NA,NA,NA
2020-04-26,3597,NA,NA,NA,3597,NA,NA,NA
2020-05-03,4716,NA,NA,NA,4716,NA,NA,NA
2020-05-10,5666,NA,NA,NA,5666,NA,NA,NA
2020-05-17,6294,NA,NA,NA,6294,NA,NA,NA
2020-05-24,6787,NA,NA,NA,6787,NA,NA,NA
2020-05-31,7180,NA,NA,NA,7180,NA,NA,NA
2020-06-07,7624,NA,NA,NA,7624,NA,NA,NA
2020-06-14,7938,NA,NA,NA,7938,NA,NA,NA
2020-06-21,8261,NA,NA,NA,8261,NA,NA,NA
2020-06-28,8539,NA,NA,NA,8539,NA,NA,NA
2020-07-05,8830,NA,NA,NA,8830,NA,NA,NA
2020-07-12,9108,NA,NA,NA,9108,NA,NA,NA
2020-07-19,9352,NA,NA,NA,9352,NA,NA,NA
2020-07-26,9593,NA,NA,NA,9593,NA,NA,NA
2020-08-02,9861,NA,NA,NA,9861,NA,NA,NA
2020-08-09,10051,NA,NA,NA,10051,NA,NA,NA
2020-08-16,10307,NA,NA,NA,10307,NA,NA,NA
2020-08-23,10554,NA,NA,NA,10554,NA,NA,NA
2020-08-30,10798,NA,NA,NA,10798,NA,NA,NA
2020-09-06,11072,NA,NA,NA,11072,NA,NA,NA
2020-09-13,11413,NA,NA,NA,11413,NA,NA,NA
2020-09-20,11737,NA,NA,NA,11737,NA,NA,NA
2020-09-27,12040,NA,NA,NA,12040,NA,NA,NA
2020-10-04,12403,NA,NA,NA,12403,NA,NA,NA
2020-10-11,12736,NA,NA,NA,12736,NA,NA,NA
2020-10-18,13011,NA,NA,NA,13011,NA,NA,NA
2020-10-25,13322,NA,NA,NA,13322,NA,NA,NA
2020-11-01,13629,NA,NA,NA,13629,NA,NA,NA
2020-11-08,13881,NA,NA,NA,13881,NA,NA,NA
2020-11-15,14211,NA,NA,NA,14211,NA,NA,NA
2020-11-22,14508,NA,NA,NA,14508,NA,NA,NA
2020-11-29,14790,NA,NA,NA,14790,NA,NA,NA
2020-12-06,15200,NA,NA,NA,15200,NA,NA,NA
2020-12-13,15685,NA,NA,NA,15685,NA,NA,NA
2020-12-20,16496,NA,NA,NA,16496,NA,NA,NA
2020-12-27,17695,NA,NA,NA,17695,NA,NA,NA
2021-01-03,19712,NA,NA,NA,19712,NA,NA,NA
2021-01-10,21896,NA,NA,NA,21896,NA,NA,NA
2021-01-17,23643,NA,NA,NA,23643,NA,NA,NA
2021-01-24,25140,NA,NA,NA,25140,NA,NA,NA
2021-01-31,26260,NA,NA,NA,26260,NA,NA,NA
2021-02-07,27362,NA,NA,NA,27362,NA,NA,NA
2021-02-14,28136,NA,NA,NA,28136,NA,NA,NA
2021-02-21,28724,NA,NA,NA,28724,NA,NA,NA
2021-02-28,29212,NA,NA,NA,29212,NA,NA,NA
2021-03-07,29740,NA,NA,NA,29740,NA,NA,NA
2021-03-14,30207,NA,NA,NA,30193,NA,NA,NA
2021-03-21,30662,NA,NA,NA,30628,NA,NA,NA
2021-03-28,31018,NA,NA,NA,30958,NA,NA,NA
2021-04-04,31338,NA,NA,NA,31246,NA,NA,NA
2021-04-11,31611,NA,NA,NA,31478,NA,NA,NA
2021-04-18,31843,NA,NA,NA,31659,NA,NA,NA
2021-04-25,32061,NA,NA,NA,31796,NA,NA,NA
2021-05-02,32299,NA,NA,NA,31876,NA,NA,NA
2021-05-09,32530,32530,32336,32772,31886,31886,31886,31886
2021-05-16,NA,32769,32527,33070,NA,31897,31895,31899
