"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,2,NA,NA,NA,2,NA,NA,NA
2020-04-05,36,NA,NA,NA,36,NA,NA,NA
2020-04-12,166,NA,NA,NA,166,NA,NA,NA
2020-04-19,470,NA,NA,NA,470,NA,NA,NA
2020-04-26,926,NA,NA,NA,926,NA,NA,NA
2020-05-03,1466,NA,NA,NA,1466,NA,NA,NA
2020-05-10,1918,NA,NA,NA,1918,NA,NA,NA
2020-05-17,2322,NA,NA,NA,2322,NA,NA,NA
2020-05-24,2626,NA,NA,NA,2626,NA,NA,NA
2020-05-31,2860,NA,NA,NA,2860,NA,NA,NA
2020-06-07,3039,NA,NA,NA,3039,NA,NA,NA
2020-06-14,3172,NA,NA,NA,3172,NA,NA,NA
2020-06-21,3275,NA,NA,NA,3275,NA,NA,NA
2020-06-28,3367,NA,NA,NA,3367,NA,NA,NA
2020-07-05,3459,NA,NA,NA,3459,NA,NA,NA
2020-07-12,3537,NA,NA,NA,3537,NA,NA,NA
2020-07-19,3612,NA,NA,NA,3612,NA,NA,NA
2020-07-26,3675,NA,NA,NA,3675,NA,NA,NA
2020-08-02,3736,NA,NA,NA,3736,NA,NA,NA
2020-08-09,3811,NA,NA,NA,3811,NA,NA,NA
2020-08-16,3864,NA,NA,NA,3864,NA,NA,NA
2020-08-23,3920,NA,NA,NA,3920,NA,NA,NA
2020-08-30,3969,NA,NA,NA,3969,NA,NA,NA
2020-09-06,4038,NA,NA,NA,4038,NA,NA,NA
2020-09-13,4094,NA,NA,NA,4094,NA,NA,NA
2020-09-20,4162,NA,NA,NA,4162,NA,NA,NA
2020-09-27,4224,NA,NA,NA,4224,NA,NA,NA
2020-10-04,4279,NA,NA,NA,4279,NA,NA,NA
2020-10-11,4369,NA,NA,NA,4369,NA,NA,NA
2020-10-18,4454,NA,NA,NA,4454,NA,NA,NA
2020-10-25,4553,NA,NA,NA,4553,NA,NA,NA
2020-11-01,4660,NA,NA,NA,4660,NA,NA,NA
2020-11-08,4735,NA,NA,NA,4735,NA,NA,NA
2020-11-15,4811,NA,NA,NA,4811,NA,NA,NA
2020-11-22,4889,NA,NA,NA,4889,NA,NA,NA
2020-11-29,4967,NA,NA,NA,4967,NA,NA,NA
2020-12-06,5053,NA,NA,NA,5053,NA,NA,NA
2020-12-13,5123,NA,NA,NA,5123,NA,NA,NA
2020-12-20,5255,NA,NA,NA,5255,NA,NA,NA
2020-12-27,5380,NA,NA,NA,5380,NA,NA,NA
2021-01-03,5616,NA,NA,NA,5616,NA,NA,NA
2021-01-10,6198,NA,NA,NA,6198,NA,NA,NA
2021-01-17,7212,NA,NA,NA,7212,NA,NA,NA
2021-01-24,8220,NA,NA,NA,8220,NA,NA,NA
2021-01-31,9200,NA,NA,NA,9200,NA,NA,NA
2021-02-07,10000,NA,NA,NA,10000,NA,NA,NA
2021-02-14,10654,NA,NA,NA,10654,NA,NA,NA
2021-02-21,11171,NA,NA,NA,11171,NA,NA,NA
2021-02-28,11567,NA,NA,NA,11567,NA,NA,NA
2021-03-07,11856,NA,NA,NA,11856,NA,NA,NA
2021-03-14,12087,NA,NA,NA,12087,NA,NA,NA
2021-03-21,12292,NA,NA,NA,12292,NA,NA,NA
2021-03-28,12453,NA,NA,NA,12453,NA,NA,NA
2021-04-04,12603,NA,NA,NA,12603,NA,NA,NA
2021-04-11,12735,NA,NA,NA,12735,NA,NA,NA
2021-04-18,12849,NA,NA,NA,12849,NA,NA,NA
2021-04-25,12976,NA,NA,NA,12976,NA,NA,NA
2021-05-02,13080,NA,NA,NA,13080,NA,NA,NA
2021-05-09,13149,NA,NA,NA,13149,NA,NA,NA
2021-05-16,13214,NA,NA,NA,13214,NA,NA,NA
2021-05-23,13278,NA,NA,NA,13278,NA,NA,NA
2021-05-30,13352,NA,NA,NA,13352,NA,NA,NA
2021-06-06,13426,NA,NA,NA,13426,NA,NA,NA
2021-06-13,13487,NA,NA,NA,13487,NA,NA,NA
2021-06-20,13555,NA,NA,NA,13555,NA,NA,NA
2021-06-27,13600,NA,NA,NA,13600,NA,NA,NA
2021-07-04,13658,NA,NA,NA,13658,NA,NA,NA
2021-07-11,13700,NA,NA,NA,13700,NA,NA,NA
2021-07-18,13750,NA,NA,NA,13750,NA,NA,NA
2021-07-25,13798,NA,NA,NA,13798,NA,NA,NA
2021-08-01,13841,NA,NA,NA,13841,NA,NA,NA
2021-08-08,13882,NA,NA,NA,13882,NA,NA,NA
2021-08-15,13913,NA,NA,NA,13913,NA,NA,NA
2021-08-22,13949,NA,NA,NA,13949,NA,NA,NA
2021-08-29,13983,NA,NA,NA,13982,NA,NA,NA
2021-09-05,14002,NA,NA,NA,14000,NA,NA,NA
2021-09-12,14016,NA,NA,NA,14013,NA,NA,NA
2021-09-19,14027,14027,14021,14051,14020,14020,14020,14020
2021-09-26,NA,14040,14032,14069,NA,14022,14022,14023
