"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,39,NA,39,NA,NA,NA
2020-03-22,176,NA,176,NA,NA,NA
2020-03-29,239,NA,239,NA,NA,NA
2020-04-05,380,NA,380,NA,NA,NA
2020-04-12,589,NA,589,NA,NA,NA
2020-04-19,988,NA,988,NA,NA,NA
2020-04-26,1455,NA,1455,NA,NA,NA
2020-05-03,2102,NA,2102,NA,NA,NA
2020-05-10,2169,NA,2169,NA,NA,NA
2020-05-17,1703,NA,1703,NA,NA,NA
2020-05-24,1306,NA,1306,NA,NA,NA
2020-05-31,1048,NA,1048,NA,NA,NA
2020-06-07,1055,NA,1055,NA,NA,NA
2020-06-14,955,NA,955,NA,NA,NA
2020-06-21,838,NA,838,NA,NA,NA
2020-06-28,668,NA,668,NA,NA,NA
2020-07-05,671,NA,671,NA,NA,NA
2020-07-12,573,NA,573,NA,NA,NA
2020-07-19,506,NA,506,NA,NA,NA
2020-07-26,468,NA,468,NA,NA,NA
2020-08-02,382,NA,382,NA,NA,NA
2020-08-09,362,NA,362,NA,NA,NA
2020-08-16,382,NA,382,NA,NA,NA
2020-08-23,366,NA,366,NA,NA,NA
2020-08-30,265,NA,265,NA,NA,NA
2020-09-06,299,NA,299,NA,NA,NA
2020-09-13,308,NA,308,NA,NA,NA
2020-09-20,297,NA,297,NA,NA,NA
2020-09-27,245,NA,245,NA,NA,NA
2020-10-04,214,NA,214,NA,NA,NA
2020-10-11,230,NA,230,NA,NA,NA
2020-10-18,208,NA,208,NA,NA,NA
2020-10-25,217,NA,217,NA,NA,NA
2020-11-01,238,NA,238,NA,NA,NA
2020-11-08,241,NA,241,NA,NA,NA
2020-11-15,278,NA,278,NA,NA,NA
2020-11-22,339,NA,339,NA,NA,NA
2020-11-29,268,NA,268,NA,NA,NA
2020-12-06,290,NA,290,NA,NA,NA
2020-12-13,290,NA,290,NA,NA,NA
2020-12-20,288,NA,288,NA,NA,NA
2020-12-27,269,NA,269,NA,NA,NA
2021-01-03,303,NA,303,NA,NA,NA
2021-01-10,NA,421,421,NA,415,431
2021-01-17,NA,428,428,NA,418,441
2021-01-24,NA,473,473,NA,459,490
2021-01-31,NA,571,571,NA,552,592
2021-02-07,NA,793,793,NA,765,823
2021-02-14,NA,891,891,NA,853.975,929
2021-02-21,NA,813,813,NA,767,863
2021-02-28,NA,811,811,NA,724,903
2021-03-07,NA,901,901,NA,697,1174
