"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,15,NA,NA,NA,15,NA,NA,NA
2020-03-22,49,NA,NA,NA,49,NA,NA,NA
2020-03-29,80,NA,NA,NA,80,NA,NA,NA
2020-04-05,113,NA,NA,NA,113,NA,NA,NA
2020-04-12,151,NA,NA,NA,151,NA,NA,NA
2020-04-19,201,NA,NA,NA,201,NA,NA,NA
2020-04-26,267,NA,NA,NA,267,NA,NA,NA
2020-05-03,403,NA,NA,NA,403,NA,NA,NA
2020-05-10,602,NA,NA,NA,602,NA,NA,NA
2020-05-17,857,NA,NA,NA,857,NA,NA,NA
2020-05-24,1179,NA,NA,NA,1179,NA,NA,NA
2020-05-31,1592,NA,NA,NA,1592,NA,NA,NA
2020-06-07,2203,NA,NA,NA,2203,NA,NA,NA
2020-06-14,2883,NA,NA,NA,2883,NA,NA,NA
2020-06-21,3686,NA,NA,NA,3686,NA,NA,NA
2020-06-28,4490,NA,NA,NA,4490,NA,NA,NA
2020-07-05,5437,NA,NA,NA,5437,NA,NA,NA
2020-07-12,6341,NA,NA,NA,6341,NA,NA,NA
2020-07-19,7259,NA,NA,NA,7259,NA,NA,NA
2020-07-26,8223,NA,NA,NA,8223,NA,NA,NA
2020-08-02,9129,NA,NA,NA,9129,NA,NA,NA
2020-08-09,9911,NA,NA,NA,9911,NA,NA,NA
2020-08-16,10686,NA,NA,NA,10686,NA,NA,NA
2020-08-23,11311,NA,NA,NA,11311,NA,NA,NA
2020-08-30,11804,NA,NA,NA,11804,NA,NA,NA
2020-09-06,12228,NA,NA,NA,12228,NA,NA,NA
2020-09-13,12628,NA,NA,NA,12628,NA,NA,NA
2020-09-20,13000,NA,NA,NA,13000,NA,NA,NA
2020-09-27,13335,NA,NA,NA,13335,NA,NA,NA
2020-10-04,13640,NA,NA,NA,13640,NA,NA,NA
2020-10-11,13962,NA,NA,NA,13962,NA,NA,NA
2020-10-18,14222,NA,NA,NA,14222,NA,NA,NA
2020-10-25,14428,NA,NA,NA,14428,NA,NA,NA
2020-11-01,14607,NA,NA,NA,14607,NA,NA,NA
2020-11-08,14791,NA,NA,NA,14791,NA,NA,NA
2020-11-15,15010,NA,NA,NA,15010,NA,NA,NA
2020-11-22,15244,NA,NA,NA,15244,NA,NA,NA
2020-11-29,15485,NA,NA,NA,15485,NA,NA,NA
2020-12-06,15776,NA,NA,NA,15776,NA,NA,NA
2020-12-13,16077,NA,NA,NA,16077,NA,NA,NA
2020-12-20,16369,NA,NA,NA,16369,NA,NA,NA
2020-12-27,16640,NA,NA,NA,16640,NA,NA,NA
2021-01-03,17000,NA,NA,NA,17000,NA,NA,NA
2021-01-10,17309,NA,NA,NA,17309,NA,NA,NA
2021-01-17,17533,NA,NA,NA,17533,NA,NA,NA
2021-01-24,17755,NA,NA,NA,17751,NA,NA,NA
2021-01-31,17988,NA,NA,NA,17978,NA,NA,NA
2021-02-07,18335,NA,NA,NA,18303,NA,NA,NA
2021-02-14,18757,NA,NA,NA,18683,NA,NA,NA
2021-02-21,19415,NA,NA,NA,19239,NA,NA,NA
2021-02-28,20257,NA,NA,NA,19859,NA,NA,NA
2021-03-07,21535,NA,NA,NA,20542,NA,NA,NA
2021-03-14,22794,NA,NA,NA,20823,NA,NA,NA
2021-03-21,23933,23933,23277,24782,20849,20849,20849,20849
2021-03-28,NA,25261,24361,26428,NA,20880,20875,20888
