"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
15,20,2.85877427894855,0.656279790219585,1.74050102159517,1.88893694743242,2.39144633636284,2.80136058989792,3.26748350418385,4.03193239144969,4.29523548162968,2020-03-20
16,21,2.19310910303248,0.506133075849389,1.33598617445912,1.44714684838454,1.83323423001537,2.1464734371097,2.50021144635032,3.09434385218076,3.31598416485915,2020-03-21
17,22,2.27683300288985,0.458541588096569,1.48749145619554,1.59463435302621,1.95300755016293,2.23747102953699,2.55822377978489,3.09060752560604,3.27871739814022,2020-03-22
18,23,2.08492149955126,0.388741088460465,1.41103752150921,1.50034343496472,1.80879344087667,2.05705867681155,2.32720129410155,2.76903848282439,2.92862872642395,2020-03-23
19,24,1.74286829163455,0.32182076736269,1.17816835354185,1.2554568160988,1.5159462715468,1.72002282733657,1.94406452033363,2.30870135808362,2.44025381554881,2020-03-24
20,25,1.36747505478587,0.25535874773794,0.919926032746947,0.980439270116311,1.18759024027565,1.35050120967536,1.52700956508169,1.81775128691015,1.91697850810994,2020-03-25
21,26,1.27814979873928,0.227857580383457,0.875262785665286,0.93184292986014,1.11755023399771,1.26285861725664,1.42199194404861,1.67862309032682,1.76989014726219,2020-03-26
22,27,1.1731582006739,0.204598160723872,0.810901460693214,0.862335698879822,1.02968520809372,1.15959618141827,1.3024267932448,1.52959475481534,1.61424004158174,2020-03-27
23,28,0.926428248453503,0.173128354516193,0.62283663331109,0.663446776796827,0.804244295129314,0.914704278617408,1.03680764392653,1.22803961260271,1.29663853575727,2020-03-28
24,29,0.692560221660376,0.146404155329594,0.435708120635953,0.47071016415152,0.589204526514699,0.681599815042233,0.785007867266901,0.949148125771836,1.00728987122703,2020-03-29
25,30,0.789973445080413,0.157116018955131,0.514195893873611,0.551907152693068,0.678006258239509,0.779462130698659,0.889564716365906,1.0638076403713,1.12820690294378,2020-03-30
26,31,0.889916193608972,0.170674614552824,0.58741939319103,0.629985075172359,0.770085203003856,0.878316596089249,0.998551396326024,1.18799047693972,1.25380761934618,2020-03-31
27,32,0.976314615148808,0.184070254169106,0.650288005704651,0.693305487971841,0.84762693037281,0.964049121020592,1.09472967171013,1.29599050362819,1.37013090100984,2020-04-01
