"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,3,NA,3,NA,NA,NA
2020-03-22,9,NA,9,NA,NA,NA
2020-03-29,29,NA,29,NA,NA,NA
2020-04-05,37,NA,37,NA,NA,NA
2020-04-12,47,NA,47,NA,NA,NA
2020-04-19,35,NA,35,NA,NA,NA
2020-04-26,45,NA,45,NA,NA,NA
2020-05-03,64,NA,64,NA,NA,NA
2020-05-10,90,NA,90,NA,NA,NA
2020-05-17,79,NA,79,NA,NA,NA
2020-05-24,92,NA,92,NA,NA,NA
2020-05-31,110,NA,110,NA,NA,NA
2020-06-07,122,NA,122,NA,NA,NA
2020-06-14,147,NA,147,NA,NA,NA
2020-06-21,194,NA,194,NA,NA,NA
2020-06-28,301,NA,301,NA,NA,NA
2020-07-05,350,NA,350,NA,NA,NA
2020-07-12,404,NA,404,NA,NA,NA
2020-07-19,467,NA,467,NA,NA,NA
2020-07-26,450,NA,450,NA,NA,NA
2020-08-02,452,NA,452,NA,NA,NA
2020-08-09,492,NA,492,NA,NA,NA
2020-08-16,478,NA,478,NA,NA,NA
2020-08-23,518,NA,518,NA,NA,NA
2020-08-30,510,NA,510,NA,NA,NA
2020-09-06,482,NA,482,NA,NA,NA
2020-09-13,432,NA,432,NA,NA,NA
2020-09-20,392,NA,392,NA,NA,NA
2020-09-27,358,NA,358,NA,NA,NA
2020-10-04,354,NA,354,NA,NA,NA
2020-10-11,340,NA,340,NA,NA,NA
2020-10-18,245,NA,245,NA,NA,NA
2020-10-25,220,NA,220,NA,NA,NA
2020-11-01,179,NA,179,NA,NA,NA
2020-11-08,163,NA,163,NA,NA,NA
2020-11-15,121,NA,121,NA,NA,NA
2020-11-22,118,NA,118,NA,NA,NA
2020-11-29,117,NA,117,NA,NA,NA
2020-12-06,135,NA,135,NA,NA,NA
2020-12-13,125,NA,125,NA,NA,NA
2020-12-20,116,NA,116,NA,NA,NA
2020-12-27,120,NA,120,NA,NA,NA
2021-01-03,131,NA,131,NA,NA,NA
2021-01-10,163,NA,163,NA,NA,NA
2021-01-17,185,NA,185,NA,NA,NA
2021-01-24,226,NA,226,NA,NA,NA
2021-01-31,NA,226,226,NA,223,232
2021-02-07,NA,260,260,NA,255,267
2021-02-14,NA,297,297,NA,289,306
2021-02-21,NA,341,341,NA,331,354
2021-02-28,NA,414,414,NA,400,432
2021-03-07,NA,665,665,NA,642,694
2021-03-14,NA,898,898,NA,865,940
2021-03-21,NA,1026,1026,NA,978,1080
2021-03-28,NA,1008.5,1008.5,NA,926,1102
