"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,13,NA,NA,NA,13,NA,NA,NA
2020-04-12,57,NA,NA,NA,57,NA,NA,NA
2020-04-19,154,NA,NA,NA,154,NA,NA,NA
2020-04-26,356,NA,NA,NA,356,NA,NA,NA
2020-05-03,642,NA,NA,NA,642,NA,NA,NA
2020-05-10,923,NA,NA,NA,923,NA,NA,NA
2020-05-17,1240,NA,NA,NA,1240,NA,NA,NA
2020-05-24,1555,NA,NA,NA,1555,NA,NA,NA
2020-05-31,1869,NA,NA,NA,1869,NA,NA,NA
2020-06-07,2110,NA,NA,NA,2110,NA,NA,NA
2020-06-14,2265,NA,NA,NA,2265,NA,NA,NA
2020-06-21,2405,NA,NA,NA,2405,NA,NA,NA
2020-06-28,2518,NA,NA,NA,2518,NA,NA,NA
2020-07-05,2602,NA,NA,NA,2602,NA,NA,NA
2020-07-12,2688,NA,NA,NA,2688,NA,NA,NA
2020-07-19,2769,NA,NA,NA,2769,NA,NA,NA
2020-07-26,2840,NA,NA,NA,2840,NA,NA,NA
2020-08-02,2903,NA,NA,NA,2903,NA,NA,NA
2020-08-09,2974,NA,NA,NA,2974,NA,NA,NA
2020-08-16,3042,NA,NA,NA,3042,NA,NA,NA
2020-08-23,3094,NA,NA,NA,3094,NA,NA,NA
2020-08-30,3141,NA,NA,NA,3141,NA,NA,NA
2020-09-06,3181,NA,NA,NA,3181,NA,NA,NA
2020-09-13,3218,NA,NA,NA,3218,NA,NA,NA
2020-09-20,3249,NA,NA,NA,3249,NA,NA,NA
2020-09-27,3278,NA,NA,NA,3278,NA,NA,NA
2020-10-04,3309,NA,NA,NA,3309,NA,NA,NA
2020-10-11,3322,NA,NA,NA,3322,NA,NA,NA
2020-10-18,3349,NA,NA,NA,3349,NA,NA,NA
2020-10-25,3371,NA,NA,NA,3371,NA,NA,NA
2020-11-01,3383,NA,NA,NA,3383,NA,NA,NA
2020-11-08,3404,NA,NA,NA,3404,NA,NA,NA
2020-11-15,3420,NA,NA,NA,3420,NA,NA,NA
2020-11-22,3432,NA,NA,NA,3432,NA,NA,NA
2020-11-29,3449,NA,NA,NA,3449,NA,NA,NA
2020-12-06,3475,NA,NA,NA,3475,NA,NA,NA
2020-12-13,3490,NA,NA,NA,3490,NA,NA,NA
2020-12-20,3501,NA,NA,NA,3501,NA,NA,NA
2020-12-27,3514,NA,NA,NA,3514,NA,NA,NA
2021-01-03,3541,NA,NA,NA,3541,NA,NA,NA
2021-01-10,3569,NA,NA,NA,3569,NA,NA,NA
2021-01-17,3590,NA,NA,NA,3590,NA,NA,NA
2021-01-24,3621,NA,NA,NA,3621,NA,NA,NA
2021-01-31,3678,NA,NA,NA,3678,NA,NA,NA
2021-02-07,3747,NA,NA,NA,3747,NA,NA,NA
2021-02-14,3829,NA,NA,NA,3829,NA,NA,NA
2021-02-21,3917,NA,NA,NA,3917,NA,NA,NA
2021-02-28,4032,NA,NA,NA,4032,NA,NA,NA
2021-03-07,4157,NA,NA,NA,4157,NA,NA,NA
2021-03-14,4353,NA,NA,NA,4353,NA,NA,NA
2021-03-21,4580,NA,NA,NA,4580,NA,NA,NA
2021-03-28,4888,NA,NA,NA,4888,NA,NA,NA
2021-04-04,5148,NA,NA,NA,5148,NA,NA,NA
2021-04-11,5386,NA,NA,NA,5386,NA,NA,NA
2021-04-18,5594,NA,NA,NA,5594,NA,NA,NA
2021-04-25,5768,NA,NA,NA,5768,NA,NA,NA
2021-05-02,5939,NA,NA,NA,5939,NA,NA,NA
2021-05-09,6088,NA,NA,NA,6088,NA,NA,NA
2021-05-16,6224,NA,NA,NA,6224,NA,NA,NA
2021-05-23,6382,NA,NA,NA,6381,NA,NA,NA
2021-05-30,6580,NA,NA,NA,6576,NA,NA,NA
2021-06-06,6738,NA,NA,NA,6730,NA,NA,NA
2021-06-13,6906,NA,NA,NA,6891,NA,NA,NA
2021-06-20,7070,NA,NA,NA,7045,NA,NA,NA
2021-06-27,7207,NA,NA,NA,7169,NA,NA,NA
2021-07-04,7337,NA,NA,NA,7275,NA,NA,NA
2021-07-11,7432,7432,7376,7512,7312,7312,7312,7312
2021-07-18,NA,7553,7483,7650,NA,7313,7313,7313
