"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2021-01-03,23,NA,NA,NA,23,NA,NA,NA
2021-01-10,253,NA,NA,NA,253,NA,NA,NA
2021-01-17,510,NA,NA,NA,510,NA,NA,NA
2021-01-24,740,NA,NA,NA,740,NA,NA,NA
2021-01-31,1029,NA,NA,NA,1029,NA,NA,NA
2021-02-07,1495,NA,NA,NA,1495,NA,NA,NA
2021-02-14,1965,NA,NA,NA,1965,NA,NA,NA
2021-02-21,2488,NA,NA,NA,2488,NA,NA,NA
2021-02-28,3110,NA,NA,NA,3110,NA,NA,NA
2021-03-07,3991,NA,NA,NA,3991,NA,NA,NA
2021-03-14,4862,NA,NA,NA,4862,NA,NA,NA
2021-03-21,5617,NA,NA,NA,5617,NA,NA,NA
2021-03-28,6291,NA,NA,NA,6291,NA,NA,NA
2021-04-04,6950,NA,NA,NA,6950,NA,NA,NA
2021-04-11,7659,NA,NA,NA,7659,NA,NA,NA
2021-04-18,8212,NA,NA,NA,8212,NA,NA,NA
2021-04-25,8835,NA,NA,NA,8835,NA,NA,NA
2021-05-02,9506,NA,NA,NA,9506,NA,NA,NA
2021-05-09,10103,NA,NA,NA,10103,NA,NA,NA
2021-05-16,10929,NA,NA,NA,10929,NA,NA,NA
2021-05-23,11708,NA,NA,NA,11708,NA,NA,NA
2021-05-30,12407,NA,NA,NA,12407,NA,NA,NA
2021-06-06,13171,NA,NA,NA,13171,NA,NA,NA
2021-06-13,13768,NA,NA,NA,13768,NA,NA,NA
2021-06-20,14322,NA,NA,NA,14322,NA,NA,NA
2021-06-27,14727,NA,NA,NA,14727,NA,NA,NA
2021-07-04,15113,NA,NA,NA,15113,NA,NA,NA
2021-07-11,15409,NA,NA,NA,15409,NA,NA,NA
2021-07-18,15625,NA,NA,NA,15625,NA,NA,NA
2021-07-25,15895,NA,NA,NA,15895,NA,NA,NA
2021-08-01,16119,NA,NA,NA,16119,NA,NA,NA
2021-08-08,16293,NA,NA,NA,16293,NA,NA,NA
2021-08-15,16448,NA,NA,NA,16448,NA,NA,NA
2021-08-22,16587,NA,NA,NA,16587,NA,NA,NA
2021-08-29,16673,NA,NA,NA,16673,NA,NA,NA
2021-09-05,16752,NA,NA,NA,16752,NA,NA,NA
2021-09-12,16819,NA,NA,NA,16819,NA,NA,NA
2021-09-19,16892,NA,NA,NA,16892,NA,NA,NA
2021-09-26,16936,NA,NA,NA,16935,NA,NA,NA
2021-10-03,16997,NA,NA,NA,16993,NA,NA,NA
2021-10-10,17041,NA,NA,NA,17032,NA,NA,NA
2021-10-17,17090,NA,NA,NA,17073,NA,NA,NA
2021-10-24,17134,NA,NA,NA,17103,NA,NA,NA
2021-10-31,17165,NA,NA,NA,17112,NA,NA,NA
2021-11-07,17204,17204,17153,17284,17115,17115,17115,17115
2021-11-14,NA,17238,17173,17337,NA,17117,17116,17118
