"estimativa","ic.inf","ic.sup","data"
1.95395214686211,1.75261343298511,2.20429039562053,2020-03-15
2.22570411871571,2.00700807355425,2.49528908381165,2020-03-22
2.39677101362778,2.17808559803088,2.66223746472703,2020-03-29
2.26556106745378,2.09440277213631,2.46582375398027,2020-04-05
2.08412970222693,1.95882029915723,2.22570452617748,2020-04-12
1.93223950147582,1.83963341366473,2.03410953313219,2020-04-19
1.94801249011219,1.8681802599141,2.03458175053402,2020-04-26
2.06523865209722,1.98968881328574,2.14646153182364,2020-05-03
2.36826209311783,2.28379252726689,2.45897554261989,2020-05-10
2.95765798570351,2.84322870038477,3.0814457747458,2020-05-17
3.89984526012043,3.7229505243489,4.09412866003693,2020-05-24
5.61228792487619,5.28049170521191,5.98824588703605,2020-05-31
7.5366093985956,6.98172566188001,8.18689892822111,2020-06-07
9.36148852029191,8.55333825360441,10.3378042582675,2020-06-14
11.1720532979559,10.0759050790558,12.5352580004505,2020-06-21
13.0416187215819,11.6085797094617,14.8776596870837,2020-06-28
16.7870692531737,14.5327327917019,19.8683702409983,2020-07-05
21.8288621612126,18.2215332618472,27.2158738319394,2020-07-12
29.212321071409,23.1659144656904,39.5279856894618,2020-07-19
35.0210474631998,26.7467920670806,50.705356587816,2020-07-26
38.4736441578268,28.7853590067256,57.989219226176,2020-08-02
40.346774791736,29.8907752452123,62.0505361302198,2020-08-09
41.3294486675914,30.4945929644464,64.103831311107,2020-08-16
43.7558279473885,31.8650481415042,69.8005100788772,2020-08-23
49.5109991166736,34.8870674614342,85.2387659910872,2020-08-30
56.1864323146462,38.1570013492726,106.509920912786,2020-09-06
65.6403909936204,42.3811923093185,145.47323770945,2020-09-13
73.4199389311744,45.5814071567129,188.601678348685,2020-09-20
81.9547323642658,48.8189819896951,255.087122079598,2020-09-27
92.6965295204351,52.5333607929938,393.613426436304,2020-10-04
97.2487081262085,54.052778433211,484.102353511876,2020-10-11
104.356914196106,56.2699808115376,717.46285911306,2020-10-18
106.790764960834,57.0565448848824,831.947972462185,2020-10-25
114.677011741054,59.3229392106796,1713.37858256493,2020-11-01
119.286331768054,60.6221035902445,3690.35158400236,2020-11-08
122.226250116608,61.4603773043791,10790.391736834,2020-11-15
