"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,45,NA,NA,NA,45,NA,NA,NA
2020-03-22,138,NA,NA,NA,138,NA,NA,NA
2020-03-29,253,NA,NA,NA,253,NA,NA,NA
2020-04-05,354,NA,NA,NA,354,NA,NA,NA
2020-04-12,476,NA,NA,NA,476,NA,NA,NA
2020-04-19,579,NA,NA,NA,579,NA,NA,NA
2020-04-26,732,NA,NA,NA,732,NA,NA,NA
2020-05-03,988,NA,NA,NA,988,NA,NA,NA
2020-05-10,1295,NA,NA,NA,1295,NA,NA,NA
2020-05-17,1662,NA,NA,NA,1662,NA,NA,NA
2020-05-24,2158,NA,NA,NA,2158,NA,NA,NA
2020-05-31,2801,NA,NA,NA,2801,NA,NA,NA
2020-06-07,3904,NA,NA,NA,3904,NA,NA,NA
2020-06-14,5241,NA,NA,NA,5241,NA,NA,NA
2020-06-21,6919,NA,NA,NA,6919,NA,NA,NA
2020-06-28,8674,NA,NA,NA,8674,NA,NA,NA
2020-07-05,10713,NA,NA,NA,10713,NA,NA,NA
2020-07-12,12619,NA,NA,NA,12619,NA,NA,NA
2020-07-19,14457,NA,NA,NA,14457,NA,NA,NA
2020-07-26,16221,NA,NA,NA,16221,NA,NA,NA
2020-08-02,17701,NA,NA,NA,17701,NA,NA,NA
2020-08-09,19196,NA,NA,NA,19196,NA,NA,NA
2020-08-16,20800,NA,NA,NA,20800,NA,NA,NA
2020-08-23,22335,NA,NA,NA,22335,NA,NA,NA
2020-08-30,23724,NA,NA,NA,23724,NA,NA,NA
2020-09-06,25222,NA,NA,NA,25222,NA,NA,NA
2020-09-13,26532,NA,NA,NA,26532,NA,NA,NA
2020-09-20,27775,NA,NA,NA,27775,NA,NA,NA
2020-09-27,28865,NA,NA,NA,28865,NA,NA,NA
2020-10-04,29910,NA,NA,NA,29910,NA,NA,NA
2020-10-11,30845,NA,NA,NA,30845,NA,NA,NA
2020-10-18,31611,NA,NA,NA,31611,NA,NA,NA
2020-10-25,32324,NA,NA,NA,32324,NA,NA,NA
2020-11-01,33073,NA,NA,NA,33073,NA,NA,NA
2020-11-08,33971,NA,NA,NA,33971,NA,NA,NA
2020-11-15,35155,NA,NA,NA,35155,NA,NA,NA
2020-11-22,36665,NA,NA,NA,36665,NA,NA,NA
2020-11-29,38166,NA,NA,NA,38166,NA,NA,NA
2020-12-06,40060,NA,NA,NA,40013,NA,NA,NA
2020-12-13,41786,NA,NA,NA,41655,NA,NA,NA
2020-12-20,43504,NA,NA,NA,43218,NA,NA,NA
2020-12-27,45354,NA,NA,NA,44806,NA,NA,NA
2021-01-03,47582,NA,NA,NA,46557,NA,NA,NA
2021-01-10,49881,NA,NA,NA,48118,NA,NA,NA
2021-01-17,51949,NA,NA,NA,49121,NA,NA,NA
2021-01-24,53873,NA,NA,NA,49481,NA,NA,NA
2021-01-31,56028,56028,55106,57172,49524,49524,49524,49524
2021-02-07,NA,58160,56949,59676,NA,49560,49555,49567
