"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-03-29,2,NA,NA,NA,2,NA,NA,NA
2020-04-05,6,NA,NA,NA,6,NA,NA,NA
2020-04-12,37,NA,NA,NA,37,NA,NA,NA
2020-04-19,183,NA,NA,NA,183,NA,NA,NA
2020-04-26,589,NA,NA,NA,589,NA,NA,NA
2020-05-03,1274,NA,NA,NA,1274,NA,NA,NA
2020-05-10,2036,NA,NA,NA,2036,NA,NA,NA
2020-05-17,2836,NA,NA,NA,2836,NA,NA,NA
2020-05-24,3513,NA,NA,NA,3513,NA,NA,NA
2020-05-31,4047,NA,NA,NA,4047,NA,NA,NA
2020-06-07,4516,NA,NA,NA,4516,NA,NA,NA
2020-06-14,4875,NA,NA,NA,4875,NA,NA,NA
2020-06-21,5145,NA,NA,NA,5145,NA,NA,NA
2020-06-28,5387,NA,NA,NA,5387,NA,NA,NA
2020-07-05,5597,NA,NA,NA,5597,NA,NA,NA
2020-07-12,5788,NA,NA,NA,5788,NA,NA,NA
2020-07-19,5979,NA,NA,NA,5979,NA,NA,NA
2020-07-26,6125,NA,NA,NA,6125,NA,NA,NA
2020-08-02,6273,NA,NA,NA,6273,NA,NA,NA
2020-08-09,6375,NA,NA,NA,6375,NA,NA,NA
2020-08-16,6480,NA,NA,NA,6480,NA,NA,NA
2020-08-23,6573,NA,NA,NA,6573,NA,NA,NA
2020-08-30,6682,NA,NA,NA,6682,NA,NA,NA
2020-09-06,6771,NA,NA,NA,6771,NA,NA,NA
2020-09-13,6853,NA,NA,NA,6853,NA,NA,NA
2020-09-20,6927,NA,NA,NA,6927,NA,NA,NA
2020-09-27,6990,NA,NA,NA,6990,NA,NA,NA
2020-10-04,7044,NA,NA,NA,7044,NA,NA,NA
2020-10-11,7093,NA,NA,NA,7093,NA,NA,NA
2020-10-18,7129,NA,NA,NA,7129,NA,NA,NA
2020-10-25,7188,NA,NA,NA,7188,NA,NA,NA
2020-11-01,7241,NA,NA,NA,7241,NA,NA,NA
2020-11-08,7298,NA,NA,NA,7298,NA,NA,NA
2020-11-15,7362,NA,NA,NA,7362,NA,NA,NA
2020-11-22,7427,NA,NA,NA,7427,NA,NA,NA
2020-11-29,7489,NA,NA,NA,7489,NA,NA,NA
2020-12-06,7585,NA,NA,NA,7585,NA,NA,NA
2020-12-13,7683,NA,NA,NA,7683,NA,NA,NA
2020-12-20,7776,NA,NA,NA,7776,NA,NA,NA
2020-12-27,7873,NA,NA,NA,7873,NA,NA,NA
2021-01-03,7989,NA,NA,NA,7989,NA,NA,NA
2021-01-10,8131,NA,NA,NA,8131,NA,NA,NA
2021-01-17,8285,NA,NA,NA,8285,NA,NA,NA
2021-01-24,8494,NA,NA,NA,8494,NA,NA,NA
2021-01-31,8730,NA,NA,NA,8730,NA,NA,NA
2021-02-07,8986,NA,NA,NA,8986,NA,NA,NA
2021-02-14,9241,NA,NA,NA,9241,NA,NA,NA
2021-02-21,9501,NA,NA,NA,9501,NA,NA,NA
2021-02-28,9756,NA,NA,NA,9756,NA,NA,NA
2021-03-07,10118,NA,NA,NA,10118,NA,NA,NA
2021-03-14,10588,NA,NA,NA,10588,NA,NA,NA
2021-03-21,11209,NA,NA,NA,11209,NA,NA,NA
2021-03-28,11967,NA,NA,NA,11967,NA,NA,NA
2021-04-04,12794,NA,NA,NA,12794,NA,NA,NA
2021-04-11,13506,NA,NA,NA,13506,NA,NA,NA
2021-04-18,14111,NA,NA,NA,14111,NA,NA,NA
2021-04-25,14587,NA,NA,NA,14587,NA,NA,NA
2021-05-02,14960,NA,NA,NA,14960,NA,NA,NA
2021-05-09,15194,NA,NA,NA,15194,NA,NA,NA
2021-05-16,15430,NA,NA,NA,15430,NA,NA,NA
2021-05-23,15628,NA,NA,NA,15628,NA,NA,NA
2021-05-30,15817,NA,NA,NA,15817,NA,NA,NA
2021-06-06,16020,NA,NA,NA,16020,NA,NA,NA
2021-06-13,16206,NA,NA,NA,16206,NA,NA,NA
2021-06-20,16366,NA,NA,NA,16366,NA,NA,NA
