"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-17,6,NA,NA,NA,6,NA,NA,NA
2020-03-19,9,NA,NA,NA,9,NA,NA,NA
2020-03-20,11,NA,NA,NA,11,NA,NA,NA
2020-03-21,12,NA,NA,NA,12,NA,NA,NA
2020-03-24,13,NA,NA,NA,13,NA,NA,NA
2020-03-25,15,NA,NA,NA,15,NA,NA,NA
2020-03-26,19,NA,NA,NA,19,NA,NA,NA
2020-03-27,20,NA,NA,NA,20,NA,NA,NA
2020-03-28,22,NA,NA,NA,22,NA,NA,NA
2020-03-29,23,NA,NA,NA,23,NA,NA,NA
2020-03-30,28,NA,NA,NA,28,NA,NA,NA
2020-03-31,30,NA,NA,NA,30,NA,NA,NA
2020-04-01,33,NA,NA,NA,33,NA,NA,NA
2020-04-02,37,NA,NA,NA,37,NA,NA,NA
2020-04-04,45,NA,NA,NA,45,NA,NA,NA
2020-04-05,51,NA,NA,NA,51,NA,NA,NA
2020-04-06,57,NA,NA,NA,57,NA,NA,NA
2020-04-07,62,NA,NA,NA,62,NA,NA,NA
2020-04-08,66,NA,NA,NA,66,NA,NA,NA
2020-04-09,68,NA,NA,NA,68,NA,NA,NA
2020-04-10,73,NA,NA,NA,73,NA,NA,NA
2020-04-11,80,NA,NA,NA,80,NA,NA,NA
2020-04-12,85,NA,NA,NA,85,NA,NA,NA
2020-04-13,89,NA,NA,NA,89,NA,NA,NA
2020-04-14,95,NA,NA,NA,95,NA,NA,NA
2020-04-15,103,NA,NA,NA,103,NA,NA,NA
2020-04-16,114,NA,NA,NA,114,NA,NA,NA
2020-04-17,120,NA,NA,NA,120,NA,NA,NA
2020-04-18,128,NA,NA,NA,128,NA,NA,NA
2020-04-19,144,NA,NA,NA,144,NA,NA,NA
2020-04-20,165,NA,NA,NA,165,NA,NA,NA
2020-04-21,176,NA,NA,NA,176,NA,NA,NA
2020-04-22,189,NA,NA,NA,189,NA,NA,NA
2020-04-23,211,NA,NA,NA,211,NA,NA,NA
2020-04-24,232,NA,NA,NA,232,NA,NA,NA
2020-04-25,257,NA,NA,NA,257,NA,NA,NA
2020-04-26,285,NA,NA,NA,285,NA,NA,NA
2020-04-27,305,NA,NA,NA,305,NA,NA,NA
2020-04-28,330,NA,NA,NA,330,NA,NA,NA
2020-04-29,345,NA,NA,NA,345,NA,NA,NA
2020-04-30,368,NA,NA,NA,368,NA,NA,NA
2020-05-01,413,NA,NA,NA,413,NA,NA,NA
2020-05-02,439,NA,NA,NA,439,NA,NA,NA
2020-05-03,462,NA,NA,NA,462,NA,NA,NA
2020-05-04,506,NA,NA,NA,506,NA,NA,NA
2020-05-05,538,NA,NA,NA,538,NA,NA,NA
2020-05-06,565,NA,NA,NA,565,NA,NA,NA
2020-05-07,600,NA,NA,NA,600,NA,NA,NA
2020-05-08,636,NA,NA,NA,636,NA,NA,NA
2020-05-09,678,NA,NA,NA,678,NA,NA,NA
2020-05-10,718,NA,NA,NA,718,NA,NA,NA
2020-05-11,760,NA,NA,NA,760,NA,NA,NA
2020-05-12,791,NA,NA,NA,791,NA,NA,NA
2020-05-13,822,NA,NA,NA,823,NA,NA,NA
2020-05-14,859,NA,NA,NA,863,NA,NA,NA
2020-05-15,907,NA,NA,NA,910,NA,NA,NA
2020-05-16,942,NA,NA,NA,942,NA,NA,NA
2020-05-17,977,NA,NA,NA,977,NA,NA,NA
2020-05-18,1011,NA,NA,NA,1010,NA,NA,NA
2020-05-19,1051,NA,NA,NA,1049,NA,NA,NA
2020-05-20,1108,NA,NA,NA,1115,NA,NA,NA
2020-05-21,1151,NA,NA,NA,1157,NA,NA,NA
2020-05-22,1188,NA,NA,NA,1194,NA,NA,NA
2020-05-23,1223,NA,NA,NA,1229,NA,NA,NA
2020-05-24,1260,NA,NA,NA,1268,NA,NA,NA
