"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,3,NA,NA,NA,3,NA,NA,NA
2020-04-05,9,NA,NA,NA,9,NA,NA,NA
2020-04-12,19,NA,NA,NA,19,NA,NA,NA
2020-04-19,35,NA,NA,NA,35,NA,NA,NA
2020-04-26,62,NA,NA,NA,62,NA,NA,NA
2020-05-03,109,NA,NA,NA,109,NA,NA,NA
2020-05-10,232,NA,NA,NA,232,NA,NA,NA
2020-05-17,371,NA,NA,NA,371,NA,NA,NA
2020-05-24,563,NA,NA,NA,563,NA,NA,NA
2020-05-31,775,NA,NA,NA,775,NA,NA,NA
2020-06-07,996,NA,NA,NA,996,NA,NA,NA
2020-06-14,1202,NA,NA,NA,1202,NA,NA,NA
2020-06-21,1372,NA,NA,NA,1372,NA,NA,NA
2020-06-28,1536,NA,NA,NA,1536,NA,NA,NA
2020-07-05,1693,NA,NA,NA,1693,NA,NA,NA
2020-07-12,1814,NA,NA,NA,1814,NA,NA,NA
2020-07-19,1948,NA,NA,NA,1948,NA,NA,NA
2020-07-26,2062,NA,NA,NA,2062,NA,NA,NA
2020-08-02,2175,NA,NA,NA,2175,NA,NA,NA
2020-08-09,2307,NA,NA,NA,2307,NA,NA,NA
2020-08-16,2403,NA,NA,NA,2403,NA,NA,NA
2020-08-23,2502,NA,NA,NA,2502,NA,NA,NA
2020-08-30,2592,NA,NA,NA,2592,NA,NA,NA
2020-09-06,2655,NA,NA,NA,2655,NA,NA,NA
2020-09-13,2720,NA,NA,NA,2720,NA,NA,NA
2020-09-20,2800,NA,NA,NA,2800,NA,NA,NA
2020-09-27,2861,NA,NA,NA,2861,NA,NA,NA
2020-10-04,2911,NA,NA,NA,2911,NA,NA,NA
2020-10-11,2973,NA,NA,NA,2973,NA,NA,NA
2020-10-18,3014,NA,NA,NA,3014,NA,NA,NA
2020-10-25,3066,NA,NA,NA,3066,NA,NA,NA
2020-11-01,3118,NA,NA,NA,3118,NA,NA,NA
2020-11-08,3164,NA,NA,NA,3164,NA,NA,NA
2020-11-15,3219,NA,NA,NA,3219,NA,NA,NA
2020-11-22,3273,NA,NA,NA,3273,NA,NA,NA
2020-11-29,3322,NA,NA,NA,3322,NA,NA,NA
2020-12-06,3401,NA,NA,NA,3401,NA,NA,NA
2020-12-13,3488,NA,NA,NA,3488,NA,NA,NA
2020-12-20,3577,NA,NA,NA,3577,NA,NA,NA
2020-12-27,3661,NA,NA,NA,3661,NA,NA,NA
2021-01-03,3744,NA,NA,NA,3744,NA,NA,NA
2021-01-10,3842,NA,NA,NA,3842,NA,NA,NA
2021-01-17,3922,NA,NA,NA,3922,NA,NA,NA
2021-01-24,4026,NA,NA,NA,4026,NA,NA,NA
2021-01-31,4117,NA,NA,NA,4117,NA,NA,NA
2021-02-07,4202,NA,NA,NA,4202,NA,NA,NA
2021-02-14,4277,NA,NA,NA,4277,NA,NA,NA
2021-02-21,4388,NA,NA,NA,4388,NA,NA,NA
2021-02-28,4539,NA,NA,NA,4539,NA,NA,NA
2021-03-07,4732,NA,NA,NA,4732,NA,NA,NA
2021-03-14,5004,NA,NA,NA,5004,NA,NA,NA
2021-03-21,5322,NA,NA,NA,5322,NA,NA,NA
2021-03-28,5635,NA,NA,NA,5635,NA,NA,NA
2021-04-04,5969,NA,NA,NA,5969,NA,NA,NA
2021-04-11,6246,NA,NA,NA,6246,NA,NA,NA
2021-04-18,6497,NA,NA,NA,6497,NA,NA,NA
2021-04-25,6702,NA,NA,NA,6702,NA,NA,NA
2021-05-02,6864,NA,NA,NA,6864,NA,NA,NA
2021-05-09,7041,NA,NA,NA,7041,NA,NA,NA
2021-05-16,7211,NA,NA,NA,7211,NA,NA,NA
2021-05-23,7404,NA,NA,NA,7404,NA,NA,NA
2021-05-30,7621,NA,NA,NA,7621,NA,NA,NA
2021-06-06,7885,NA,NA,NA,7885,NA,NA,NA
2021-06-13,8155,NA,NA,NA,8155,NA,NA,NA
2021-06-20,8379,NA,NA,NA,8379,NA,NA,NA
2021-06-27,8514,NA,NA,NA,8514,NA,NA,NA
2021-07-04,8654,NA,NA,NA,8654,NA,NA,NA
2021-07-11,8750,NA,NA,NA,8750,NA,NA,NA
2021-07-18,8833,NA,NA,NA,8833,NA,NA,NA
2021-07-25,8893,NA,NA,NA,8893,NA,NA,NA
2021-08-01,8944,NA,NA,NA,8943,NA,NA,NA
2021-08-08,8986,NA,NA,NA,8984,NA,NA,NA
2021-08-15,9017,NA,NA,NA,9015,NA,NA,NA
2021-08-22,9043,NA,NA,NA,9041,NA,NA,NA
2021-08-29,9063,NA,NA,NA,9061,NA,NA,NA
2021-09-05,9092,NA,NA,NA,9089,NA,NA,NA
2021-09-12,9114,9114,9108,9138,9108,9108,9108,9108
2021-09-19,NA,9141,9133,9167,NA,9110,9110,9110
