"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-18,12,NA,NA,NA,12,NA,NA,NA
2020-03-19,13,NA,NA,NA,13,NA,NA,NA
2020-03-20,17,NA,NA,NA,17,NA,NA,NA
2020-03-21,18,NA,NA,NA,18,NA,NA,NA
2020-03-22,20,NA,NA,NA,20,NA,NA,NA
2020-03-23,21,NA,NA,NA,21,NA,NA,NA
2020-03-24,24,NA,NA,NA,24,NA,NA,NA
2020-03-25,31,NA,NA,NA,31,NA,NA,NA
2020-03-26,34,NA,NA,NA,34,NA,NA,NA
2020-03-27,37,NA,NA,NA,37,NA,NA,NA
2020-03-28,39,NA,NA,NA,39,NA,NA,NA
2020-03-29,41,NA,NA,NA,41,NA,NA,NA
2020-03-30,47,NA,NA,NA,47,NA,NA,NA
2020-03-31,51,NA,NA,NA,51,NA,NA,NA
2020-04-01,54,NA,NA,NA,54,NA,NA,NA
2020-04-03,57,NA,NA,NA,57,NA,NA,NA
2020-04-04,65,NA,NA,NA,65,NA,NA,NA
2020-04-05,70,NA,NA,NA,70,NA,NA,NA
2020-04-06,72,NA,NA,NA,72,NA,NA,NA
2020-04-07,75,NA,NA,NA,75,NA,NA,NA
2020-04-08,80,NA,NA,NA,80,NA,NA,NA
2020-04-09,85,NA,NA,NA,85,NA,NA,NA
2020-04-10,93,NA,NA,NA,93,NA,NA,NA
2020-04-11,97,NA,NA,NA,97,NA,NA,NA
2020-04-12,104,NA,NA,NA,104,NA,NA,NA
2020-04-13,116,NA,NA,NA,116,NA,NA,NA
2020-04-14,121,NA,NA,NA,121,NA,NA,NA
2020-04-15,126,NA,NA,NA,126,NA,NA,NA
2020-04-16,135,NA,NA,NA,135,NA,NA,NA
2020-04-17,141,NA,NA,NA,141,NA,NA,NA
2020-04-18,147,NA,NA,NA,147,NA,NA,NA
2020-04-19,151,NA,NA,NA,151,NA,NA,NA
2020-04-20,154,NA,NA,NA,154,NA,NA,NA
2020-04-21,165,NA,NA,NA,165,NA,NA,NA
2020-04-22,174,NA,NA,NA,174,NA,NA,NA
2020-04-23,177,NA,NA,NA,177,NA,NA,NA
2020-04-24,186,NA,NA,NA,186,NA,NA,NA
2020-04-25,190,NA,NA,NA,190,NA,NA,NA
2020-04-26,200,NA,NA,NA,200,NA,NA,NA
2020-04-27,212,NA,NA,NA,212,NA,NA,NA
2020-04-28,225,NA,NA,NA,225,NA,NA,NA
2020-04-29,241,NA,NA,NA,241,NA,NA,NA
2020-04-30,249,NA,NA,NA,249,NA,NA,NA
2020-05-01,259,NA,NA,NA,259,NA,NA,NA
2020-05-02,272,NA,NA,NA,272,NA,NA,NA
2020-05-03,284,NA,NA,NA,284,NA,NA,NA
2020-05-04,307,NA,NA,NA,307,NA,NA,NA
2020-05-05,323,NA,NA,NA,323,NA,NA,NA
2020-05-06,343,NA,NA,NA,343,NA,NA,NA
2020-05-07,358,NA,NA,NA,358,NA,NA,NA
2020-05-08,387,NA,NA,NA,387,NA,NA,NA
2020-05-09,417,NA,NA,NA,417,NA,NA,NA
2020-05-10,444,NA,NA,NA,444,NA,NA,NA
