"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,72,NA,NA,NA,72,NA,NA,NA
2020-03-22,197,NA,NA,NA,197,NA,NA,NA
2020-03-29,392,NA,NA,NA,392,NA,NA,NA
2020-04-05,919,NA,NA,NA,919,NA,NA,NA
2020-04-12,1950,NA,NA,NA,1950,NA,NA,NA
2020-04-19,3349,NA,NA,NA,3349,NA,NA,NA
2020-04-26,5133,NA,NA,NA,5133,NA,NA,NA
2020-05-03,7058,NA,NA,NA,7058,NA,NA,NA
2020-05-10,8960,NA,NA,NA,8960,NA,NA,NA
2020-05-17,10706,NA,NA,NA,10706,NA,NA,NA
2020-05-24,12114,NA,NA,NA,12114,NA,NA,NA
2020-05-31,13249,NA,NA,NA,13249,NA,NA,NA
2020-06-07,14326,NA,NA,NA,14326,NA,NA,NA
2020-06-14,15219,NA,NA,NA,15219,NA,NA,NA
2020-06-21,16026,NA,NA,NA,16026,NA,NA,NA
2020-06-28,16730,NA,NA,NA,16730,NA,NA,NA
2020-07-05,17528,NA,NA,NA,17528,NA,NA,NA
2020-07-12,18342,NA,NA,NA,18342,NA,NA,NA
2020-07-19,19150,NA,NA,NA,19150,NA,NA,NA
2020-07-26,19830,NA,NA,NA,19830,NA,NA,NA
2020-08-02,20343,NA,NA,NA,20343,NA,NA,NA
2020-08-09,20775,NA,NA,NA,20775,NA,NA,NA
2020-08-16,21198,NA,NA,NA,21198,NA,NA,NA
2020-08-23,21543,NA,NA,NA,21543,NA,NA,NA
2020-08-30,21825,NA,NA,NA,21825,NA,NA,NA
2020-09-06,22112,NA,NA,NA,22112,NA,NA,NA
2020-09-13,22367,NA,NA,NA,22367,NA,NA,NA
2020-09-20,22574,NA,NA,NA,22574,NA,NA,NA
2020-09-27,22751,NA,NA,NA,22751,NA,NA,NA
2020-10-04,22975,NA,NA,NA,22975,NA,NA,NA
2020-10-11,23190,NA,NA,NA,23190,NA,NA,NA
2020-10-18,23462,NA,NA,NA,23462,NA,NA,NA
2020-10-25,23767,NA,NA,NA,23767,NA,NA,NA
2020-11-01,24155,NA,NA,NA,24155,NA,NA,NA
2020-11-08,24512,NA,NA,NA,24512,NA,NA,NA
2020-11-15,24886,NA,NA,NA,24886,NA,NA,NA
2020-11-22,25303,NA,NA,NA,25303,NA,NA,NA
2020-11-29,25706,NA,NA,NA,25706,NA,NA,NA
2020-12-06,26239,NA,NA,NA,26239,NA,NA,NA
2020-12-13,26735,NA,NA,NA,26735,NA,NA,NA
2020-12-20,27179,NA,NA,NA,27179,NA,NA,NA
2020-12-27,27579,NA,NA,NA,27579,NA,NA,NA
2021-01-03,28034,NA,NA,NA,28034,NA,NA,NA
2021-01-10,28425,NA,NA,NA,28425,NA,NA,NA
2021-01-17,28777,NA,NA,NA,28777,NA,NA,NA
2021-01-24,29157,NA,NA,NA,29157,NA,NA,NA
2021-01-31,29492,NA,NA,NA,29492,NA,NA,NA
2021-02-07,29925,NA,NA,NA,29925,NA,NA,NA
2021-02-14,30369,NA,NA,NA,30369,NA,NA,NA
2021-02-21,30855,NA,NA,NA,30855,NA,NA,NA
2021-02-28,31479,NA,NA,NA,31479,NA,NA,NA
2021-03-07,32423,NA,NA,NA,32423,NA,NA,NA
2021-03-14,33524,NA,NA,NA,33524,NA,NA,NA
2021-03-21,34598,NA,NA,NA,34598,NA,NA,NA
2021-03-28,35549,NA,NA,NA,35549,NA,NA,NA
2021-04-04,36573,NA,NA,NA,36573,NA,NA,NA
2021-04-11,37538,NA,NA,NA,37538,NA,NA,NA
2021-04-18,38412,NA,NA,NA,38412,NA,NA,NA
2021-04-25,39332,NA,NA,NA,39332,NA,NA,NA
2021-05-02,40221,NA,NA,NA,40221,NA,NA,NA
2021-05-09,41179,NA,NA,NA,41179,NA,NA,NA
2021-05-16,42290,NA,NA,NA,42290,NA,NA,NA
2021-05-23,43367,NA,NA,NA,43367,NA,NA,NA
2021-05-30,44253,NA,NA,NA,44253,NA,NA,NA
2021-06-06,45007,NA,NA,NA,45007,NA,NA,NA
2021-06-13,45590,NA,NA,NA,45590,NA,NA,NA
2021-06-20,46017,NA,NA,NA,46017,NA,NA,NA
2021-06-27,46321,NA,NA,NA,46321,NA,NA,NA
2021-07-04,46589,NA,NA,NA,46589,NA,NA,NA
2021-07-11,46789,NA,NA,NA,46789,NA,NA,NA
2021-07-18,46948,NA,NA,NA,46948,NA,NA,NA
2021-07-25,47077,NA,NA,NA,47077,NA,NA,NA
2021-08-01,47167,NA,NA,NA,47167,NA,NA,NA
2021-08-08,47236,NA,NA,NA,47236,NA,NA,NA
2021-08-15,47306,NA,NA,NA,47306,NA,NA,NA
2021-08-22,47373,NA,NA,NA,47373,NA,NA,NA
2021-08-29,47442,NA,NA,NA,47442,NA,NA,NA
2021-09-05,47519,NA,NA,NA,47519,NA,NA,NA
2021-09-12,47590,NA,NA,NA,47590,NA,NA,NA
2021-09-19,47675,NA,NA,NA,47675,NA,NA,NA
2021-09-26,47754,NA,NA,NA,47754,NA,NA,NA
2021-10-03,47824,NA,NA,NA,47824,NA,NA,NA
2021-10-10,47875,NA,NA,NA,47875,NA,NA,NA
2021-10-17,47927,NA,NA,NA,47927,NA,NA,NA
2021-10-24,47983,NA,NA,NA,47983,NA,NA,NA
2021-10-31,48035,NA,NA,NA,48035,NA,NA,NA
2021-11-07,48106,NA,NA,NA,48106,NA,NA,NA
2021-11-14,48176,NA,NA,NA,48176,NA,NA,NA
2021-11-21,48242,NA,NA,NA,48242,NA,NA,NA
2021-11-28,48295,NA,NA,NA,48295,NA,NA,NA
2021-12-05,48349,NA,NA,NA,48349,NA,NA,NA
2021-12-12,48403,NA,NA,NA,48403,NA,NA,NA
2021-12-19,48435,NA,NA,NA,48435,NA,NA,NA
2021-12-26,48486,NA,NA,NA,48486,NA,NA,NA
2022-01-02,48546,NA,NA,NA,48546,NA,NA,NA
2022-01-09,48607,NA,NA,NA,48607,NA,NA,NA
2022-01-16,48717,NA,NA,NA,48717,NA,NA,NA
2022-01-23,48947,NA,NA,NA,48947,NA,NA,NA
2022-01-30,49259,NA,NA,NA,49259,NA,NA,NA
2022-02-06,49563,NA,NA,NA,49563,NA,NA,NA
2022-02-13,49728,NA,NA,NA,49728,NA,NA,NA
2022-02-20,49789,NA,NA,NA,49789,NA,NA,NA
2022-02-27,49828,NA,NA,NA,49828,NA,NA,NA
2022-03-06,49857,NA,NA,NA,49857,NA,NA,NA
2022-03-13,49872,NA,NA,NA,49872,NA,NA,NA
2022-03-20,49881,NA,NA,NA,49881,NA,NA,NA
2022-03-27,49893,NA,NA,NA,49893,NA,NA,NA
2022-04-03,49899,NA,NA,NA,49899,NA,NA,NA
2022-04-10,49902,NA,NA,NA,49902,NA,NA,NA
2022-04-17,49911,NA,NA,NA,49911,NA,NA,NA
2022-04-24,49918,NA,NA,NA,49918,NA,NA,NA
2022-05-01,49930,NA,NA,NA,49930,NA,NA,NA
2022-05-08,49950,NA,NA,NA,49950,NA,NA,NA
2022-05-15,49967,NA,NA,NA,49967,NA,NA,NA
2022-05-22,49985,NA,NA,NA,49985,NA,NA,NA
2022-05-29,50000,NA,NA,NA,50000,NA,NA,NA
2022-06-05,50025,NA,NA,NA,50025,NA,NA,NA
