"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,11,NA,NA,NA,11,NA,NA,NA
2020-03-22,41,NA,NA,NA,41,NA,NA,NA
2020-03-29,98,NA,NA,NA,98,NA,NA,NA
2020-04-05,216,NA,NA,NA,216,NA,NA,NA
2020-04-12,429,NA,NA,NA,429,NA,NA,NA
2020-04-19,807,NA,NA,NA,807,NA,NA,NA
2020-04-26,1425,NA,NA,NA,1425,NA,NA,NA
2020-05-03,2239,NA,NA,NA,2239,NA,NA,NA
2020-05-10,3298,NA,NA,NA,3298,NA,NA,NA
2020-05-17,4393,NA,NA,NA,4393,NA,NA,NA
2020-05-24,5411,NA,NA,NA,5411,NA,NA,NA
2020-05-31,6333,NA,NA,NA,6333,NA,NA,NA
2020-06-07,7024,NA,NA,NA,7024,NA,NA,NA
2020-06-14,7653,NA,NA,NA,7653,NA,NA,NA
2020-06-21,8189,NA,NA,NA,8189,NA,NA,NA
2020-06-28,8707,NA,NA,NA,8707,NA,NA,NA
2020-07-05,9173,NA,NA,NA,9173,NA,NA,NA
2020-07-12,9580,NA,NA,NA,9580,NA,NA,NA
2020-07-19,10046,NA,NA,NA,10046,NA,NA,NA
2020-07-26,10473,NA,NA,NA,10473,NA,NA,NA
2020-08-02,10949,NA,NA,NA,10949,NA,NA,NA
2020-08-09,11327,NA,NA,NA,11327,NA,NA,NA
2020-08-16,11688,NA,NA,NA,11688,NA,NA,NA
2020-08-23,12005,NA,NA,NA,12005,NA,NA,NA
2020-08-30,12282,NA,NA,NA,12282,NA,NA,NA
2020-09-06,12555,NA,NA,NA,12555,NA,NA,NA
2020-09-13,12783,NA,NA,NA,12783,NA,NA,NA
2020-09-20,12984,NA,NA,NA,12984,NA,NA,NA
2020-09-27,13175,NA,NA,NA,13175,NA,NA,NA
2020-10-04,13343,NA,NA,NA,13343,NA,NA,NA
2020-10-11,13491,NA,NA,NA,13491,NA,NA,NA
2020-10-18,13644,NA,NA,NA,13644,NA,NA,NA
2020-10-25,13794,NA,NA,NA,13794,NA,NA,NA
2020-11-01,13959,NA,NA,NA,13959,NA,NA,NA
2020-11-08,14131,NA,NA,NA,14131,NA,NA,NA
2020-11-15,14337,NA,NA,NA,14337,NA,NA,NA
2020-11-22,14544,NA,NA,NA,14544,NA,NA,NA
2020-11-29,14783,NA,NA,NA,14783,NA,NA,NA
2020-12-06,15018,NA,NA,NA,15018,NA,NA,NA
2020-12-13,15274,NA,NA,NA,15274,NA,NA,NA
2020-12-20,15522,NA,NA,NA,15522,NA,NA,NA
2020-12-27,15753,NA,NA,NA,15753,NA,NA,NA
2021-01-03,16007,NA,NA,NA,16007,NA,NA,NA
2021-01-10,16268,NA,NA,NA,16268,NA,NA,NA
2021-01-17,16511,NA,NA,NA,16511,NA,NA,NA
2021-01-24,16789,NA,NA,NA,16789,NA,NA,NA
2021-01-31,17026,NA,NA,NA,17026,NA,NA,NA
2021-02-07,17239,NA,NA,NA,17239,NA,NA,NA
2021-02-14,17443,NA,NA,NA,17443,NA,NA,NA
2021-02-21,17652,NA,NA,NA,17652,NA,NA,NA
2021-02-28,17855,NA,NA,NA,17855,NA,NA,NA
2021-03-07,18122,NA,NA,NA,18122,NA,NA,NA
2021-03-14,18455,NA,NA,NA,18455,NA,NA,NA
2021-03-21,18739,NA,NA,NA,18739,NA,NA,NA
2021-03-28,19091,NA,NA,NA,19091,NA,NA,NA
2021-04-04,19410,NA,NA,NA,19410,NA,NA,NA
2021-04-11,19663,NA,NA,NA,19657,NA,NA,NA
2021-04-18,19945,NA,NA,NA,19921,NA,NA,NA
2021-04-25,20236,NA,NA,NA,20181,NA,NA,NA
2021-05-02,20444,NA,NA,NA,20353,NA,NA,NA
2021-05-09,20630,NA,NA,NA,20495,NA,NA,NA
2021-05-16,20839,NA,NA,NA,20634,NA,NA,NA
2021-05-23,21023,NA,NA,NA,20729,NA,NA,NA
2021-05-30,21214,NA,NA,NA,20802,NA,NA,NA
2021-06-06,21422,21422,21249,21633,20841,20841,20841,20841
2021-06-13,NA,21622,21413,21877,NA,20841,20841,20841
