"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-16,8,NA,NA,NA,8,NA,NA,NA
2020-03-18,11,NA,NA,NA,11,NA,NA,NA
2020-03-19,12,NA,NA,NA,12,NA,NA,NA
2020-03-20,13,NA,NA,NA,13,NA,NA,NA
2020-03-21,15,NA,NA,NA,15,NA,NA,NA
2020-03-22,17,NA,NA,NA,17,NA,NA,NA
2020-03-23,19,NA,NA,NA,19,NA,NA,NA
2020-03-24,20,NA,NA,NA,20,NA,NA,NA
2020-03-25,23,NA,NA,NA,23,NA,NA,NA
2020-03-27,26,NA,NA,NA,26,NA,NA,NA
2020-03-29,27,NA,NA,NA,27,NA,NA,NA
2020-03-30,31,NA,NA,NA,31,NA,NA,NA
2020-03-31,33,NA,NA,NA,33,NA,NA,NA
2020-04-01,37,NA,NA,NA,37,NA,NA,NA
2020-04-02,39,NA,NA,NA,39,NA,NA,NA
2020-04-03,40,NA,NA,NA,40,NA,NA,NA
2020-04-04,41,NA,NA,NA,41,NA,NA,NA
2020-04-05,43,NA,NA,NA,43,NA,NA,NA
2020-04-06,47,NA,NA,NA,47,NA,NA,NA
2020-04-07,50,NA,NA,NA,50,NA,NA,NA
2020-04-08,54,NA,NA,NA,54,NA,NA,NA
2020-04-09,55,NA,NA,NA,55,NA,NA,NA
2020-04-10,61,NA,NA,NA,61,NA,NA,NA
2020-04-11,65,NA,NA,NA,65,NA,NA,NA
2020-04-12,71,NA,NA,NA,71,NA,NA,NA
2020-04-13,80,NA,NA,NA,80,NA,NA,NA
2020-04-14,87,NA,NA,NA,87,NA,NA,NA
2020-04-15,94,NA,NA,NA,94,NA,NA,NA
2020-04-16,101,NA,NA,NA,101,NA,NA,NA
2020-04-17,112,NA,NA,NA,112,NA,NA,NA
2020-04-18,128,NA,NA,NA,128,NA,NA,NA
2020-04-19,135,NA,NA,NA,135,NA,NA,NA
2020-04-20,156,NA,NA,NA,156,NA,NA,NA
2020-04-21,169,NA,NA,NA,169,NA,NA,NA
2020-04-22,182,NA,NA,NA,182,NA,NA,NA
2020-04-23,196,NA,NA,NA,196,NA,NA,NA
2020-04-24,211,NA,NA,NA,211,NA,NA,NA
2020-04-25,227,NA,NA,NA,227,NA,NA,NA
2020-04-26,245,NA,NA,NA,245,NA,NA,NA
2020-04-27,264,NA,NA,NA,264,NA,NA,NA
2020-04-28,280,NA,NA,NA,280,NA,NA,NA
2020-04-29,298,NA,NA,NA,298,NA,NA,NA
2020-04-30,321,NA,NA,NA,321,NA,NA,NA
2020-05-01,350,NA,NA,NA,350,NA,NA,NA
2020-05-02,366,NA,NA,NA,366,NA,NA,NA
2020-05-03,383,NA,NA,NA,383,NA,NA,NA
2020-05-04,405,NA,NA,NA,405,NA,NA,NA
2020-05-05,429,NA,NA,NA,429,NA,NA,NA
2020-05-06,453,NA,NA,NA,453,NA,NA,NA
2020-05-07,480,NA,NA,NA,480,NA,NA,NA
2020-05-08,511,NA,NA,NA,511,NA,NA,NA
2020-05-09,534,NA,NA,NA,534,NA,NA,NA
2020-05-10,583,NA,NA,NA,583,NA,NA,NA
2020-05-11,621,NA,NA,NA,621,NA,NA,NA
2020-05-12,649,NA,NA,NA,649,NA,NA,NA
2020-05-13,677,NA,NA,NA,677,NA,NA,NA
2020-05-14,712,NA,NA,NA,712,NA,NA,NA
2020-05-15,753,NA,NA,NA,753,NA,NA,NA
2020-05-16,803,NA,NA,NA,803,NA,NA,NA
2020-05-17,841,NA,NA,NA,841,NA,NA,NA
2020-05-18,885,NA,NA,NA,885,NA,NA,NA
2020-05-19,921,NA,NA,NA,921,NA,NA,NA
2020-05-20,979,NA,NA,NA,979,NA,NA,NA
2020-05-21,1013,NA,NA,NA,1013,NA,NA,NA
2020-05-22,1063,NA,NA,NA,1063,NA,NA,NA
2020-05-23,1103,NA,NA,NA,1103,NA,NA,NA
2020-05-24,1129,NA,NA,NA,1129,NA,NA,NA
2020-05-25,1202,NA,NA,NA,1202,NA,NA,NA
2020-05-26,1239,NA,NA,NA,1239,NA,NA,NA
2020-05-27,1267,NA,NA,NA,1267,NA,NA,NA
2020-05-28,1315,NA,NA,NA,1315,NA,NA,NA
2020-05-29,1362,NA,NA,NA,1362,NA,NA,NA
2020-05-30,1402,NA,NA,NA,1402,NA,NA,NA
2020-05-31,1446,NA,NA,NA,1446,NA,NA,NA
2020-06-01,1546,NA,NA,NA,1546,NA,NA,NA
2020-06-02,1615,NA,NA,NA,1615,NA,NA,NA
2020-06-03,1674,NA,NA,NA,1674,NA,NA,NA
2020-06-04,1739,NA,NA,NA,1739,NA,NA,NA
2020-06-05,1801,NA,NA,NA,1801,NA,NA,NA
2020-06-06,1864,NA,NA,NA,1864,NA,NA,NA
2020-06-07,1918,NA,NA,NA,1918,NA,NA,NA
2020-06-08,1995,NA,NA,NA,1995,NA,NA,NA
2020-06-09,2056,NA,NA,NA,2056,NA,NA,NA
2020-06-10,2141,NA,NA,NA,2141,NA,NA,NA
2020-06-11,2205,NA,NA,NA,2205,NA,NA,NA
2020-06-12,2290,NA,NA,NA,2290,NA,NA,NA
2020-06-13,2360,NA,NA,NA,2360,NA,NA,NA
2020-06-14,2432,NA,NA,NA,2432,NA,NA,NA
2020-06-15,2528,NA,NA,NA,2528,NA,NA,NA
2020-06-16,2606,NA,NA,NA,2606,NA,NA,NA
2020-06-17,2667,NA,NA,NA,2667,NA,NA,NA
2020-06-18,2731,NA,NA,NA,2731,NA,NA,NA
2020-06-19,2817,NA,NA,NA,2817,NA,NA,NA
2020-06-20,2910,NA,NA,NA,2910,NA,NA,NA
2020-06-21,2978,NA,NA,NA,2978,NA,NA,NA
2020-06-22,3042,NA,NA,NA,3042,NA,NA,NA
2020-06-23,3095,NA,NA,NA,3095,NA,NA,NA
2020-06-24,3151,NA,NA,NA,3151,NA,NA,NA
2020-06-25,3237,NA,NA,NA,3237,NA,NA,NA
2020-06-26,3306,NA,NA,NA,3306,NA,NA,NA
2020-06-27,3358,NA,NA,NA,3358,NA,NA,NA
2020-06-28,3440,NA,NA,NA,3440,NA,NA,NA
2020-06-29,3497,NA,NA,NA,3497,NA,NA,NA
2020-06-30,3569,NA,NA,NA,3569,NA,NA,NA
2020-07-01,3681,NA,NA,NA,3681,NA,NA,NA
2020-07-02,3748,NA,NA,NA,3748,NA,NA,NA
2020-07-03,3816,NA,NA,NA,3816,NA,NA,NA
2020-07-04,3856,NA,NA,NA,3856,NA,NA,NA
2020-07-05,3929,NA,NA,NA,3929,NA,NA,NA
2020-07-06,4005,NA,NA,NA,4005,NA,NA,NA
2020-07-07,4064,NA,NA,NA,4064,NA,NA,NA
2020-07-08,4133,NA,NA,NA,4133,NA,NA,NA
2020-07-09,4186,NA,NA,NA,4186,NA,NA,NA
2020-07-10,4283,NA,NA,NA,4283,NA,NA,NA
2020-07-11,4335,NA,NA,NA,4335,NA,NA,NA
2020-07-12,4387,NA,NA,NA,4387,NA,NA,NA
