"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,71,NA,71,NA,NA,NA
2020-03-22,130,NA,130,NA,NA,NA
2020-03-29,149,NA,149,NA,NA,NA
2020-04-05,129,NA,129,NA,NA,NA
2020-04-12,137,NA,137,NA,NA,NA
2020-04-19,173,NA,173,NA,NA,NA
2020-04-26,225,NA,225,NA,NA,NA
2020-05-03,289,NA,289,NA,NA,NA
2020-05-10,399,NA,399,NA,NA,NA
2020-05-17,421,NA,421,NA,NA,NA
2020-05-24,451,NA,451,NA,NA,NA
2020-05-31,446,NA,446,NA,NA,NA
2020-06-07,653,NA,653,NA,NA,NA
2020-06-14,687,NA,687,NA,NA,NA
2020-06-21,699,NA,699,NA,NA,NA
2020-06-28,571,NA,571,NA,NA,NA
2020-07-05,626,NA,626,NA,NA,NA
2020-07-12,567,NA,567,NA,NA,NA
2020-07-19,463,NA,463,NA,NA,NA
2020-07-26,394,NA,394,NA,NA,NA
2020-08-02,353,NA,353,NA,NA,NA
2020-08-09,356,NA,356,NA,NA,NA
2020-08-16,396,NA,396,NA,NA,NA
2020-08-23,318,NA,318,NA,NA,NA
2020-08-30,271,NA,271,NA,NA,NA
2020-09-06,302,NA,302,NA,NA,NA
2020-09-13,297,NA,297,NA,NA,NA
2020-09-20,278,NA,278,NA,NA,NA
2020-09-27,257,NA,257,NA,NA,NA
2020-10-04,257,NA,257,NA,NA,NA
2020-10-11,279,NA,279,NA,NA,NA
2020-10-18,261,NA,261,NA,NA,NA
2020-10-25,257,NA,257,NA,NA,NA
2020-11-01,224,NA,224,NA,NA,NA
2020-11-08,211,NA,211,NA,NA,NA
2020-11-15,210,NA,210,NA,NA,NA
2020-11-22,236,NA,236,NA,NA,NA
2020-11-29,185,NA,185,NA,NA,NA
2020-12-06,238,NA,238,NA,NA,NA
2020-12-13,227,NA,227,NA,NA,NA
2020-12-20,NA,236,236,NA,233,243
2020-12-27,NA,181,181,NA,177,188
2021-01-03,NA,212,212,NA,207,220
2021-01-10,NA,226,226,NA,218,235
2021-01-17,NA,198,198,NA,189,209
2021-01-24,NA,273,273,NA,256,292
2021-01-31,NA,200,200,NA,177,225
2021-02-07,NA,243,243,NA,207,289
2021-02-14,NA,227,227,NA,163,309
