"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
22,29,1.29391504137169,0.323522788041931,0.740647071311297,0.8123124394087,1.06327062996125,1.26748683303049,1.49517381464589,1.8667036447469,1.99855383138841,2020-04-05
29,36,1.45008536484781,0.281117795061119,0.948275770478736,1.01951817086908,1.25302240289956,1.43257591850514,1.62915396106751,1.94076610958283,2.05026827018889,2020-04-12
36,43,1.58232139499328,0.22789266425531,1.17383150244587,1.23203049483027,1.42300805292779,1.57029092692671,1.72726757195261,1.9775590302546,2.06765515130277,2020-04-19
43,50,1.4911618942799,0.161748812937525,1.19447466753074,1.2379267370478,1.37852200459466,1.48406470092057,1.59616840395387,1.76872282812149,1.8255716802466,2020-04-26
50,57,1.22107874474361,0.107640170601374,1.02041661651573,1.05097435017138,1.14723927022716,1.21729529923296,1.29097607167041,1.40447967257799,1.44483499520475,2020-05-03
57,64,1.25387410534415,0.0932880477365828,1.07913349935505,1.10402951868023,1.18939753001783,1.25143326884677,1.31588438523737,1.41129542304614,1.44216149758027,2020-05-10
64,71,1.19484232514997,0.0778769183079412,1.04757808540234,1.07016813521226,1.14137375693708,1.19284162093547,1.24644413155892,1.32659835920947,1.35308388149496,2020-05-17
71,78,1.11559067757045,0.0652874328546272,0.990983155907285,1.00974076141999,1.07159682637268,1.11419173699142,1.15883854778203,1.22511016505753,1.24780366120657,2020-05-24
78,85,1.07605034018874,0.0585465728628735,0.963599568296899,0.981671049510244,1.03597975395655,1.07503930432502,1.11461622995475,1.17487509432786,1.19425907477757,2020-05-31
85,92,1.21385179735218,0.0598807521664678,1.09933481020334,1.11690465051729,1.17311427825797,1.21258323697154,1.25370240559277,1.31440408465187,1.33377373875056,2020-06-07
92,99,1.13028653042946,0.0515413601658182,1.03248567708522,1.04792926451528,1.09464184720297,1.1291625474872,1.16435049927971,1.21684069384381,1.23408987906529,2020-06-14
99,106,1.04751480543377,0.0431756226888189,0.964598621700678,0.9772896028163,1.01817215827727,1.04679003485046,1.07611977896459,1.11955623264547,1.13428746341627,2020-06-21
106,113,0.953657564716732,0.0401574233072977,0.876041464091508,0.888166335272532,0.926492842678942,0.953044116431668,0.980432496880394,1.02080037044089,1.03396370385134,2020-06-28
113,120,0.979896488306515,0.042804717037743,0.898327374837692,0.910712842167065,0.950662963830138,0.979232952440857,1.00832108349815,1.0515998774464,1.06570716433107,2020-07-05
120,127,0.985441252008632,0.0425675411364415,0.903859544947113,0.916787085335426,0.956398201023887,0.984681618259869,1.01403376578055,1.05656808593118,1.07087688825822,2020-07-12
127,134,0.893867600374977,0.0426635607591171,0.812522774930882,0.825053442771722,0.8648714514162,0.893048351355613,0.922226446443629,0.964808656153509,0.978924528573125,2020-07-19
134,141,0.858384470807823,0.0470589856445907,0.769799268673463,0.783159015570744,0.826081127349351,0.857099462972615,0.889499846555394,0.937829455061192,0.954268063733533,2020-07-26
141,148,0.901379489534105,0.0528603734554762,0.801084501129265,0.816075801311191,0.865507021904113,0.900389559170088,0.936395361260362,0.989891793892967,1.00768550952863,2020-08-02
148,155,0.976956633598338,0.0577210702909088,0.867679378178816,0.884275787484816,0.937522909745646,0.975846798135054,1.01502577208858,1.07432489642557,1.09383547112428,2020-08-09
155,162,1.09252902509169,0.0604952995815084,0.9775827009477,0.995331440528086,1.05121409337107,1.09131515066333,1.13273468615867,1.19429488820913,1.21478448404305,2020-08-16
162,169,0.95030546622965,0.0539347141337993,0.847095619104691,0.863525151090353,0.913631277521503,0.949078545780646,0.986038730090604,1.04113235904773,1.05928788875692,2020-08-23
169,176,0.854148788396695,0.0563947673814198,0.747373672289298,0.763883966264638,0.81536718184429,0.852896264347527,0.891305319939315,0.949267208683751,0.968027534654867,2020-08-30
176,183,1.00130712456231,0.06572158975302,0.877210115775178,0.896082214113507,0.956192598633723,0.999584760579586,1.04471274777937,1.11193646908101,1.13426766061663,2020-09-06
183,190,1.04749491470266,0.0658401863439641,0.922356162402357,0.941605831497218,1.00263192535656,1.04625005459976,1.09068748135343,1.15844721268279,1.17992158819685,2020-09-13
190,197,0.956780327796391,0.061789467019748,0.840476762698657,0.858100530068995,0.914307847684031,0.955286359759879,0.997486723888192,1.06064070800551,1.0816682181096,2020-09-20
197,204,0.931894847267352,0.0638161105292011,0.81127184221936,0.829165390439446,0.887960074326946,0.930402354078093,0.973991317741935,1.03977133810177,1.06113502805586,2020-09-27
204,211,0.999722685969779,0.0689740591076144,0.869589322632868,0.889502564919122,0.952443023801334,0.997922401863726,1.04530122359355,1.1161476609606,1.13998690280085,2020-10-04
211,218,1.04481761808995,0.0701626853759419,0.911393492394417,0.932116868648855,0.996766675600882,1.04352691428494,1.09056428911015,1.1629785666745,1.18751052164134,2020-10-11
218,225,0.991462041747684,0.0661659475253604,0.865209554914504,0.885243081759004,0.946112541489061,0.990376546183342,1.03510944154796,1.10273469674695,1.12512664664333,2020-10-18
