"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,19,NA,19,NA,NA,NA
2020-03-22,91,NA,91,NA,NA,NA
2020-03-29,102,NA,102,NA,NA,NA
2020-04-05,81,NA,81,NA,NA,NA
2020-04-12,61,NA,61,NA,NA,NA
2020-04-19,78,NA,78,NA,NA,NA
2020-04-26,88,NA,88,NA,NA,NA
2020-05-03,129,NA,129,NA,NA,NA
2020-05-10,160,NA,160,NA,NA,NA
2020-05-17,219,NA,219,NA,NA,NA
2020-05-24,272,NA,272,NA,NA,NA
2020-05-31,446,NA,446,NA,NA,NA
2020-06-07,628,NA,628,NA,NA,NA
2020-06-14,817,NA,817,NA,NA,NA
2020-06-21,977,NA,977,NA,NA,NA
2020-06-28,952,NA,952,NA,NA,NA
2020-07-05,1206,NA,1206,NA,NA,NA
2020-07-12,1332,NA,1332,NA,NA,NA
2020-07-19,1110,NA,1110,NA,NA,NA
2020-07-26,1079,NA,1079,NA,NA,NA
2020-08-02,1143,NA,1143,NA,NA,NA
2020-08-09,1040,NA,1040,NA,NA,NA
2020-08-16,1054,NA,1054,NA,NA,NA
2020-08-23,939,NA,939,NA,NA,NA
2020-08-30,964,NA,964,NA,NA,NA
2020-09-06,993,NA,993,NA,NA,NA
2020-09-13,826,NA,826,NA,NA,NA
2020-09-20,766,NA,766,NA,NA,NA
2020-09-27,619,NA,619,NA,NA,NA
2020-10-04,649,NA,649,NA,NA,NA
2020-10-11,599,NA,599,NA,NA,NA
2020-10-18,608,NA,608,NA,NA,NA
2020-10-25,590,NA,590,NA,NA,NA
2020-11-01,730,NA,730,NA,NA,NA
2020-11-08,1149,NA,1149,NA,NA,NA
2020-11-15,1630,NA,1630,NA,NA,NA
2020-11-22,1729,NA,1729,NA,NA,NA
2020-11-29,1795,NA,1795,NA,NA,NA
2020-12-06,1869,NA,1869,NA,NA,NA
2020-12-13,1639,NA,1639,NA,NA,NA
2020-12-20,1374,NA,1374,NA,NA,NA
2020-12-27,1373,NA,1373,NA,NA,NA
2021-01-03,1568,NA,1568,NA,NA,NA
2021-01-10,1559,NA,1559,NA,NA,NA
2021-01-17,1291,NA,1291,NA,NA,NA
2021-01-24,1253,NA,1253,NA,NA,NA
2021-01-31,1281,NA,1281,NA,NA,NA
2021-02-07,1704,NA,1704,NA,NA,NA
2021-02-14,2348,NA,2348,NA,NA,NA
2021-02-21,3146,NA,3146,NA,NA,NA
2021-02-28,3559,NA,3559,NA,NA,NA
2021-03-07,4098,NA,4098,NA,NA,NA
2021-03-14,3645,NA,3645,NA,NA,NA
2021-03-21,3350,NA,3350,NA,NA,NA
2021-03-28,2477,NA,2477,NA,NA,NA
2021-04-04,2346,NA,2346,NA,NA,NA
2021-04-11,2578,NA,2578,NA,NA,NA
2021-04-18,2316,NA,2316,NA,NA,NA
2021-04-25,2427,NA,2427,NA,NA,NA
2021-05-02,2971,NA,2971,NA,NA,NA
2021-05-09,3137,NA,3137,NA,NA,NA
2021-05-16,3826,NA,3826,NA,NA,NA
2021-05-23,3765,NA,3765,NA,NA,NA
2021-05-30,3748,NA,3748,NA,NA,NA
2021-06-06,3338,NA,3338,NA,NA,NA
2021-06-13,2491,NA,2491,NA,NA,NA
2021-06-20,2303,NA,2303,NA,NA,NA
2021-06-27,1700,NA,1700,NA,NA,NA
2021-07-04,1528,NA,1528,NA,NA,NA
2021-07-11,NA,1254,1254,NA,1249,1261
2021-07-18,NA,964,964,NA,958,972
2021-07-25,NA,997,997,NA,990,1007
2021-08-01,NA,1081,1081,NA,1069,1095
2021-08-08,NA,1181,1181,NA,1164,1201
2021-08-15,NA,1047,1047,NA,1023,1071
2021-08-22,NA,831,831,NA,798,867
2021-08-29,NA,653,653,NA,590,721
2021-09-05,NA,495,495,NA,317,682
