"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,14,NA,14,NA,NA,NA
2020-03-22,35,NA,35,NA,NA,NA
2020-03-29,73,NA,73,NA,NA,NA
2020-04-05,102,NA,102,NA,NA,NA
2020-04-12,121,NA,121,NA,NA,NA
2020-04-19,112,NA,112,NA,NA,NA
2020-04-26,142,NA,142,NA,NA,NA
2020-05-03,190,NA,190,NA,NA,NA
2020-05-10,145,NA,145,NA,NA,NA
2020-05-17,163,NA,163,NA,NA,NA
2020-05-24,161,NA,161,NA,NA,NA
2020-05-31,163,NA,163,NA,NA,NA
2020-06-07,216,NA,216,NA,NA,NA
2020-06-14,282,NA,282,NA,NA,NA
2020-06-21,290,NA,290,NA,NA,NA
2020-06-28,334,NA,334,NA,NA,NA
2020-07-05,406,NA,406,NA,NA,NA
2020-07-12,448,NA,448,NA,NA,NA
2020-07-19,459,NA,459,NA,NA,NA
2020-07-26,465,NA,465,NA,NA,NA
2020-08-02,480,NA,480,NA,NA,NA
2020-08-09,494,NA,494,NA,NA,NA
2020-08-16,409,NA,409,NA,NA,NA
2020-08-23,395,NA,395,NA,NA,NA
2020-08-30,445,NA,445,NA,NA,NA
2020-09-06,444,NA,444,NA,NA,NA
2020-09-13,362,NA,362,NA,NA,NA
2020-09-20,336,NA,336,NA,NA,NA
2020-09-27,359,NA,359,NA,NA,NA
2020-10-04,308,NA,308,NA,NA,NA
2020-10-11,274,NA,274,NA,NA,NA
2020-10-18,257,NA,257,NA,NA,NA
2020-10-25,210,NA,210,NA,NA,NA
2020-11-01,209,NA,209,NA,NA,NA
2020-11-08,208,NA,208,NA,NA,NA
2020-11-15,207,NA,207,NA,NA,NA
2020-11-22,291,NA,291,NA,NA,NA
2020-11-29,NA,382,382,NA,382,385
2020-12-06,NA,404,404,NA,399,410
2020-12-13,NA,513,513,NA,505,522
2020-12-20,NA,552,552,NA,542,565
2020-12-27,NA,500,500,NA,487,514
2021-01-03,NA,483,483,NA,469,498
2021-01-10,NA,432,432,NA,416,450
2021-01-17,NA,442,442,NA,421,467
2021-01-24,NA,378,378,NA,339,422.025
