"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,26,NA,NA,NA,26,NA,NA,NA
2020-03-22,78,NA,NA,NA,78,NA,NA,NA
2020-03-29,226,NA,NA,NA,226,NA,NA,NA
2020-04-05,569,NA,NA,NA,569,NA,NA,NA
2020-04-12,1082,NA,NA,NA,1082,NA,NA,NA
2020-04-19,1952,NA,NA,NA,1952,NA,NA,NA
2020-04-26,3411,NA,NA,NA,3411,NA,NA,NA
2020-05-03,5398,NA,NA,NA,5398,NA,NA,NA
2020-05-10,7628,NA,NA,NA,7628,NA,NA,NA
2020-05-17,9595,NA,NA,NA,9595,NA,NA,NA
2020-05-24,11247,NA,NA,NA,11247,NA,NA,NA
2020-05-31,12733,NA,NA,NA,12733,NA,NA,NA
2020-06-07,14021,NA,NA,NA,14021,NA,NA,NA
2020-06-14,15065,NA,NA,NA,15065,NA,NA,NA
2020-06-21,15971,NA,NA,NA,15971,NA,NA,NA
2020-06-28,16730,NA,NA,NA,16730,NA,NA,NA
2020-07-05,17424,NA,NA,NA,17424,NA,NA,NA
2020-07-12,18113,NA,NA,NA,18113,NA,NA,NA
2020-07-19,18783,NA,NA,NA,18783,NA,NA,NA
2020-07-26,19365,NA,NA,NA,19365,NA,NA,NA
2020-08-02,19929,NA,NA,NA,19929,NA,NA,NA
2020-08-09,20500,NA,NA,NA,20500,NA,NA,NA
2020-08-16,21082,NA,NA,NA,21082,NA,NA,NA
2020-08-23,21654,NA,NA,NA,21654,NA,NA,NA
2020-08-30,22268,NA,NA,NA,22268,NA,NA,NA
2020-09-06,22930,NA,NA,NA,22930,NA,NA,NA
2020-09-13,23510,NA,NA,NA,23510,NA,NA,NA
2020-09-20,24133,NA,NA,NA,24133,NA,NA,NA
2020-09-27,24690,NA,NA,NA,24690,NA,NA,NA
2020-10-04,25224,NA,NA,NA,25224,NA,NA,NA
2020-10-11,25725,NA,NA,NA,25725,NA,NA,NA
2020-10-18,26230,NA,NA,NA,26230,NA,NA,NA
2020-10-25,26671,NA,NA,NA,26671,NA,NA,NA
2020-11-01,27100,NA,NA,NA,27100,NA,NA,NA
2020-11-08,27604,NA,NA,NA,27604,NA,NA,NA
2020-11-15,28152,NA,NA,NA,28152,NA,NA,NA
2020-11-22,28754,NA,NA,NA,28754,NA,NA,NA
2020-11-29,29518,NA,NA,NA,29518,NA,NA,NA
2020-12-06,30524,NA,NA,NA,30524,NA,NA,NA
2020-12-13,31597,NA,NA,NA,31597,NA,NA,NA
2020-12-20,32819,NA,NA,NA,32819,NA,NA,NA
2020-12-27,33945,NA,NA,NA,33945,NA,NA,NA
2021-01-03,35043,NA,NA,NA,35043,NA,NA,NA
2021-01-10,36127,NA,NA,NA,36127,NA,NA,NA
2021-01-17,37063,NA,NA,NA,37063,NA,NA,NA
2021-01-24,37905,NA,NA,NA,37889,NA,NA,NA
2021-01-31,38643,NA,NA,NA,38589,NA,NA,NA
2021-02-07,39323,NA,NA,NA,39209,NA,NA,NA
2021-02-14,39950,NA,NA,NA,39741,NA,NA,NA
2021-02-21,40570,NA,NA,NA,40220,NA,NA,NA
2021-02-28,41206,NA,NA,NA,40662,NA,NA,NA
2021-03-07,42051,NA,NA,NA,41173,NA,NA,NA
2021-03-14,43036,NA,NA,NA,41594,NA,NA,NA
2021-03-21,44173,44173,43785,44612,41789,41789,41789,41789
2021-03-28,NA,45253,44761,45808,NA,41792,41791,41792
