"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,771,NA,NA,NA,771,NA,NA,NA
2020-03-22,1830,NA,NA,NA,1830,NA,NA,NA
2020-03-29,3235,NA,NA,NA,3235,NA,NA,NA
2020-04-05,5437,NA,NA,NA,5437,NA,NA,NA
2020-04-12,8544,NA,NA,NA,8544,NA,NA,NA
2020-04-19,12624,NA,NA,NA,12624,NA,NA,NA
2020-04-26,17549,NA,NA,NA,17549,NA,NA,NA
2020-05-03,22680,NA,NA,NA,22680,NA,NA,NA
2020-05-10,27400,NA,NA,NA,27400,NA,NA,NA
2020-05-17,31496,NA,NA,NA,31496,NA,NA,NA
2020-05-24,34872,NA,NA,NA,34872,NA,NA,NA
2020-05-31,37496,NA,NA,NA,37496,NA,NA,NA
2020-06-07,40238,NA,NA,NA,40238,NA,NA,NA
2020-06-14,42514,NA,NA,NA,42514,NA,NA,NA
2020-06-21,44739,NA,NA,NA,44739,NA,NA,NA
2020-06-28,46687,NA,NA,NA,46687,NA,NA,NA
2020-07-05,48814,NA,NA,NA,48814,NA,NA,NA
2020-07-12,50907,NA,NA,NA,50907,NA,NA,NA
2020-07-19,52911,NA,NA,NA,52911,NA,NA,NA
2020-07-26,54966,NA,NA,NA,54966,NA,NA,NA
2020-08-02,56981,NA,NA,NA,56981,NA,NA,NA
2020-08-09,58936,NA,NA,NA,58936,NA,NA,NA
2020-08-16,61020,NA,NA,NA,61020,NA,NA,NA
2020-08-23,63092,NA,NA,NA,63092,NA,NA,NA
2020-08-30,65254,NA,NA,NA,65254,NA,NA,NA
2020-09-06,67519,NA,NA,NA,67519,NA,NA,NA
2020-09-13,69569,NA,NA,NA,69569,NA,NA,NA
2020-09-20,71465,NA,NA,NA,71465,NA,NA,NA
2020-09-27,73133,NA,NA,NA,73133,NA,NA,NA
2020-10-04,75161,NA,NA,NA,75161,NA,NA,NA
2020-10-11,77007,NA,NA,NA,77007,NA,NA,NA
2020-10-18,78762,NA,NA,NA,78762,NA,NA,NA
2020-10-25,80683,NA,NA,NA,80683,NA,NA,NA
2020-11-01,82966,NA,NA,NA,82966,NA,NA,NA
2020-11-08,85574,NA,NA,NA,85574,NA,NA,NA
2020-11-15,88820,NA,NA,NA,88820,NA,NA,NA
2020-11-22,92397,NA,NA,NA,92397,NA,NA,NA
2020-11-29,96069,NA,NA,NA,96069,NA,NA,NA
2020-12-06,100430,NA,NA,NA,100430,NA,NA,NA
2020-12-13,104358,NA,NA,NA,104358,NA,NA,NA
2020-12-20,107964,NA,NA,NA,107964,NA,NA,NA
2020-12-27,111124,NA,NA,NA,111124,NA,NA,NA
2021-01-03,114659,NA,NA,NA,114659,NA,NA,NA
2021-01-10,117897,NA,NA,NA,117897,NA,NA,NA
2021-01-17,120504,NA,NA,NA,120504,NA,NA,NA
2021-01-24,122816,NA,NA,NA,122816,NA,NA,NA
2021-01-31,124830,NA,NA,NA,124830,NA,NA,NA
2021-02-07,126970,NA,NA,NA,126970,NA,NA,NA
2021-02-14,129076,NA,NA,NA,129076,NA,NA,NA
2021-02-21,131447,NA,NA,NA,131447,NA,NA,NA
2021-02-28,134290,NA,NA,NA,134290,NA,NA,NA
2021-03-07,138542,NA,NA,NA,138542,NA,NA,NA
2021-03-14,143757,NA,NA,NA,143757,NA,NA,NA
2021-03-21,149590,NA,NA,NA,149590,NA,NA,NA
2021-03-28,154983,NA,NA,NA,154983,NA,NA,NA
2021-04-04,160384,NA,NA,NA,160384,NA,NA,NA
2021-04-11,165209,NA,NA,NA,165209,NA,NA,NA
2021-04-18,169763,NA,NA,NA,169763,NA,NA,NA
2021-04-25,174183,NA,NA,NA,174183,NA,NA,NA
2021-05-02,178569,NA,NA,NA,178569,NA,NA,NA
2021-05-09,182814,NA,NA,NA,182814,NA,NA,NA
2021-05-16,187328,NA,NA,NA,187328,NA,NA,NA
2021-05-23,191320,NA,NA,NA,191320,NA,NA,NA
2021-05-30,194875,NA,NA,NA,194875,NA,NA,NA
2021-06-06,198034,NA,NA,NA,198034,NA,NA,NA
2021-06-13,200821,NA,NA,NA,200821,NA,NA,NA
2021-06-20,203357,NA,NA,NA,203357,NA,NA,NA
2021-06-27,205637,NA,NA,NA,205637,NA,NA,NA
2021-07-04,208033,NA,NA,NA,208033,NA,NA,NA
2021-07-11,210602,NA,NA,NA,210602,NA,NA,NA
2021-07-18,212904,NA,NA,NA,212904,NA,NA,NA
2021-07-25,215310,NA,NA,NA,215310,NA,NA,NA
2021-08-01,217869,NA,NA,NA,217869,NA,NA,NA
2021-08-08,220660,NA,NA,NA,220660,NA,NA,NA
2021-08-15,223589,NA,NA,NA,223589,NA,NA,NA
2021-08-22,226430,NA,NA,NA,226430,NA,NA,NA
2021-08-29,228765,NA,NA,NA,228765,NA,NA,NA
2021-09-05,230929,NA,NA,NA,230929,NA,NA,NA
2021-09-12,232728,NA,NA,NA,232728,NA,NA,NA
2021-09-19,234195,NA,NA,NA,234195,NA,NA,NA
2021-09-26,235550,NA,NA,NA,235550,NA,NA,NA
2021-10-03,236743,NA,NA,NA,236743,NA,NA,NA
2021-10-10,237810,NA,NA,NA,237810,NA,NA,NA
2021-10-17,238680,NA,NA,NA,238680,NA,NA,NA
2021-10-24,239502,NA,NA,NA,239502,NA,NA,NA
2021-10-31,240245,NA,NA,NA,240245,NA,NA,NA
2021-11-07,240967,NA,NA,NA,240967,NA,NA,NA
2021-11-14,241634,NA,NA,NA,241634,NA,NA,NA
2021-11-21,242396,NA,NA,NA,242396,NA,NA,NA
2021-11-28,243221,NA,NA,NA,243221,NA,NA,NA
2021-12-05,244337,NA,NA,NA,244337,NA,NA,NA
2021-12-12,245558,NA,NA,NA,245558,NA,NA,NA
2021-12-19,246610,NA,NA,NA,246610,NA,NA,NA
2021-12-26,247636,NA,NA,NA,247634,NA,NA,NA
2022-01-02,248632,NA,NA,NA,248626,NA,NA,NA
2022-01-09,250033,NA,NA,NA,250004,NA,NA,NA
2022-01-16,252366,NA,NA,NA,252222,NA,NA,NA
2022-01-23,254877,NA,NA,NA,254451,NA,NA,NA
2022-01-30,256847,NA,NA,NA,256022,NA,NA,NA
2022-02-06,258329,NA,NA,NA,256983,NA,NA,NA
2022-02-13,259518,NA,NA,NA,257490,NA,NA,NA
2022-02-20,260920,260920,260436,261462,257621,257621,257621,257621
2022-02-27,NA,262191,261580,262873,NA,257737,257726,257750
