"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,460,NA,460,NA,NA,NA
2020-03-22,1056,NA,1056,NA,NA,NA
2020-03-29,1405,NA,1405,NA,NA,NA
2020-04-05,2198,NA,2198,NA,NA,NA
2020-04-12,3112,NA,3112,NA,NA,NA
2020-04-19,4075,NA,4075,NA,NA,NA
2020-04-26,4921,NA,4921,NA,NA,NA
2020-05-03,5118,NA,5118,NA,NA,NA
2020-05-10,4716,NA,4716,NA,NA,NA
2020-05-17,4100,NA,4100,NA,NA,NA
2020-05-24,3376,NA,3376,NA,NA,NA
2020-05-31,2620,NA,2620,NA,NA,NA
2020-06-07,2743,NA,2743,NA,NA,NA
2020-06-14,2274,NA,2274,NA,NA,NA
2020-06-21,2228,NA,2228,NA,NA,NA
2020-06-28,1949,NA,1949,NA,NA,NA
2020-07-05,2124,NA,2124,NA,NA,NA
2020-07-12,2094,NA,2094,NA,NA,NA
2020-07-19,2003,NA,2003,NA,NA,NA
2020-07-26,2058,NA,2058,NA,NA,NA
2020-08-02,2014,NA,2014,NA,NA,NA
2020-08-09,1956,NA,1956,NA,NA,NA
2020-08-16,2087,NA,2087,NA,NA,NA
2020-08-23,2067,NA,2067,NA,NA,NA
2020-08-30,2161,NA,2161,NA,NA,NA
2020-09-06,2259,NA,2259,NA,NA,NA
2020-09-13,2045,NA,2045,NA,NA,NA
2020-09-20,1895,NA,1895,NA,NA,NA
2020-09-27,1669,NA,1669,NA,NA,NA
2020-10-04,2019,NA,2019,NA,NA,NA
2020-10-11,1836,NA,1836,NA,NA,NA
2020-10-18,1738,NA,1738,NA,NA,NA
2020-10-25,1917,NA,1917,NA,NA,NA
2020-11-01,2281,NA,2281,NA,NA,NA
2020-11-08,2605,NA,2605,NA,NA,NA
2020-11-15,3245,NA,3245,NA,NA,NA
2020-11-22,3581,NA,3581,NA,NA,NA
2020-11-29,3670,NA,3670,NA,NA,NA
2020-12-06,4352,NA,4352,NA,NA,NA
2020-12-13,3917,NA,3917,NA,NA,NA
2020-12-20,3588,NA,3588,NA,NA,NA
2020-12-27,3149,NA,3149,NA,NA,NA
2021-01-03,3526,NA,3526,NA,NA,NA
2021-01-10,3222,NA,3222,NA,NA,NA
2021-01-17,2588,NA,2588,NA,NA,NA
2021-01-24,2297,NA,2297,NA,NA,NA
2021-01-31,2013,NA,2013,NA,NA,NA
2021-02-07,2136,NA,2136,NA,NA,NA
2021-02-14,2093,NA,2093,NA,NA,NA
2021-02-21,2357,NA,2357,NA,NA,NA
2021-02-28,2811,NA,2811,NA,NA,NA
2021-03-07,4191,NA,4191,NA,NA,NA
2021-03-14,5157,NA,5157,NA,NA,NA
2021-03-21,5692,NA,5692,NA,NA,NA
2021-03-28,5244,NA,5244,NA,NA,NA
2021-04-04,5266,NA,5266,NA,NA,NA
2021-04-11,4652,NA,4652,NA,NA,NA
2021-04-18,4386,NA,4386,NA,NA,NA
2021-04-25,4255,NA,4255,NA,NA,NA
2021-05-02,4240,NA,4240,NA,NA,NA
2021-05-09,4069,NA,4069,NA,NA,NA
2021-05-16,4351,NA,4351,NA,NA,NA
2021-05-23,3838,NA,3838,NA,NA,NA
2021-05-30,3427,NA,3427,NA,NA,NA
2021-06-06,3038,NA,3038,NA,NA,NA
2021-06-13,2662,NA,2662,NA,NA,NA
2021-06-20,NA,2413,2413,NA,2405,2427
2021-06-27,NA,2237,2237,NA,2220,2256
2021-07-04,NA,2361,2361,NA,2334,2390
2021-07-11,NA,2581,2581,NA,2542,2622
2021-07-18,NA,2315,2315,NA,2268,2363
2021-07-25,NA,2500,2500,NA,2439,2564
2021-08-01,NA,2827,2827,NA,2737,2920
2021-08-08,NA,2956,2956,NA,2803,3118
2021-08-15,NA,3118,3118,NA,2731,3587.025
