"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,8,NA,NA,NA,8,NA,NA,NA
2020-03-22,39,NA,NA,NA,39,NA,NA,NA
2020-03-29,67,NA,NA,NA,67,NA,NA,NA
2020-04-05,100,NA,NA,NA,100,NA,NA,NA
2020-04-12,144,NA,NA,NA,144,NA,NA,NA
2020-04-19,207,NA,NA,NA,207,NA,NA,NA
2020-04-26,307,NA,NA,NA,307,NA,NA,NA
2020-05-03,471,NA,NA,NA,471,NA,NA,NA
2020-05-10,687,NA,NA,NA,687,NA,NA,NA
2020-05-17,968,NA,NA,NA,968,NA,NA,NA
2020-05-24,1315,NA,NA,NA,1315,NA,NA,NA
2020-05-31,1697,NA,NA,NA,1697,NA,NA,NA
2020-06-07,2207,NA,NA,NA,2207,NA,NA,NA
2020-06-14,2663,NA,NA,NA,2663,NA,NA,NA
2020-06-21,3086,NA,NA,NA,3086,NA,NA,NA
2020-06-28,3410,NA,NA,NA,3410,NA,NA,NA
2020-07-05,3710,NA,NA,NA,3710,NA,NA,NA
2020-07-12,3957,NA,NA,NA,3957,NA,NA,NA
2020-07-19,4137,NA,NA,NA,4137,NA,NA,NA
2020-07-26,4294,NA,NA,NA,4294,NA,NA,NA
2020-08-02,4407,NA,NA,NA,4407,NA,NA,NA
2020-08-09,4500,NA,NA,NA,4500,NA,NA,NA
2020-08-16,4586,NA,NA,NA,4586,NA,NA,NA
2020-08-23,4639,NA,NA,NA,4639,NA,NA,NA
2020-08-30,4704,NA,NA,NA,4704,NA,NA,NA
2020-09-06,4769,NA,NA,NA,4769,NA,NA,NA
2020-09-13,4818,NA,NA,NA,4818,NA,NA,NA
2020-09-20,4861,NA,NA,NA,4861,NA,NA,NA
2020-09-27,4896,NA,NA,NA,4896,NA,NA,NA
2020-10-04,4946,NA,NA,NA,4946,NA,NA,NA
2020-10-11,4985,NA,NA,NA,4983,NA,NA,NA
2020-10-18,5030,NA,NA,NA,5024,NA,NA,NA
2020-10-25,5077,NA,NA,NA,5066,NA,NA,NA
2020-11-01,5148,NA,NA,NA,5125,NA,NA,NA
2020-11-08,5233,NA,NA,NA,5187,NA,NA,NA
2020-11-15,5357,NA,NA,NA,5274,NA,NA,NA
2020-11-22,5505,NA,NA,NA,5363,NA,NA,NA
2020-11-29,5625,5625,5467,5858,5391,5391,5391,5391
2020-12-06,NA,5769,5563,6076,NA,5395,5394,5398
