"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2,NA,NA,NA,2,NA,NA,NA
2020-03-22,4,NA,NA,NA,4,NA,NA,NA
2020-03-29,23,NA,NA,NA,23,NA,NA,NA
2020-04-05,40,NA,NA,NA,40,NA,NA,NA
2020-04-12,65,NA,NA,NA,65,NA,NA,NA
2020-04-19,85,NA,NA,NA,85,NA,NA,NA
2020-04-26,123,NA,NA,NA,123,NA,NA,NA
2020-05-03,175,NA,NA,NA,175,NA,NA,NA
2020-05-10,240,NA,NA,NA,240,NA,NA,NA
2020-05-17,343,NA,NA,NA,343,NA,NA,NA
2020-05-24,449,NA,NA,NA,449,NA,NA,NA
2020-05-31,600,NA,NA,NA,600,NA,NA,NA
2020-06-07,780,NA,NA,NA,780,NA,NA,NA
2020-06-14,987,NA,NA,NA,987,NA,NA,NA
2020-06-21,1244,NA,NA,NA,1244,NA,NA,NA
2020-06-28,1496,NA,NA,NA,1496,NA,NA,NA
2020-07-05,1693,NA,NA,NA,1693,NA,NA,NA
2020-07-12,1886,NA,NA,NA,1886,NA,NA,NA
2020-07-19,2059,NA,NA,NA,2059,NA,NA,NA
2020-07-26,2193,NA,NA,NA,2193,NA,NA,NA
2020-08-02,2304,NA,NA,NA,2304,NA,NA,NA
2020-08-09,2396,NA,NA,NA,2396,NA,NA,NA
2020-08-16,2482,NA,NA,NA,2482,NA,NA,NA
2020-08-23,2563,NA,NA,NA,2563,NA,NA,NA
2020-08-30,2631,NA,NA,NA,2631,NA,NA,NA
2020-09-06,2676,NA,NA,NA,2676,NA,NA,NA
2020-09-13,2735,NA,NA,NA,2735,NA,NA,NA
2020-09-20,2783,NA,NA,NA,2783,NA,NA,NA
2020-09-27,2824,NA,NA,NA,2824,NA,NA,NA
2020-10-04,2858,NA,NA,NA,2858,NA,NA,NA
2020-10-11,2916,NA,NA,NA,2916,NA,NA,NA
2020-10-18,2945,NA,NA,NA,2945,NA,NA,NA
2020-10-25,2974,NA,NA,NA,2974,NA,NA,NA
2020-11-01,2999,NA,NA,NA,2999,NA,NA,NA
2020-11-08,3036,NA,NA,NA,3036,NA,NA,NA
2020-11-15,3072,NA,NA,NA,3072,NA,NA,NA
2020-11-22,3115,NA,NA,NA,3115,NA,NA,NA
2020-11-29,3157,NA,NA,NA,3157,NA,NA,NA
2020-12-06,3233,NA,NA,NA,3233,NA,NA,NA
2020-12-13,3310,NA,NA,NA,3310,NA,NA,NA
2020-12-20,3403,NA,NA,NA,3403,NA,NA,NA
2020-12-27,3491,NA,NA,NA,3491,NA,NA,NA
2021-01-03,3584,NA,NA,NA,3584,NA,NA,NA
2021-01-10,3680,NA,NA,NA,3680,NA,NA,NA
2021-01-17,3782,NA,NA,NA,3782,NA,NA,NA
2021-01-24,3862,NA,NA,NA,3862,NA,NA,NA
2021-01-31,3945,NA,NA,NA,3945,NA,NA,NA
2021-02-07,4033,NA,NA,NA,4033,NA,NA,NA
2021-02-14,4145,NA,NA,NA,4145,NA,NA,NA
2021-02-21,4252,NA,NA,NA,4252,NA,NA,NA
2021-02-28,4407,NA,NA,NA,4407,NA,NA,NA
2021-03-07,4607,NA,NA,NA,4607,NA,NA,NA
2021-03-14,4855,NA,NA,NA,4855,NA,NA,NA
2021-03-21,5130,NA,NA,NA,5130,NA,NA,NA
2021-03-28,5375,NA,NA,NA,5375,NA,NA,NA
2021-04-04,5640,NA,NA,NA,5640,NA,NA,NA
2021-04-11,5890,NA,NA,NA,5890,NA,NA,NA
2021-04-18,6126,NA,NA,NA,6126,NA,NA,NA
2021-04-25,6341,NA,NA,NA,6341,NA,NA,NA
2021-05-02,6544,NA,NA,NA,6544,NA,NA,NA
2021-05-09,6707,NA,NA,NA,6707,NA,NA,NA
2021-05-16,6873,NA,NA,NA,6873,NA,NA,NA
2021-05-23,7015,NA,NA,NA,7015,NA,NA,NA
2021-05-30,7189,NA,NA,NA,7189,NA,NA,NA
2021-06-06,7392,NA,NA,NA,7392,NA,NA,NA
2021-06-13,7553,NA,NA,NA,7553,NA,NA,NA
2021-06-20,7704,NA,NA,NA,7704,NA,NA,NA
2021-06-27,7814,NA,NA,NA,7814,NA,NA,NA
2021-07-04,7905,NA,NA,NA,7905,NA,NA,NA
2021-07-11,7970,NA,NA,NA,7970,NA,NA,NA
2021-07-18,8038,NA,NA,NA,8038,NA,NA,NA
2021-07-25,8089,NA,NA,NA,8089,NA,NA,NA
2021-08-01,8133,NA,NA,NA,8133,NA,NA,NA
2021-08-08,8173,NA,NA,NA,8173,NA,NA,NA
2021-08-15,8216,NA,NA,NA,8216,NA,NA,NA
2021-08-22,8237,NA,NA,NA,8237,NA,NA,NA
2021-08-29,8256,NA,NA,NA,8256,NA,NA,NA
2021-09-05,8276,NA,NA,NA,8276,NA,NA,NA
2021-09-12,8295,NA,NA,NA,8295,NA,NA,NA
2021-09-19,8315,NA,NA,NA,8315,NA,NA,NA
2021-09-26,8325,NA,NA,NA,8325,NA,NA,NA
2021-10-03,8343,NA,NA,NA,8343,NA,NA,NA
2021-10-10,8356,NA,NA,NA,8356,NA,NA,NA
2021-10-17,8382,NA,NA,NA,8382,NA,NA,NA
2021-10-24,8404,NA,NA,NA,8404,NA,NA,NA
2021-10-31,8426,NA,NA,NA,8426,NA,NA,NA
2021-11-07,8455,NA,NA,NA,8455,NA,NA,NA
2021-11-14,8484,NA,NA,NA,8484,NA,NA,NA
2021-11-21,8518,NA,NA,NA,8518,NA,NA,NA
2021-11-28,8541,NA,NA,NA,8541,NA,NA,NA
2021-12-05,8556,NA,NA,NA,8556,NA,NA,NA
2021-12-12,8579,NA,NA,NA,8579,NA,NA,NA
2021-12-19,8593,NA,NA,NA,8593,NA,NA,NA
2021-12-26,8610,NA,NA,NA,8610,NA,NA,NA
2022-01-02,8626,NA,NA,NA,8626,NA,NA,NA
2022-01-09,8665,NA,NA,NA,8664,NA,NA,NA
2022-01-16,8707,NA,NA,NA,8702,NA,NA,NA
2022-01-23,8754,NA,NA,NA,8740,NA,NA,NA
2022-01-30,8838,8838,8809,8893,8779,8779,8779,8779
2022-02-06,NA,8898,8859,8969,NA,8779,8779,8779
