"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,68,NA,NA,NA,68,NA,NA,NA
2020-03-22,79,NA,NA,NA,79,NA,NA,NA
2020-03-29,98,NA,NA,NA,98,NA,NA,NA
2020-04-05,161,NA,NA,NA,161,NA,NA,NA
2020-04-12,216,NA,NA,NA,216,NA,NA,NA
2020-04-19,291,NA,NA,NA,291,NA,NA,NA
2020-04-26,391,NA,NA,NA,391,NA,NA,NA
2020-05-03,503,NA,NA,NA,503,NA,NA,NA
2020-05-10,649,NA,NA,NA,649,NA,NA,NA
2020-05-17,795,NA,NA,NA,795,NA,NA,NA
2020-05-24,992,NA,NA,NA,992,NA,NA,NA
2020-05-31,1208,NA,NA,NA,1208,NA,NA,NA
2020-06-07,1476,NA,NA,NA,1476,NA,NA,NA
2020-06-14,1750,NA,NA,NA,1750,NA,NA,NA
2020-06-21,2009,NA,NA,NA,2009,NA,NA,NA
2020-06-28,2255,NA,NA,NA,2255,NA,NA,NA
2020-07-05,2512,NA,NA,NA,2512,NA,NA,NA
2020-07-12,2761,NA,NA,NA,2761,NA,NA,NA
2020-07-19,2991,NA,NA,NA,2991,NA,NA,NA
2020-07-26,3277,NA,NA,NA,3277,NA,NA,NA
2020-08-02,3536,NA,NA,NA,3536,NA,NA,NA
2020-08-09,3775,NA,NA,NA,3775,NA,NA,NA
2020-08-16,4059,NA,NA,NA,4059,NA,NA,NA
2020-08-23,4281,NA,NA,NA,4281,NA,NA,NA
2020-08-30,4472,NA,NA,NA,4472,NA,NA,NA
2020-09-06,4657,NA,NA,NA,4657,NA,NA,NA
2020-09-13,4809,NA,NA,NA,4809,NA,NA,NA
2020-09-20,4951,NA,NA,NA,4951,NA,NA,NA
2020-09-27,5056,NA,NA,NA,5056,NA,NA,NA
2020-10-04,5168,NA,NA,NA,5168,NA,NA,NA
2020-10-11,5280,NA,NA,NA,5280,NA,NA,NA
2020-10-18,5382,NA,NA,NA,5382,NA,NA,NA
2020-10-25,5483,NA,NA,NA,5483,NA,NA,NA
2020-11-01,5579,NA,NA,NA,5579,NA,NA,NA
2020-11-08,5714,NA,NA,NA,5714,NA,NA,NA
2020-11-15,5900,NA,NA,NA,5900,NA,NA,NA
2020-11-22,6113,NA,NA,NA,6113,NA,NA,NA
2020-11-29,6309,NA,NA,NA,6309,NA,NA,NA
2020-12-06,6532,NA,NA,NA,6532,NA,NA,NA
2020-12-13,6741,NA,NA,NA,6741,NA,NA,NA
2020-12-20,6916,NA,NA,NA,6916,NA,NA,NA
2020-12-27,7078,NA,NA,NA,7078,NA,NA,NA
2021-01-03,7289,NA,NA,NA,7289,NA,NA,NA
2021-01-10,7624,NA,NA,NA,7624,NA,NA,NA
2021-01-17,7932,NA,NA,NA,7932,NA,NA,NA
2021-01-24,8244,NA,NA,NA,8244,NA,NA,NA
2021-01-31,8544,NA,NA,NA,8544,NA,NA,NA
2021-02-07,8920,NA,NA,NA,8920,NA,NA,NA
2021-02-14,9268,NA,NA,NA,9268,NA,NA,NA
2021-02-21,9659,NA,NA,NA,9659,NA,NA,NA
2021-02-28,10094,NA,NA,NA,10094,NA,NA,NA
2021-03-07,10752,NA,NA,NA,10752,NA,NA,NA
2021-03-14,11356,NA,NA,NA,11354,NA,NA,NA
2021-03-21,11889,NA,NA,NA,11882,NA,NA,NA
2021-03-28,12351,NA,NA,NA,12331,NA,NA,NA
2021-04-04,12791,NA,NA,NA,12745,NA,NA,NA
2021-04-11,13199,NA,NA,NA,13104,NA,NA,NA
2021-04-18,13513,NA,NA,NA,13348,NA,NA,NA
2021-04-25,13885,NA,NA,NA,13581,NA,NA,NA
2021-05-02,14280,NA,NA,NA,13709,NA,NA,NA
2021-05-09,14586,14586,14340,14851,13719,13719,13719,13719
2021-05-16,NA,14966,14643,15313,NA,13741,13737,13746
