"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,33,NA,33,NA,NA,NA
2020-03-22,85,NA,85,NA,NA,NA
2020-03-29,103,NA,103,NA,NA,NA
2020-04-05,73,NA,73,NA,NA,NA
2020-04-12,108,NA,108,NA,NA,NA
2020-04-19,162,NA,162,NA,NA,NA
2020-04-26,256,NA,256,NA,NA,NA
2020-05-03,208,NA,208,NA,NA,NA
2020-05-10,266,NA,266,NA,NA,NA
2020-05-17,256,NA,256,NA,NA,NA
2020-05-24,267,NA,267,NA,NA,NA
2020-05-31,273,NA,273,NA,NA,NA
2020-06-07,443,NA,443,NA,NA,NA
2020-06-14,571,NA,571,NA,NA,NA
2020-06-21,754,NA,754,NA,NA,NA
2020-06-28,806,NA,806,NA,NA,NA
2020-07-05,976,NA,976,NA,NA,NA
2020-07-12,1210,NA,1210,NA,NA,NA
2020-07-19,1221,NA,1221,NA,NA,NA
2020-07-26,1204,NA,1204,NA,NA,NA
2020-08-02,1225,NA,1225,NA,NA,NA
2020-08-09,1154,NA,1154,NA,NA,NA
2020-08-16,1134,NA,1134,NA,NA,NA
2020-08-23,1137,NA,1137,NA,NA,NA
2020-08-30,1072,NA,1072,NA,NA,NA
2020-09-06,969,NA,969,NA,NA,NA
2020-09-13,832,NA,832,NA,NA,NA
2020-09-20,725,NA,725,NA,NA,NA
2020-09-27,756,NA,756,NA,NA,NA
2020-10-04,716,NA,716,NA,NA,NA
2020-10-11,749,NA,749,NA,NA,NA
2020-10-18,847,NA,847,NA,NA,NA
2020-10-25,876,NA,876,NA,NA,NA
2020-11-01,946,NA,946,NA,NA,NA
2020-11-08,1081,NA,1081,NA,NA,NA
2020-11-15,1333,NA,1333,NA,NA,NA
2020-11-22,1442,NA,1442,NA,NA,NA
2020-11-29,1574,NA,1574,NA,NA,NA
2020-12-06,1661,NA,1661,NA,NA,NA
2020-12-13,1441,NA,1441,NA,NA,NA
2020-12-20,1291,NA,1291,NA,NA,NA
2020-12-27,1236,NA,1236,NA,NA,NA
2021-01-03,1288,NA,1288,NA,NA,NA
2021-01-10,1220,NA,1220,NA,NA,NA
2021-01-17,1037,NA,1037,NA,NA,NA
2021-01-24,1053,NA,1053,NA,NA,NA
2021-01-31,1071,NA,1071,NA,NA,NA
2021-02-07,1686,NA,1686,NA,NA,NA
2021-02-14,2746,NA,2746,NA,NA,NA
2021-02-21,4400,NA,4400,NA,NA,NA
2021-02-28,NA,5299,5299,NA,5289,5314
2021-03-07,NA,5715,5715,NA,5698,5737
2021-03-14,NA,4395,4395,NA,4374,4419
2021-03-21,NA,3497,3497,NA,3473,3524
2021-03-28,NA,2608,2608,NA,2580,2637
2021-04-04,NA,2391,2391,NA,2354,2429
2021-04-11,NA,2332,2332,NA,2274,2392
2021-04-18,NA,1879,1879,NA,1759,2008
2021-04-25,NA,1976,1976,NA,1584,2430
