"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,9,NA,NA,NA,9,NA,NA,NA
2020-03-22,13,NA,NA,NA,13,NA,NA,NA
2020-03-29,25,NA,NA,NA,25,NA,NA,NA
2020-04-05,35,NA,NA,NA,35,NA,NA,NA
2020-04-12,50,NA,NA,NA,50,NA,NA,NA
2020-04-19,71,NA,NA,NA,71,NA,NA,NA
2020-04-26,115,NA,NA,NA,115,NA,NA,NA
2020-05-03,219,NA,NA,NA,219,NA,NA,NA
2020-05-10,342,NA,NA,NA,342,NA,NA,NA
2020-05-17,463,NA,NA,NA,463,NA,NA,NA
2020-05-24,646,NA,NA,NA,646,NA,NA,NA
2020-05-31,842,NA,NA,NA,842,NA,NA,NA
2020-06-07,1117,NA,NA,NA,1117,NA,NA,NA
2020-06-14,1459,NA,NA,NA,1459,NA,NA,NA
2020-06-21,1862,NA,NA,NA,1862,NA,NA,NA
2020-06-28,2236,NA,NA,NA,2236,NA,NA,NA
2020-07-05,2682,NA,NA,NA,2682,NA,NA,NA
2020-07-12,3091,NA,NA,NA,3091,NA,NA,NA
2020-07-19,3441,NA,NA,NA,3441,NA,NA,NA
2020-07-26,3708,NA,NA,NA,3708,NA,NA,NA
2020-08-02,3905,NA,NA,NA,3905,NA,NA,NA
2020-08-09,4043,NA,NA,NA,4043,NA,NA,NA
2020-08-16,4158,NA,NA,NA,4158,NA,NA,NA
2020-08-23,4255,NA,NA,NA,4255,NA,NA,NA
2020-08-30,4338,NA,NA,NA,4338,NA,NA,NA
2020-09-06,4443,NA,NA,NA,4443,NA,NA,NA
2020-09-13,4516,NA,NA,NA,4516,NA,NA,NA
2020-09-20,4590,NA,NA,NA,4590,NA,NA,NA
2020-09-27,4671,NA,NA,NA,4671,NA,NA,NA
2020-10-04,4801,NA,NA,NA,4801,NA,NA,NA
2020-10-11,4928,NA,NA,NA,4928,NA,NA,NA
2020-10-18,5048,NA,NA,NA,5048,NA,NA,NA
2020-10-25,5133,NA,NA,NA,5133,NA,NA,NA
2020-11-01,5214,NA,NA,NA,5214,NA,NA,NA
2020-11-08,5276,NA,NA,NA,5276,NA,NA,NA
2020-11-15,5379,NA,NA,NA,5379,NA,NA,NA
2020-11-22,5537,NA,NA,NA,5537,NA,NA,NA
2020-11-29,5714,NA,NA,NA,5714,NA,NA,NA
2020-12-06,5929,NA,NA,NA,5929,NA,NA,NA
2020-12-13,6140,NA,NA,NA,6140,NA,NA,NA
2020-12-20,6325,NA,NA,NA,6325,NA,NA,NA
2020-12-27,6557,NA,NA,NA,6557,NA,NA,NA
2021-01-03,6828,NA,NA,NA,6828,NA,NA,NA
2021-01-10,7147,NA,NA,NA,7147,NA,NA,NA
2021-01-17,7333,NA,NA,NA,7333,NA,NA,NA
2021-01-24,7557,NA,NA,NA,7557,NA,NA,NA
2021-01-31,7749,NA,NA,NA,7749,NA,NA,NA
2021-02-07,7923,NA,NA,NA,7923,NA,NA,NA
2021-02-14,8140,NA,NA,NA,8140,NA,NA,NA
2021-02-21,8402,NA,NA,NA,8402,NA,NA,NA
2021-02-28,8765,NA,NA,NA,8765,NA,NA,NA
2021-03-07,9262,NA,NA,NA,9262,NA,NA,NA
2021-03-14,9732,NA,NA,NA,9732,NA,NA,NA
2021-03-21,10186,NA,NA,NA,10186,NA,NA,NA
2021-03-28,10625,NA,NA,NA,10625,NA,NA,NA
2021-04-04,11134,NA,NA,NA,11134,NA,NA,NA
2021-04-11,11613,NA,NA,NA,11599,NA,NA,NA
2021-04-18,12011,NA,NA,NA,11979,NA,NA,NA
2021-04-25,12467,NA,NA,NA,12415,NA,NA,NA
2021-05-02,12889,NA,NA,NA,12813,NA,NA,NA
2021-05-09,13274,NA,NA,NA,13162,NA,NA,NA
2021-05-16,13681,NA,NA,NA,13510,NA,NA,NA
2021-05-23,14072,NA,NA,NA,13786,NA,NA,NA
2021-05-30,14462,NA,NA,NA,13934,NA,NA,NA
2021-06-06,14816,14816,14591,15055,13945,13945,13945,13945
2021-06-13,NA,15210,14920,15512,NA,13966,13963,13970
