"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2,NA,NA,NA,2,NA,NA,NA
2020-03-16,5,NA,NA,NA,5,NA,NA,NA
2020-03-17,7,NA,NA,NA,7,NA,NA,NA
2020-03-18,14,NA,NA,NA,14,NA,NA,NA
2020-03-19,21,NA,NA,NA,21,NA,NA,NA
2020-03-20,37,NA,NA,NA,37,NA,NA,NA
2020-03-21,49,NA,NA,NA,49,NA,NA,NA
2020-03-22,68,NA,NA,NA,68,NA,NA,NA
2020-03-23,95,NA,NA,NA,95,NA,NA,NA
2020-03-24,121,NA,NA,NA,121,NA,NA,NA
2020-03-25,147,NA,NA,NA,147,NA,NA,NA
2020-03-26,180,NA,NA,NA,180,NA,NA,NA
2020-03-27,230,NA,NA,NA,230,NA,NA,NA
2020-03-28,285,NA,NA,NA,285,NA,NA,NA
2020-03-29,336,NA,NA,NA,336,NA,NA,NA
2020-03-30,389,NA,NA,NA,389,NA,NA,NA
2020-03-31,459,NA,NA,NA,459,NA,NA,NA
2020-04-01,536,NA,NA,NA,536,NA,NA,NA
2020-04-02,614,NA,NA,NA,614,NA,NA,NA
2020-04-03,698,NA,NA,NA,698,NA,NA,NA
2020-04-04,804,NA,NA,NA,804,NA,NA,NA
2020-04-05,905,NA,NA,NA,905,NA,NA,NA
2020-04-06,995,NA,NA,NA,995,NA,NA,NA
2020-04-07,1096,NA,NA,NA,1096,NA,NA,NA
2020-04-08,1179,NA,NA,NA,1179,NA,NA,NA
2020-04-09,1258,NA,NA,NA,1258,NA,NA,NA
2020-04-10,1362,NA,NA,NA,1362,NA,NA,NA
2020-04-11,1455,NA,NA,NA,1455,NA,NA,NA
2020-04-12,1550,NA,NA,NA,1550,NA,NA,NA
2020-04-13,1667,NA,NA,NA,1667,NA,NA,NA
2020-04-14,1761,NA,NA,NA,1761,NA,NA,NA
2020-04-15,1859,NA,NA,NA,1859,NA,NA,NA
2020-04-16,1956,NA,NA,NA,1956,NA,NA,NA
2020-04-17,2061,NA,NA,NA,2061,NA,NA,NA
2020-04-18,2153,NA,NA,NA,2153,NA,NA,NA
2020-04-19,2253,NA,NA,NA,2253,NA,NA,NA
2020-04-20,2386,NA,NA,NA,2386,NA,NA,NA
2020-04-21,2495,NA,NA,NA,2495,NA,NA,NA
2020-04-22,2620,NA,NA,NA,2620,NA,NA,NA
2020-04-23,2773,NA,NA,NA,2773,NA,NA,NA
2020-04-24,2913,NA,NA,NA,2913,NA,NA,NA
2020-04-25,3039,NA,NA,NA,3039,NA,NA,NA
2020-04-26,3186,NA,NA,NA,3186,NA,NA,NA
2020-04-27,3336,NA,NA,NA,3336,NA,NA,NA
2020-04-28,3487,NA,NA,NA,3487,NA,NA,NA
2020-04-29,3655,NA,NA,NA,3655,NA,NA,NA
2020-04-30,3805,NA,NA,NA,3805,NA,NA,NA
2020-05-01,3974,NA,NA,NA,3974,NA,NA,NA
2020-05-02,4131,NA,NA,NA,4131,NA,NA,NA
2020-05-03,4299,NA,NA,NA,4299,NA,NA,NA
2020-05-04,4462,NA,NA,NA,4462,NA,NA,NA
2020-05-05,4650,NA,NA,NA,4650,NA,NA,NA
2020-05-06,4812,NA,NA,NA,4812,NA,NA,NA
2020-05-07,5000,NA,NA,NA,5000,NA,NA,NA
2020-05-08,5209,NA,NA,NA,5209,NA,NA,NA
2020-05-09,5389,NA,NA,NA,5389,NA,NA,NA
2020-05-10,5607,NA,NA,NA,5607,NA,NA,NA
2020-05-11,5782,NA,NA,NA,5782,NA,NA,NA
2020-05-12,5977,NA,NA,NA,5977,NA,NA,NA
2020-05-13,6184,NA,NA,NA,6184,NA,NA,NA
2020-05-14,6393,NA,NA,NA,6393,NA,NA,NA
2020-05-15,6587,NA,NA,NA,6587,NA,NA,NA
2020-05-16,6824,NA,NA,NA,6824,NA,NA,NA
2020-05-17,7030,NA,NA,NA,7030,NA,NA,NA
2020-05-18,7250,NA,NA,NA,7250,NA,NA,NA
2020-05-19,7457,NA,NA,NA,7457,NA,NA,NA
2020-05-20,7668,NA,NA,NA,7668,NA,NA,NA
2020-05-21,7900,NA,NA,NA,7900,NA,NA,NA
2020-05-22,8150,NA,NA,NA,8150,NA,NA,NA
2020-05-23,8386,NA,NA,NA,8386,NA,NA,NA
2020-05-24,8593,NA,NA,NA,8593,NA,NA,NA
2020-05-25,8812,NA,NA,NA,8812,NA,NA,NA
2020-05-26,9040,NA,NA,NA,9040,NA,NA,NA
2020-05-27,9280,NA,NA,NA,9280,NA,NA,NA
2020-05-28,9510,NA,NA,NA,9510,NA,NA,NA
2020-05-29,9756,NA,NA,NA,9756,NA,NA,NA
2020-05-30,9986,NA,NA,NA,9986,NA,NA,NA
2020-05-31,10212,NA,NA,NA,10212,NA,NA,NA
2020-06-01,10487,NA,NA,NA,10487,NA,NA,NA
2020-06-02,10739,NA,NA,NA,10739,NA,NA,NA
2020-06-03,10952,NA,NA,NA,10952,NA,NA,NA
2020-06-04,11197,NA,NA,NA,11197,NA,NA,NA
2020-06-05,11413,NA,NA,NA,11413,NA,NA,NA
2020-06-06,11641,NA,NA,NA,11641,NA,NA,NA
2020-06-07,11855,NA,NA,NA,11855,NA,NA,NA
2020-06-08,12119,NA,NA,NA,12119,NA,NA,NA
2020-06-09,12350,NA,NA,NA,12350,NA,NA,NA
2020-06-10,12592,NA,NA,NA,12592,NA,NA,NA
2020-06-11,12850,NA,NA,NA,12850,NA,NA,NA
2020-06-12,13100,NA,NA,NA,13100,NA,NA,NA
2020-06-13,13360,NA,NA,NA,13360,NA,NA,NA
2020-06-14,13588,NA,NA,NA,13588,NA,NA,NA
2020-06-15,13836,NA,NA,NA,13837,NA,NA,NA
2020-06-16,14086,NA,NA,NA,14088,NA,NA,NA
2020-06-17,14332,NA,NA,NA,14337,NA,NA,NA
2020-06-18,14573,NA,NA,NA,14580,NA,NA,NA
2020-06-19,14814,NA,NA,NA,14821,NA,NA,NA
2020-06-20,15045,NA,NA,NA,15053,NA,NA,NA
2020-06-21,15278,NA,NA,NA,15288,NA,NA,NA
2020-06-22,15498,NA,NA,NA,15512,NA,NA,NA
2020-06-23,15741,NA,NA,NA,15756,NA,NA,NA
2020-06-24,15953,NA,NA,NA,15974,NA,NA,NA
2020-06-25,16165,NA,NA,NA,16188,NA,NA,NA
2020-06-26,16394,NA,NA,NA,16418,NA,NA,NA
2020-06-27,16609,NA,NA,NA,16637,NA,NA,NA
2020-06-28,16807,NA,NA,NA,16838,NA,NA,NA
2020-06-29,17027,NA,NA,NA,17059,NA,NA,NA
2020-06-30,17256,NA,NA,NA,17288,NA,NA,NA
2020-07-01,17461,NA,NA,NA,17492,NA,NA,NA
2020-07-02,17689,NA,NA,NA,17719,NA,NA,NA
2020-07-03,17886,NA,NA,NA,17919,NA,NA,NA
2020-07-04,18079,NA,NA,NA,18111,NA,NA,NA
2020-07-05,18311,NA,NA,NA,18338,NA,NA,NA
2020-07-06,18539,NA,NA,NA,18557,NA,NA,NA
2020-07-07,18779,NA,NA,NA,18787,NA,NA,NA
2020-07-08,18996,NA,NA,NA,18994,NA,NA,NA
2020-07-09,19237,NA,NA,NA,19226,NA,NA,NA
2020-07-10,19466,NA,NA,NA,19443,NA,NA,NA
2020-07-11,19693,NA,NA,NA,19653,NA,NA,NA
2020-07-12,19943,NA,NA,NA,19888,NA,NA,NA
