"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,44,NA,44,NA,NA,NA
2020-03-22,270,NA,270,NA,NA,NA
2020-03-29,794,NA,794,NA,NA,NA
2020-04-05,1319,NA,1319,NA,NA,NA
2020-04-12,1444,NA,1444,NA,NA,NA
2020-04-19,1491,NA,1491,NA,NA,NA
2020-04-26,1753,NA,1753,NA,NA,NA
2020-05-03,2105,NA,2105,NA,NA,NA
2020-05-10,2241,NA,2241,NA,NA,NA
2020-05-17,2434,NA,2434,NA,NA,NA
2020-05-24,2609,NA,2609,NA,NA,NA
2020-05-31,2697,NA,2697,NA,NA,NA
2020-06-07,2713,NA,2713,NA,NA,NA
2020-06-14,2816,NA,2816,NA,NA,NA
2020-06-21,2712,NA,2712,NA,NA,NA
2020-06-28,2498,NA,2498,NA,NA,NA
2020-07-05,2528,NA,2528,NA,NA,NA
2020-07-12,2627,NA,2627,NA,NA,NA
2020-07-19,2640,NA,2640,NA,NA,NA
2020-07-26,2570,NA,2570,NA,NA,NA
2020-08-02,2362,NA,2362,NA,NA,NA
2020-08-09,2339,NA,2339,NA,NA,NA
2020-08-16,2188,NA,2188,NA,NA,NA
2020-08-23,1953,NA,1953,NA,NA,NA
2020-08-30,1968,NA,1968,NA,NA,NA
2020-09-06,1811,NA,1811,NA,NA,NA
2020-09-13,1793,NA,1793,NA,NA,NA
2020-09-20,1576,NA,1576,NA,NA,NA
2020-09-27,1317,NA,1317,NA,NA,NA
2020-10-04,1555,NA,1555,NA,NA,NA
2020-10-11,1424,NA,1424,NA,NA,NA
2020-10-18,1038,NA,1038,NA,NA,NA
2020-10-25,951,NA,951,NA,NA,NA
2020-11-01,872,NA,872,NA,NA,NA
2020-11-08,867,NA,867,NA,NA,NA
2020-11-15,977,NA,977,NA,NA,NA
2020-11-22,1055,NA,1055,NA,NA,NA
2020-11-29,1157,NA,1157,NA,NA,NA
2020-12-06,1409,NA,1409,NA,NA,NA
2020-12-13,1463,NA,1463,NA,NA,NA
2020-12-20,1625,NA,1625,NA,NA,NA
2020-12-27,1621,NA,1621,NA,NA,NA
2021-01-03,1619,NA,1619,NA,NA,NA
2021-01-10,1915,NA,1915,NA,NA,NA
2021-01-17,2115,NA,2115,NA,NA,NA
2021-01-24,2160,NA,2160,NA,NA,NA
2021-01-31,2318,NA,2318,NA,NA,NA
2021-02-07,2121,NA,2121,NA,NA,NA
2021-02-14,1987,NA,1987,NA,NA,NA
2021-02-21,2009,NA,2009,NA,NA,NA
2021-02-28,2319,NA,2319,NA,NA,NA
2021-03-07,3083,NA,3083,NA,NA,NA
2021-03-14,4094,NA,4094,NA,NA,NA
2021-03-21,5685,NA,5685,NA,NA,NA
2021-03-28,7226,NA,7226,NA,NA,NA
2021-04-04,6676,NA,6676,NA,NA,NA
2021-04-11,6031,NA,6031,NA,NA,NA
2021-04-18,5204,NA,5204,NA,NA,NA
2021-04-25,4398,NA,4398,NA,NA,NA
2021-05-02,3979,NA,3979,NA,NA,NA
2021-05-09,3836,NA,3836,NA,NA,NA
2021-05-16,3506,NA,3506,NA,NA,NA
2021-05-23,3763,NA,3763,NA,NA,NA
2021-05-30,3932,NA,3932,NA,NA,NA
2021-06-06,4048,NA,4048,NA,NA,NA
2021-06-13,4131,NA,4131,NA,NA,NA
2021-06-20,4017,NA,4017,NA,NA,NA
2021-06-27,3621,NA,3621,NA,NA,NA
2021-07-04,3081,NA,3081,NA,NA,NA
2021-07-11,2678,NA,2678,NA,NA,NA
2021-07-18,2299,NA,2299,NA,NA,NA
2021-07-25,1831,NA,1831,NA,NA,NA
2021-08-01,1596,NA,1596,NA,NA,NA
2021-08-08,1495,NA,1495,NA,NA,NA
2021-08-15,1314,NA,1314,NA,NA,NA
2021-08-22,1059,NA,1059,NA,NA,NA
2021-08-29,1013,NA,1013,NA,NA,NA
2021-09-05,838,NA,838,NA,NA,NA
2021-09-12,789,NA,789,NA,NA,NA
2021-09-19,683,NA,681,NA,NA,NA
2021-09-26,NA,699,699,NA,695,707
2021-10-03,NA,673,673,NA,666,683
2021-10-10,NA,587,587,NA,578,597
2021-10-17,NA,481,481,NA,471,492
2021-10-24,NA,495,495,NA,483,509
2021-10-31,NA,429,429,NA,416,445
2021-11-07,NA,479,479,NA,461.975,499
2021-11-14,NA,376,376,NA,356,400
2021-11-21,NA,329,329,NA,291,371
