"estimate","lower","upper","onset_date","n.reported"
124,124,124,2020-03-15,124
158,158,161,2020-03-16,158
131,130,136,2020-03-17,130
158,155,164,2020-03-18,155
172,168,178,2020-03-19,167
213,208,222,2020-03-20,204
208,201,217,2020-03-21,195
220,212,230,2020-03-22,204
272,262,284,2020-03-23,250
255,245,266,2020-03-24,231
259,248,271,2020-03-25,232
258,248,271,2020-03-26,229
215,204,229,2020-03-27,185
221,210,234,2020-03-28,189
228,216,243,2020-03-29,193
219,206,233,2020-03-30,181
216,203,232,2020-03-31,175
250,235,266,2020-04-01,202
199,185,215,2020-04-02,152
185,171,202,2020-04-03,137
190,175,208,2020-04-04,138
200,184,218.025,2020-04-05,143
205,188,224,2020-04-06,142
184,167,203,2020-04-07,119
195,177,216,2020-04-08,124
197,178,219,2020-04-09,119
217,196,240,2020-04-10,131
162,141.975,185,2020-04-11,81
167,145,191,2020-04-12,80
179,157,205,2020-04-13,84
144,120,171,2020-04-14,47
182,156,213,2020-04-15,69
162,134,193,2020-04-16,44
143,114,177,2020-04-17,23
174,141.975,214,2020-04-18,40
142,106,183,2020-04-19,10
148,108,197,2020-04-20,11
145,100,199,2020-04-21,4
148,97.9750000000002,213,2020-04-22,3
147,92,225,2020-04-23,NA
