"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,6,NA,NA,NA,6,NA,NA,NA
2020-03-22,12,NA,NA,NA,12,NA,NA,NA
2020-03-29,17,NA,NA,NA,17,NA,NA,NA
2020-04-05,31,NA,NA,NA,31,NA,NA,NA
2020-04-12,69,NA,NA,NA,69,NA,NA,NA
2020-04-19,172,NA,NA,NA,172,NA,NA,NA
2020-04-26,340,NA,NA,NA,340,NA,NA,NA
2020-05-03,574,NA,NA,NA,574,NA,NA,NA
2020-05-10,883,NA,NA,NA,883,NA,NA,NA
2020-05-17,1155,NA,NA,NA,1155,NA,NA,NA
2020-05-24,1388,NA,NA,NA,1388,NA,NA,NA
2020-05-31,1559,NA,NA,NA,1559,NA,NA,NA
2020-06-07,1723,NA,NA,NA,1723,NA,NA,NA
2020-06-14,1839,NA,NA,NA,1839,NA,NA,NA
2020-06-21,1938,NA,NA,NA,1938,NA,NA,NA
2020-06-28,1998,NA,NA,NA,1998,NA,NA,NA
2020-07-05,2060,NA,NA,NA,2060,NA,NA,NA
2020-07-12,2109,NA,NA,NA,2109,NA,NA,NA
2020-07-19,2159,NA,NA,NA,2159,NA,NA,NA
2020-07-26,2192,NA,NA,NA,2192,NA,NA,NA
2020-08-02,2222,NA,NA,NA,2222,NA,NA,NA
2020-08-09,2237,NA,NA,NA,2237,NA,NA,NA
2020-08-16,2249,NA,NA,NA,2249,NA,NA,NA
2020-08-23,2265,NA,NA,NA,2265,NA,NA,NA
2020-08-30,2269,NA,NA,NA,2269,NA,NA,NA
2020-09-06,2278,NA,NA,NA,2278,NA,NA,NA
2020-09-13,2289,NA,NA,NA,2289,NA,NA,NA
2020-09-20,2301,NA,NA,NA,2301,NA,NA,NA
2020-09-27,2308,NA,NA,NA,2308,NA,NA,NA
2020-10-04,2320,NA,NA,NA,2320,NA,NA,NA
2020-10-11,2330,NA,NA,NA,2330,NA,NA,NA
2020-10-18,2338,NA,NA,NA,2338,NA,NA,NA
2020-10-25,2345,NA,NA,NA,2345,NA,NA,NA
2020-11-01,2347,NA,NA,NA,2347,NA,NA,NA
2020-11-08,2356,NA,NA,NA,2355,NA,NA,NA
2020-11-15,2371,NA,NA,NA,2368,NA,NA,NA
2020-11-22,2400,NA,NA,NA,2385,NA,NA,NA
2020-11-29,2439,2439,2401,2584,2388,2388,2388,2388
2020-12-06,NA,2472,2419,2670,NA,2389,2389,2391
