"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,1,NA,NA,NA,1,NA,NA,NA
2020-04-12,5,NA,NA,NA,5,NA,NA,NA
2020-04-19,18,NA,NA,NA,18,NA,NA,NA
2020-04-26,39,NA,NA,NA,39,NA,NA,NA
2020-05-03,93,NA,NA,NA,93,NA,NA,NA
2020-05-10,191,NA,NA,NA,191,NA,NA,NA
2020-05-17,309,NA,NA,NA,309,NA,NA,NA
2020-05-24,447,NA,NA,NA,447,NA,NA,NA
2020-05-31,583,NA,NA,NA,583,NA,NA,NA
2020-06-07,707,NA,NA,NA,707,NA,NA,NA
2020-06-14,817,NA,NA,NA,817,NA,NA,NA
2020-06-21,891,NA,NA,NA,891,NA,NA,NA
2020-06-28,949,NA,NA,NA,949,NA,NA,NA
2020-07-05,996,NA,NA,NA,996,NA,NA,NA
2020-07-12,1040,NA,NA,NA,1040,NA,NA,NA
2020-07-19,1059,NA,NA,NA,1059,NA,NA,NA
2020-07-26,1078,NA,NA,NA,1078,NA,NA,NA
2020-08-02,1103,NA,NA,NA,1103,NA,NA,NA
2020-08-09,1112,NA,NA,NA,1112,NA,NA,NA
2020-08-16,1127,NA,NA,NA,1127,NA,NA,NA
2020-08-23,1134,NA,NA,NA,1134,NA,NA,NA
2020-08-30,1141,NA,NA,NA,1141,NA,NA,NA
2020-09-06,1152,NA,NA,NA,1152,NA,NA,NA
2020-09-13,1160,NA,NA,NA,1160,NA,NA,NA
2020-09-20,1172,NA,NA,NA,1172,NA,NA,NA
2020-09-27,1182,NA,NA,NA,1182,NA,NA,NA
2020-10-04,1188,NA,NA,NA,1188,NA,NA,NA
2020-10-11,1198,NA,NA,NA,1198,NA,NA,NA
2020-10-18,1204,NA,NA,NA,1204,NA,NA,NA
2020-10-25,1209,NA,NA,NA,1209,NA,NA,NA
2020-11-01,1214,NA,NA,NA,1214,NA,NA,NA
2020-11-08,1219,NA,NA,NA,1219,NA,NA,NA
2020-11-15,1220,NA,NA,NA,1220,NA,NA,NA
2020-11-22,1227,NA,NA,NA,1227,NA,NA,NA
2020-11-29,1235,NA,NA,NA,1235,NA,NA,NA
2020-12-06,1244,NA,NA,NA,1244,NA,NA,NA
2020-12-13,1268,NA,NA,NA,1268,NA,NA,NA
2020-12-20,1292,NA,NA,NA,1292,NA,NA,NA
2020-12-27,1319,NA,NA,NA,1319,NA,NA,NA
2021-01-03,1354,NA,NA,NA,1354,NA,NA,NA
2021-01-10,1394,NA,NA,NA,1394,NA,NA,NA
2021-01-17,1423,NA,NA,NA,1423,NA,NA,NA
2021-01-24,1464,NA,NA,NA,1464,NA,NA,NA
2021-01-31,1495,NA,NA,NA,1495,NA,NA,NA
2021-02-07,1527,NA,NA,NA,1527,NA,NA,NA
2021-02-14,1559,NA,NA,NA,1559,NA,NA,NA
2021-02-21,1588,NA,NA,NA,1588,NA,NA,NA
2021-02-28,1621,NA,NA,NA,1621,NA,NA,NA
2021-03-07,1677,NA,NA,NA,1677,NA,NA,NA
2021-03-14,1755,NA,NA,NA,1755,NA,NA,NA
2021-03-21,1832,NA,NA,NA,1832,NA,NA,NA
2021-03-28,1919,NA,NA,NA,1919,NA,NA,NA
2021-04-04,2017,NA,NA,NA,2017,NA,NA,NA
2021-04-11,2100,NA,NA,NA,2100,NA,NA,NA
2021-04-18,2162,NA,NA,NA,2162,NA,NA,NA
2021-04-25,2232,NA,NA,NA,2232,NA,NA,NA
2021-05-02,2303,NA,NA,NA,2303,NA,NA,NA
2021-05-09,2357,NA,NA,NA,2357,NA,NA,NA
2021-05-16,2401,NA,NA,NA,2401,NA,NA,NA
2021-05-23,2443,NA,NA,NA,2443,NA,NA,NA
2021-05-30,2493,NA,NA,NA,2493,NA,NA,NA
2021-06-06,2532,NA,NA,NA,2532,NA,NA,NA
2021-06-13,2574,NA,NA,NA,2574,NA,NA,NA
2021-06-20,2608,NA,NA,NA,2608,NA,NA,NA
2021-06-27,2634,NA,NA,NA,2634,NA,NA,NA
2021-07-04,2668,NA,NA,NA,2668,NA,NA,NA
2021-07-11,2691,NA,NA,NA,2691,NA,NA,NA
2021-07-18,2715,NA,NA,NA,2715,NA,NA,NA
2021-07-25,2732,NA,NA,NA,2732,NA,NA,NA
2021-08-01,2740,NA,NA,NA,2740,NA,NA,NA
2021-08-08,2751,NA,NA,NA,2751,NA,NA,NA
2021-08-15,2756,NA,NA,NA,2756,NA,NA,NA
2021-08-22,2761,NA,NA,NA,2761,NA,NA,NA
2021-08-29,2766,NA,NA,NA,2766,NA,NA,NA
2021-09-05,2772,NA,NA,NA,2772,NA,NA,NA
2021-09-12,2777,NA,NA,NA,2777,NA,NA,NA
2021-09-19,2782,NA,NA,NA,2782,NA,NA,NA
2021-09-26,2786,NA,NA,NA,2786,NA,NA,NA
2021-10-03,2792,NA,NA,NA,2792,NA,NA,NA
2021-10-10,2794,2794,2793,2813,2793,2793,2793,2793
2021-10-17,NA,2799,2797,2820,NA,2793,2793,2793
