"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,1,NA,1,NA,NA,NA
2020-03-29,3,NA,3,NA,NA,NA
2020-04-05,10,NA,10,NA,NA,NA
2020-04-12,8,NA,8,NA,NA,NA
2020-04-19,17,NA,17,NA,NA,NA
2020-04-26,25,NA,25,NA,NA,NA
2020-05-03,62,NA,62,NA,NA,NA
2020-05-10,104,NA,104,NA,NA,NA
2020-05-17,133,NA,133,NA,NA,NA
2020-05-24,161,NA,161,NA,NA,NA
2020-05-31,164,NA,164,NA,NA,NA
2020-06-07,156,NA,156,NA,NA,NA
2020-06-14,108,NA,108,NA,NA,NA
2020-06-21,81,NA,81,NA,NA,NA
2020-06-28,71,NA,71,NA,NA,NA
2020-07-05,55,NA,55,NA,NA,NA
2020-07-12,57,NA,57,NA,NA,NA
2020-07-19,37,NA,37,NA,NA,NA
2020-07-26,27,NA,27,NA,NA,NA
2020-08-02,23,NA,23,NA,NA,NA
2020-08-09,9,NA,9,NA,NA,NA
2020-08-16,16,NA,16,NA,NA,NA
2020-08-23,13,NA,13,NA,NA,NA
2020-08-30,7,NA,7,NA,NA,NA
2020-09-06,14,NA,14,NA,NA,NA
2020-09-13,12,NA,12,NA,NA,NA
2020-09-20,12,NA,12,NA,NA,NA
2020-09-27,11,NA,11,NA,NA,NA
2020-10-04,2,NA,2,NA,NA,NA
2020-10-11,3,NA,3,NA,NA,NA
2020-10-18,NA,2,2,NA,2,2
2020-10-25,NA,4,4,NA,4,4
2020-11-01,NA,4,4,NA,4,4
2020-11-08,NA,3,3,NA,3,3
2020-11-15,NA,1,1,NA,1,2
2020-11-22,NA,5,5,NA,5,7
2020-11-29,NA,3,3,NA,3,5
2020-12-06,NA,8,8,NA,8,10
2020-12-13,NA,5,5,NA,3,9
