"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
8,15,1.42378762099805,0.223702503495323,1.02723552553751,1.08161620536371,1.26706388111158,1.41011923807183,1.56517754341441,1.81325500313236,1.90197313959192,2020-04-19
15,22,1.64960600686132,0.186815920038539,1.30849027959157,1.3593995775878,1.51907176856603,1.64104162801499,1.77043485136462,1.96722333722184,2.04233378186849,2020-04-26
22,29,1.17181151889823,0.110830890865923,0.967277042511959,0.997869414526634,1.09503718210681,1.16694832474247,1.2428167504807,1.361394076005,1.40294142248603,2020-05-03
29,36,0.949820120762158,0.0872914480833357,0.787075671738037,0.811333872305943,0.889301478456208,0.947329320377564,1.00715115355576,1.09822899467593,1.12808626948954,2020-05-10
36,43,0.807292489010525,0.0869992973771357,0.646004944872842,0.670138837096599,0.747080158915412,0.803918869507872,0.864045051946131,0.956040244851434,0.988332368386731,2020-05-17
43,50,0.678399150415184,0.100617835622763,0.497595982403665,0.522829013230164,0.60812190169628,0.672576462788779,0.743339820878615,0.853125054121866,0.892148295037689,2020-05-24
50,57,0.899074840542617,0.149771749898041,0.62884288654866,0.667403924743825,0.793868122253416,0.890662817596771,0.995516613644724,1.1579626145421,1.21565012819487,2020-05-31
57,64,0.968717340257925,0.157421283673545,0.686762562271649,0.725463394633067,0.858024289123958,0.960899563937214,1.06906341705811,1.24335007184364,1.29963712873225,2020-06-07
64,71,0.948681265722035,0.165799330795137,0.653720568650633,0.692745459173732,0.831776711951948,0.939572067607214,1.05506920078647,1.23642890107534,1.30273450646832,2020-06-14
71,78,1.02277940715761,0.178339383550618,0.701613786811232,0.746138752126085,0.897687712939085,1.01370517708489,1.13677764765235,1.33052201570851,1.40041157276124,2020-06-21
78,85,0.915528564361899,0.170254662994324,0.613394460792168,0.654428690822152,0.795703971255001,0.905408239609042,1.02280901625791,1.21206395962972,1.28118618673366,2020-06-28
85,92,0.963837847719398,0.192222104009143,0.624226864668325,0.67062235688053,0.827718000561761,0.951939604449692,1.08531542780019,1.30173757957515,1.37361372934094,2020-07-05
92,99,1.35276230460407,0.223513817751197,0.949685518789507,1.00559567823119,1.19597584259943,1.34202176010185,1.49605931014859,1.73779083116121,1.82582763561809,2020-07-12
99,106,0.821447831317677,0.150508006839888,0.555997282088259,0.591979237670476,0.715261049496712,0.811533582428765,0.917202757211381,1.0848221127645,1.14234882818836,2020-07-19
106,113,0.539408269906214,0.166803273330896,0.26450686447638,0.297276218552208,0.419671532747035,0.522140118544269,0.640043677550989,0.838937262352307,0.912856758317063,2020-07-26
113,120,1.36077867144237,0.381224799454773,0.715781957341772,0.799914955866511,1.08724533196111,1.32868168854277,1.59467808580576,2.0397777698572,2.20173141109357,2020-08-02
