"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-20,2,NA,NA,NA,2,NA,NA,NA
2020-04-04,3,NA,NA,NA,3,NA,NA,NA
2020-04-05,4,NA,NA,NA,4,NA,NA,NA
2020-04-11,5,NA,NA,NA,5,NA,NA,NA
2020-04-13,6,NA,NA,NA,6,NA,NA,NA
2020-04-14,7,NA,NA,NA,7,NA,NA,NA
2020-04-16,8,NA,NA,NA,8,NA,NA,NA
2020-04-20,9,NA,NA,NA,9,NA,NA,NA
2020-04-21,10,NA,NA,NA,10,NA,NA,NA
2020-04-22,12,NA,NA,NA,12,NA,NA,NA
2020-04-23,13,NA,NA,NA,13,NA,NA,NA
2020-04-24,14,NA,NA,NA,14,NA,NA,NA
2020-04-25,15,NA,NA,NA,15,NA,NA,NA
2020-04-27,19,NA,NA,NA,19,NA,NA,NA
2020-04-28,24,NA,NA,NA,24,NA,NA,NA
2020-04-29,26,NA,NA,NA,26,NA,NA,NA
2020-04-30,27,NA,NA,NA,27,NA,NA,NA
2020-05-01,32,NA,NA,NA,32,NA,NA,NA
2020-05-03,34,NA,NA,NA,34,NA,NA,NA
2020-05-04,37,NA,NA,NA,37,NA,NA,NA
2020-05-05,41,NA,NA,NA,41,NA,NA,NA
2020-05-06,46,NA,NA,NA,46,NA,NA,NA
2020-05-07,50,NA,NA,NA,50,NA,NA,NA
2020-05-08,58,NA,NA,NA,58,NA,NA,NA
2020-05-09,61,NA,NA,NA,61,NA,NA,NA
2020-05-10,66,NA,NA,NA,66,NA,NA,NA
2020-05-11,73,NA,NA,NA,73,NA,NA,NA
2020-05-12,79,NA,NA,NA,79,NA,NA,NA
2020-05-13,85,NA,NA,NA,85,NA,NA,NA
2020-05-14,88,NA,NA,NA,88,NA,NA,NA
2020-05-15,98,NA,NA,NA,98,NA,NA,NA
2020-05-16,104,NA,NA,NA,104,NA,NA,NA
2020-05-17,111,NA,NA,NA,111,NA,NA,NA
2020-05-18,117,NA,NA,NA,117,NA,NA,NA
2020-05-19,125,NA,NA,NA,125,NA,NA,NA
2020-05-20,130,NA,NA,NA,130,NA,NA,NA
2020-05-21,138,NA,NA,NA,138,NA,NA,NA
2020-05-22,145,NA,NA,NA,145,NA,NA,NA
2020-05-23,149,NA,NA,NA,149,NA,NA,NA
2020-05-24,155,NA,NA,NA,155,NA,NA,NA
2020-05-25,159,NA,NA,NA,159,NA,NA,NA
2020-05-26,165,NA,NA,NA,165,NA,NA,NA
2020-05-27,171,NA,NA,NA,171,NA,NA,NA
2020-05-28,175,NA,NA,NA,175,NA,NA,NA
2020-05-29,180,NA,NA,NA,180,NA,NA,NA
2020-05-30,185,NA,NA,NA,185,NA,NA,NA
2020-05-31,188,NA,NA,NA,188,NA,NA,NA
2020-06-01,194,NA,NA,NA,194,NA,NA,NA
2020-06-02,197,NA,NA,NA,197,NA,NA,NA
2020-06-03,199,NA,NA,NA,199,NA,NA,NA
2020-06-04,205,NA,NA,NA,205,NA,NA,NA
2020-06-05,212,NA,NA,NA,212,NA,NA,NA
2020-06-06,219,NA,NA,NA,219,NA,NA,NA
2020-06-07,220,NA,NA,NA,220,NA,NA,NA
2020-06-08,226,NA,NA,NA,226,NA,NA,NA
2020-06-09,229,NA,NA,NA,229,NA,NA,NA
2020-06-10,232,NA,NA,NA,232,NA,NA,NA
2020-06-11,236,NA,NA,NA,236,NA,NA,NA
2020-06-12,237,NA,NA,NA,237,NA,NA,NA
2020-06-13,240,NA,NA,NA,240,NA,NA,NA
2020-06-14,244,NA,NA,NA,244,NA,NA,NA
2020-06-15,249,NA,NA,NA,249,NA,NA,NA
2020-06-16,252,NA,NA,NA,252,NA,NA,NA
2020-06-17,255,NA,NA,NA,255,NA,NA,NA
2020-06-18,259,NA,NA,NA,259,NA,NA,NA
2020-06-19,265,NA,NA,NA,265,NA,NA,NA
2020-06-20,269,NA,NA,NA,269,NA,NA,NA
2020-06-21,271,NA,NA,NA,271,NA,NA,NA
2020-06-22,274,NA,NA,NA,274,NA,NA,NA
2020-06-23,276,NA,NA,NA,276,NA,NA,NA
2020-06-24,277,NA,NA,NA,277,NA,NA,NA
2020-06-25,281,NA,NA,NA,281,NA,NA,NA
2020-06-26,282,NA,NA,NA,282,NA,NA,NA
2020-06-27,287,NA,NA,NA,287,NA,NA,NA
2020-06-28,292,NA,NA,NA,292,NA,NA,NA
2020-06-29,295,NA,NA,NA,295,NA,NA,NA
2020-07-03,297,NA,NA,NA,297,NA,NA,NA
2020-07-04,299,NA,NA,NA,299,NA,NA,NA
2020-07-05,300,NA,NA,NA,300,NA,NA,NA
2020-07-06,301,NA,NA,NA,300,NA,NA,NA
2020-07-07,302,NA,NA,NA,301,NA,NA,NA
2020-07-08,302,NA,NA,NA,302,NA,NA,NA
2020-07-09,303,NA,NA,NA,302,NA,NA,NA
2020-07-10,304,NA,NA,NA,303,NA,NA,NA
2020-07-11,306,NA,NA,NA,304,NA,NA,NA
2020-07-12,308,NA,NA,NA,306,NA,NA,NA
2020-07-13,311,NA,NA,NA,308,NA,NA,NA
2020-07-14,313,NA,NA,NA,311,NA,NA,NA
2020-07-15,314,NA,NA,NA,313,NA,NA,NA
2020-07-16,316,NA,NA,NA,314,NA,NA,NA
2020-07-17,317,NA,NA,NA,316,NA,NA,NA
2020-07-18,317,NA,NA,NA,317,NA,NA,NA
2020-07-19,317,NA,NA,NA,318,NA,NA,NA
2020-07-20,318,NA,NA,NA,318,NA,NA,NA
2020-07-21,318,NA,NA,NA,319,NA,NA,NA
2020-07-22,318,NA,NA,NA,319,NA,NA,NA
2020-07-23,319,NA,NA,NA,319,NA,NA,NA
2020-07-24,319,NA,NA,NA,320,NA,NA,NA
2020-07-25,320,NA,NA,NA,321,NA,NA,NA
2020-07-26,320,NA,NA,NA,322,NA,NA,NA
2020-07-27,320,NA,NA,NA,322,NA,NA,NA
2020-07-28,320,NA,NA,NA,322,NA,NA,NA
2020-07-29,321,NA,NA,NA,322,NA,NA,NA
2020-07-30,321,NA,NA,NA,323,NA,NA,NA
2020-07-31,323,NA,NA,NA,323,NA,NA,NA
2020-08-01,324,NA,NA,NA,325,NA,NA,NA
2020-08-02,324,NA,NA,NA,327,NA,NA,NA
2020-08-03,324,NA,NA,NA,327,NA,NA,NA
2020-08-04,324,NA,NA,NA,327,NA,NA,NA
2020-08-05,326,NA,NA,NA,329,NA,NA,NA
2020-08-06,326,NA,NA,NA,331,NA,NA,NA
2020-08-07,327,NA,NA,NA,332,NA,NA,NA
2020-08-08,327,NA,NA,NA,334,NA,NA,NA
2020-08-09,327,NA,NA,NA,334,NA,NA,NA
2020-08-10,327,NA,NA,NA,334,NA,NA,NA
2020-08-11,327,NA,NA,NA,334,NA,NA,NA
2020-08-12,327,NA,NA,NA,334,NA,NA,NA
2020-08-13,327,NA,NA,NA,335,NA,NA,NA
2020-08-14,328,328,327,388,335,335,335,335
2020-08-15,NA,328,327,391,NA,335,335,337
2020-08-16,NA,328,327,394,NA,335,335,339
2020-08-17,NA,328,327,398,NA,335,335,341
2020-08-18,NA,328,327,401,NA,335,335,342
2020-08-19,NA,329,327,404,NA,335,335,344
2020-08-20,NA,329,327,408,NA,336,335,345
2020-08-21,NA,329,327,411,NA,336,335,346
2020-08-22,NA,329,327,415,NA,336,335,347
2020-08-23,NA,329,327,418,NA,336,335,349
2020-08-24,NA,330,327,422,NA,336,335,350
2020-08-25,NA,330,327,425,NA,336,335,351
2020-08-26,NA,330,327,429,NA,336,335,351
2020-08-27,NA,330,327,432,NA,336,335,352
2020-08-28,NA,330,327,436,NA,336,335,352
2020-08-29,NA,331,327,440,NA,336,335,352
