"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2021-01-17,2,NA,2,NA,NA,NA
2021-01-24,3,NA,3,NA,NA,NA
2021-01-31,6,NA,6,NA,NA,NA
2021-02-07,9,NA,9,NA,NA,NA
2021-02-14,10,NA,10,NA,NA,NA
2021-02-21,13,NA,13,NA,NA,NA
2021-02-28,7,NA,7,NA,NA,NA
2021-03-07,16,NA,16,NA,NA,NA
2021-03-14,18,NA,18,NA,NA,NA
2021-03-21,33,NA,33,NA,NA,NA
2021-03-28,32,NA,32,NA,NA,NA
2021-04-04,39,NA,39,NA,NA,NA
2021-04-11,62,NA,62,NA,NA,NA
2021-04-18,44,NA,44,NA,NA,NA
2021-04-25,45,NA,45,NA,NA,NA
2021-05-02,23,NA,23,NA,NA,NA
2021-05-09,15,NA,15,NA,NA,NA
2021-05-16,18,NA,18,NA,NA,NA
2021-05-23,19,NA,19,NA,NA,NA
2021-05-30,27,NA,27,NA,NA,NA
2021-06-06,18,NA,18,NA,NA,NA
2021-06-13,16,NA,16,NA,NA,NA
2021-06-20,20,NA,20,NA,NA,NA
2021-06-27,18,NA,18,NA,NA,NA
2021-07-04,17,NA,17,NA,NA,NA
2021-07-11,6,NA,6,NA,NA,NA
2021-07-18,7,NA,7,NA,NA,NA
2021-07-25,5,NA,5,NA,NA,NA
2021-08-01,1,NA,1,NA,NA,NA
2021-08-08,3,NA,3,NA,NA,NA
2021-08-15,6,NA,6,NA,NA,NA
2021-08-22,3,NA,3,NA,NA,NA
2021-08-29,3,NA,3,NA,NA,NA
2021-09-05,2,NA,2,NA,NA,NA
2021-09-12,NA,5,5,NA,5,5
2021-09-19,NA,0,0,NA,0,1
2021-09-26,NA,2,2,NA,2,3
2021-10-03,NA,0,0,NA,0,1
2021-10-10,NA,0,0,NA,0,1
2021-10-17,NA,2,2,NA,2,3
2021-10-24,NA,1,1,NA,1,2
2021-10-31,NA,0,0,NA,0,1
2021-11-07,NA,1,1,NA,1,4
