"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,6,NA,NA,NA,6,NA,NA,NA
2020-03-22,12,NA,NA,NA,12,NA,NA,NA
2020-03-29,26,NA,NA,NA,26,NA,NA,NA
2020-04-05,48,NA,NA,NA,48,NA,NA,NA
2020-04-12,74,NA,NA,NA,74,NA,NA,NA
2020-04-19,117,NA,NA,NA,117,NA,NA,NA
2020-04-26,189,NA,NA,NA,189,NA,NA,NA
2020-05-03,285,NA,NA,NA,285,NA,NA,NA
2020-05-10,410,NA,NA,NA,410,NA,NA,NA
2020-05-17,545,NA,NA,NA,545,NA,NA,NA
2020-05-24,806,NA,NA,NA,806,NA,NA,NA
2020-05-31,1079,NA,NA,NA,1079,NA,NA,NA
2020-06-07,1364,NA,NA,NA,1364,NA,NA,NA
2020-06-14,1647,NA,NA,NA,1647,NA,NA,NA
2020-06-21,1947,NA,NA,NA,1947,NA,NA,NA
2020-06-28,2182,NA,NA,NA,2182,NA,NA,NA
2020-07-05,2425,NA,NA,NA,2425,NA,NA,NA
2020-07-12,2648,NA,NA,NA,2648,NA,NA,NA
2020-07-19,2824,NA,NA,NA,2824,NA,NA,NA
2020-07-26,2998,NA,NA,NA,2998,NA,NA,NA
2020-08-02,3135,NA,NA,NA,3135,NA,NA,NA
2020-08-09,3278,NA,NA,NA,3278,NA,NA,NA
2020-08-16,3374,NA,NA,NA,3374,NA,NA,NA
2020-08-23,3462,NA,NA,NA,3462,NA,NA,NA
2020-08-30,3546,NA,NA,NA,3546,NA,NA,NA
2020-09-06,3608,NA,NA,NA,3608,NA,NA,NA
2020-09-13,3670,NA,NA,NA,3670,NA,NA,NA
2020-09-20,3727,NA,NA,NA,3727,NA,NA,NA
2020-09-27,3789,NA,NA,NA,3789,NA,NA,NA
2020-10-04,3841,NA,NA,NA,3841,NA,NA,NA
2020-10-11,3907,NA,NA,NA,3907,NA,NA,NA
2020-10-18,3970,NA,NA,NA,3970,NA,NA,NA
2020-10-25,4026,NA,NA,NA,4026,NA,NA,NA
2020-11-01,4068,NA,NA,NA,4068,NA,NA,NA
2020-11-08,4113,NA,NA,NA,4113,NA,NA,NA
2020-11-15,4162,NA,NA,NA,4162,NA,NA,NA
2020-11-22,4201,NA,NA,NA,4201,NA,NA,NA
2020-11-29,4264,NA,NA,NA,4264,NA,NA,NA
2020-12-06,4322,NA,NA,NA,4322,NA,NA,NA
2020-12-13,4381,NA,NA,NA,4381,NA,NA,NA
2020-12-20,4463,NA,NA,NA,4463,NA,NA,NA
2020-12-27,4539,NA,NA,NA,4539,NA,NA,NA
2021-01-03,4612,NA,NA,NA,4612,NA,NA,NA
2021-01-10,4710,NA,NA,NA,4709,NA,NA,NA
2021-01-17,4785,NA,NA,NA,4783,NA,NA,NA
2021-01-24,4835,NA,NA,NA,4831,NA,NA,NA
2021-01-31,4916,NA,NA,NA,4908,NA,NA,NA
2021-02-07,4992,NA,NA,NA,4978,NA,NA,NA
2021-02-14,5081,NA,NA,NA,5055,NA,NA,NA
2021-02-21,5158,5158,5127,5212,5100,5100,5100,5100
2021-02-28,NA,5245,5205,5311,NA,5101,5101,5101
