"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,8,NA,NA,NA,8,NA,NA,NA
2020-03-22,12,NA,NA,NA,12,NA,NA,NA
2020-03-29,42,NA,NA,NA,42,NA,NA,NA
2020-04-05,107,NA,NA,NA,107,NA,NA,NA
2020-04-12,210,NA,NA,NA,210,NA,NA,NA
2020-04-19,371,NA,NA,NA,371,NA,NA,NA
2020-04-26,659,NA,NA,NA,659,NA,NA,NA
2020-05-03,1188,NA,NA,NA,1188,NA,NA,NA
2020-05-10,1931,NA,NA,NA,1931,NA,NA,NA
2020-05-17,2754,NA,NA,NA,2754,NA,NA,NA
2020-05-24,3422,NA,NA,NA,3422,NA,NA,NA
2020-05-31,3907,NA,NA,NA,3907,NA,NA,NA
2020-06-07,4219,NA,NA,NA,4219,NA,NA,NA
2020-06-14,4456,NA,NA,NA,4456,NA,NA,NA
2020-06-21,4638,NA,NA,NA,4638,NA,NA,NA
2020-06-28,4789,NA,NA,NA,4789,NA,NA,NA
2020-07-05,4890,NA,NA,NA,4890,NA,NA,NA
2020-07-12,5000,NA,NA,NA,5000,NA,NA,NA
2020-07-19,5086,NA,NA,NA,5086,NA,NA,NA
2020-07-26,5149,NA,NA,NA,5149,NA,NA,NA
2020-08-02,5199,NA,NA,NA,5199,NA,NA,NA
2020-08-09,5251,NA,NA,NA,5251,NA,NA,NA
2020-08-16,5303,NA,NA,NA,5303,NA,NA,NA
2020-08-23,5343,NA,NA,NA,5343,NA,NA,NA
2020-08-30,5375,NA,NA,NA,5375,NA,NA,NA
2020-09-06,5419,NA,NA,NA,5419,NA,NA,NA
2020-09-13,5464,NA,NA,NA,5464,NA,NA,NA
2020-09-20,5489,NA,NA,NA,5489,NA,NA,NA
2020-09-27,5521,NA,NA,NA,5521,NA,NA,NA
2020-10-04,5546,NA,NA,NA,5546,NA,NA,NA
2020-10-11,5575,NA,NA,NA,5575,NA,NA,NA
2020-10-18,5598,NA,NA,NA,5598,NA,NA,NA
2020-10-25,5629,NA,NA,NA,5629,NA,NA,NA
2020-11-01,5652,NA,NA,NA,5652,NA,NA,NA
2020-11-08,5691,NA,NA,NA,5691,NA,NA,NA
2020-11-15,5727,NA,NA,NA,5727,NA,NA,NA
2020-11-22,5768,NA,NA,NA,5768,NA,NA,NA
2020-11-29,5816,NA,NA,NA,5816,NA,NA,NA
2020-12-06,5867,NA,NA,NA,5867,NA,NA,NA
2020-12-13,5935,NA,NA,NA,5935,NA,NA,NA
2020-12-20,5987,NA,NA,NA,5987,NA,NA,NA
2020-12-27,6046,NA,NA,NA,6046,NA,NA,NA
2021-01-03,6107,NA,NA,NA,6107,NA,NA,NA
2021-01-10,6166,NA,NA,NA,6166,NA,NA,NA
2021-01-17,6241,NA,NA,NA,6239,NA,NA,NA
2021-01-24,6321,NA,NA,NA,6314,NA,NA,NA
2021-01-31,6420,NA,NA,NA,6403,NA,NA,NA
2021-02-07,6532,NA,NA,NA,6500,NA,NA,NA
2021-02-14,6685,NA,NA,NA,6628,NA,NA,NA
2021-02-21,6855,NA,NA,NA,6758,NA,NA,NA
2021-02-28,7126,NA,NA,NA,6950,NA,NA,NA
2021-03-07,7467,7467,7348,7642,7087,7087,7087,7087
2021-03-14,NA,7784,7628,8008,NA,7088,7088,7089
