"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-31,2,NA,NA,NA,2,NA,NA,NA
2020-04-07,3,NA,NA,NA,3,NA,NA,NA
2020-04-08,4,NA,NA,NA,4,NA,NA,NA
2020-04-10,5,NA,NA,NA,5,NA,NA,NA
2020-04-14,6,NA,NA,NA,6,NA,NA,NA
2020-04-15,7,NA,NA,NA,7,NA,NA,NA
2020-04-18,8,NA,NA,NA,8,NA,NA,NA
2020-04-19,10,NA,NA,NA,10,NA,NA,NA
2020-04-22,11,NA,NA,NA,11,NA,NA,NA
2020-04-23,12,NA,NA,NA,12,NA,NA,NA
2020-04-25,14,NA,NA,NA,14,NA,NA,NA
2020-04-26,15,NA,NA,NA,15,NA,NA,NA
2020-04-27,17,NA,NA,NA,17,NA,NA,NA
2020-04-28,19,NA,NA,NA,19,NA,NA,NA
2020-04-29,22,NA,NA,NA,22,NA,NA,NA
2020-04-30,26,NA,NA,NA,26,NA,NA,NA
2020-05-01,27,NA,NA,NA,27,NA,NA,NA
2020-05-02,28,NA,NA,NA,28,NA,NA,NA
2020-05-03,29,NA,NA,NA,29,NA,NA,NA
2020-05-04,36,NA,NA,NA,36,NA,NA,NA
2020-05-05,38,NA,NA,NA,38,NA,NA,NA
2020-05-06,40,NA,NA,NA,40,NA,NA,NA
2020-05-07,44,NA,NA,NA,44,NA,NA,NA
2020-05-08,49,NA,NA,NA,49,NA,NA,NA
2020-05-09,52,NA,NA,NA,52,NA,NA,NA
2020-05-10,58,NA,NA,NA,58,NA,NA,NA
2020-05-11,60,NA,NA,NA,60,NA,NA,NA
2020-05-12,69,NA,NA,NA,69,NA,NA,NA
2020-05-13,76,NA,NA,NA,76,NA,NA,NA
2020-05-14,80,NA,NA,NA,80,NA,NA,NA
2020-05-15,89,NA,NA,NA,89,NA,NA,NA
2020-05-16,93,NA,NA,NA,93,NA,NA,NA
2020-05-17,97,NA,NA,NA,97,NA,NA,NA
2020-05-18,101,NA,NA,NA,101,NA,NA,NA
2020-05-19,103,NA,NA,NA,103,NA,NA,NA
2020-05-20,110,NA,NA,NA,110,NA,NA,NA
2020-05-21,114,NA,NA,NA,114,NA,NA,NA
2020-05-22,120,NA,NA,NA,120,NA,NA,NA
2020-05-23,122,NA,NA,NA,123,NA,NA,NA
2020-05-24,123,NA,NA,NA,124,NA,NA,NA
2020-05-25,126,NA,NA,NA,127,NA,NA,NA
2020-05-26,127,NA,NA,NA,128,NA,NA,NA
2020-05-27,128,NA,NA,NA,130,NA,NA,NA
2020-05-28,130,NA,NA,NA,132,NA,NA,NA
2020-05-29,135,NA,NA,NA,137,NA,NA,NA
2020-05-30,139,NA,NA,NA,141,NA,NA,NA
2020-05-31,141,NA,NA,NA,143,NA,NA,NA
2020-06-01,143,NA,NA,NA,145,NA,NA,NA
2020-06-02,145,NA,NA,NA,147,NA,NA,NA
2020-06-03,147,NA,NA,NA,149,NA,NA,NA
2020-06-04,149,NA,NA,NA,150,NA,NA,NA
2020-06-05,150,NA,NA,NA,150,NA,NA,NA
2020-06-06,153,NA,NA,NA,152,NA,NA,NA
2020-06-07,157,NA,NA,NA,155,NA,NA,NA
2020-06-08,162,NA,NA,NA,159,NA,NA,NA
2020-06-09,166,NA,NA,NA,162,NA,NA,NA
2020-06-10,167,NA,NA,NA,162,NA,NA,NA
2020-06-11,169,NA,NA,NA,163,NA,NA,NA
2020-06-12,172,NA,NA,NA,165,NA,NA,NA
2020-06-13,177,NA,NA,NA,169,NA,NA,NA
2020-06-14,179,NA,NA,NA,170,NA,NA,NA
2020-06-15,182,NA,NA,NA,172,NA,NA,NA
2020-06-16,184,NA,NA,NA,173,NA,NA,NA
2020-06-17,187,NA,NA,NA,175,NA,NA,NA
2020-06-18,190,NA,NA,NA,176,NA,NA,NA
2020-06-19,193,NA,NA,NA,177,NA,NA,NA
2020-06-20,196,NA,NA,NA,178,NA,NA,NA
2020-06-21,199,NA,NA,NA,179,NA,NA,NA
2020-06-22,204,NA,NA,NA,182,NA,NA,NA
2020-06-23,207,NA,NA,NA,183,NA,NA,NA
2020-06-24,210,NA,NA,NA,184,NA,NA,NA
2020-06-25,212,NA,NA,NA,184,NA,NA,NA
2020-06-26,214,NA,NA,NA,184,NA,NA,NA
2020-06-27,217,NA,NA,NA,185,NA,NA,NA
2020-06-28,220,NA,NA,NA,186,NA,NA,NA
2020-06-29,223,NA,NA,NA,187,NA,NA,NA
2020-06-30,226,NA,NA,NA,188,NA,NA,NA
2020-07-01,228,228,186,333,188,188,188,188
2020-07-02,NA,231,187,341,NA,189,188,191
2020-07-03,NA,234,188,348,NA,190,189,194
2020-07-04,NA,237,189,356,NA,191,189,197
2020-07-05,NA,240,190,364,NA,192,189,200
2020-07-06,NA,243,190,372,NA,193,189,203
2020-07-07,NA,246,191,380,NA,194,190,206
2020-07-08,NA,249,192,388,NA,195,190,209
2020-07-09,NA,253,193,397,NA,197,190,212
2020-07-10,NA,256,194,406,NA,198,190,215
2020-07-11,NA,259,195,415,NA,198,191,217
2020-07-12,NA,262,195,424,NA,199,191,219
